iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,score,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,r_weight_0,r_weight_1,r_weight_2,r_weight_3
0,15,1835.7,15,1835.7,0,0,33,303.458,4.2,1,1,1,4.2,1,1,1
1,14,1567,14,1567,0,0,33,303.306,7.08,1,1,1,7.08,1,1,1
2,13,1484.79,13,1484.79,0,2,33,303.154,9.672,1,1,1,7.08,1,4.2,1
3,13,1384.54,13,1384.54,0,0,33,303.003,12.0048,1,1,1,9.672,1,4.2,1
4,13,1246.8,13,1246.8,2,0,33,302.851,12.0048,1,4.2,1,12.0048,1,4.2,1
5,12,1403.08,12,1403.08,0,0,33,302.7,14.1043,1,4.2,1,14.1043,1,4.2,1
6,12,1403.08,12,1462.65,0,3,9,302.548,13.5939,1,4.2,1,14.1043,1,4.2,1.8
7,12,1403.08,12,1434.2,0,1,13,302.397,13.5345,1,4.2,1,14.1043,2.2,4.2,1.8
8,12,1403.08,12,1434.2,0,1,0,302.246,12.181,1,4.2,1,14.1043,1.98,4.2,1.8
9,11,1388.79,11,1388.79,0,0,33,302.095,14.2629,1,4.2,1,15.9939,1.98,4.2,1.8
10,11,1388.79,11,1388.79,0,0,0,301.944,12.8366,1,4.2,1,14.3945,1.98,4.2,1.8
11,11,1388.79,11,1388.79,1,0,0,301.793,12.8366,0.9,4.2,1,12.955,1.98,4.2,1.8
12,11,1388.79,11,1388.79,0,0,0,301.642,11.553,0.9,4.2,1,11.6595,1.98,4.2,1.8
13,11,1388.79,11,1388.79,0,0,0,301.491,10.3977,0.9,4.2,1,10.4936,1.98,4.2,1.8
14,11,1288.47,11,1288.47,2,0,33,301.34,10.3977,0.9,7.08,1,12.7442,1.98,4.2,1.8
15,11,1288.47,11,1288.47,2,3,0,301.19,10.3977,0.9,6.372,1,12.7442,1.98,4.2,1.62
16,11,1288.47,11,1288.47,0,0,0,301.039,9.35792,0.9,6.372,1,11.4698,1.98,4.2,1.62
17,11,1288.47,11,1292.85,0,0,9,300.888,9.32213,0.9,6.372,1,11.2228,1.98,4.2,1.62
18,11,1288.47,11,1292.85,2,2,0,300.738,9.32213,0.9,5.7348,1,11.2228,1.98,3.78,1.62
19,11,1288.47,11,1292.85,2,0,0,300.588,9.32213,0.9,5.16132,1,10.1005,1.98,3.78,1.62
20,11,1288.47,11,1292.85,2,2,0,300.437,9.32213,0.9,4.64519,1,10.1005,1.98,3.402,1.62
21,11,1288.47,11,1377.46,2,0,9,300.287,9.32213,0.9,5.08067,1,9.99049,1.98,3.402,1.62
