iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,score,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,r_weight_0,r_weight_1,r_weight_2,r_weight_3
0,17,1788.39,17,1788.39,0,2,33,281.661,4.2,1,1,1,1,1,4.2,1
1,15,1766.63,15,1766.63,0,2,33,281.521,7.08,1,1,1,1,1,7.08,1
2,15,1671.06,15,1671.06,0,2,33,281.38,9.672,1,1,1,1,1,9.672,1
3,14,1597.12,14,1597.12,0,2,33,281.239,12.0048,1,1,1,1,1,12.0048,1
4,14,1597.12,14,1597.12,0,2,13,281.099,12.1043,1,1,1,1,1,12.1043,1
5,14,1597.12,14,1597.12,3,0,0,280.958,12.1043,1,1,0.9,0.9,1,12.1043,1
6,14,1597.12,14,1600.14,0,1,9,280.818,11.7939,1,1,0.9,0.9,1.8,12.1043,1
7,14,1517.75,14,1517.75,0,2,33,280.677,13.9145,1,1,0.9,0.9,1.8,14.1939,1
8,14,1517.75,14,1517.75,3,1,13,280.537,13.9145,1,1,2.11,0.9,2.92,14.1939,1
9,14,1517.75,14,1518.99,3,1,9,280.397,13.9145,1,1,2.799,0.9,3.528,14.1939,1
10,14,1469.69,14,1469.69,0,1,33,280.256,15.823,1,1,2.799,0.9,6.4752,14.1939,1
11,13,1529.32,13,1529.32,0,2,33,280.116,17.5407,1,1,2.799,0.9,6.4752,16.0745,1
12,13,1527.22,13,1527.22,0,0,33,279.976,19.0867,1,1,2.799,4.11,6.4752,16.0745,1
13,13,1514.83,13,1514.83,0,1,33,279.836,20.478,1,1,2.799,4.11,9.12768,16.0745,1
14,13,1514.83,13,1514.83,0,2,0,279.696,18.4302,1,1,2.799,4.11,9.12768,14.467,1
15,13,1514.83,13,1514.83,0,0,0,279.556,16.5872,1,1,2.799,3.699,9.12768,14.467,1
16,13,1507.05,13,1507.05,0,2,33,279.417,18.2285,1,1,2.799,3.699,9.12768,16.3203,1
17,13,1507.05,13,1507.05,0,2,0,279.277,16.4056,1,1,2.799,3.699,9.12768,14.6883,1
18,13,1507.05,13,1507.05,0,1,0,279.137,14.7651,1,1,2.799,3.699,8.21491,14.6883,1
19,13,1503.54,13,1503.54,0,1,33,278.998,16.5886,1,1,2.799,3.699,10.6934,14.6883,1
20,13,1459.59,13,1459.59,0,2,33,278.858,18.2297,1,1,2.799,3.699,10.6934,16.5195,1
21,13,1459.59,13,1461.74,0,1,9,278.719,17.3067,1,1,2.799,3.699,10.5241,16.5195,1
22,13,1398.31,13,1398.31,0,1,33,278.579,18.8761,1,1,2.799,3.699,12.7717,16.5195,1
23,13,1398.31,13,1398.31,3,1,0,278.44,18.8761,1,1,2.5191,3.699,11.4945,16.5195,1
24,13,1398.31,13,1537.2,0,1,9,278.301,17.8884,1,1,2.5191,3.699,11.2451,16.5195,1
25,13,1398.31,13,1537.2,1,1,0,278.162,17.8884,0.9,1,2.5191,3.699,10.1205,16.5195,1
26,13,1398.31,13,1537.2,0,2,0,278.023,16.0996,0.9,1,2.5191,3.699,10.1205,14.8675,1
27,13,1398.31,13,1526.33,0,2,13,277.884,15.7896,0.9,1,2.5191,3.699,10.1205,14.6808,1
28,13,1398.31,13,1566.89,0,1,9,277.745,15.1107,0.9,1,2.5191,3.699,10.0085,14.6808,1
29,13,1398.31,13,1566.89,0,2,0,277.606,13.5996,0.9,1,2.5191,3.699,10.0085,13.2127,1
30,13,1398.31,13,1527.22,0,2,13,277.467,13.5396,0.9,1,2.5191,3.699,10.0085,13.1914,1
31,13,1398.31,13,1527.22,0,1,0,277.328,12.1857,0.9,1,2.5191,3.699,9.00764,13.1914,1
32,13,1398.31,13,1527.22,0,0,0,277.19,10.9671,0.9,1,2.5191,3.3291,9.00764,13.1914,1
33,13,1398.31,13,1525.73,0,2,13,277.051,11.1704,0.9,1,2.5191,3.3291,9.00764,13.1723,1
34,13,1398.31,13,1525.73,3,0,0,276.913,11.1704,0.9,1,2.26719,2.99619,9.00764,13.1723,1
35,13,1398.31,13,1523.75,0,2,13,276.774,11.3534,0.9,1,2.26719,2.99619,9.00764,13.1551,1
36,13,1398.31,13,1528.15,0,2,9,276.636,11.118,0.9,1,2.26719,2.99619,9.00764,12.7396,1
37,13,1398.31,13,1496.85,3,2,13,276.497,11.118,0.9,1,3.34047,2.99619,9.00764,12.7656,1
38,13,1398.31,13,1495.56,0,0,13,276.359,11.3062,0.9,1,3.34047,3.99657,9.00764,12.7656,1
39,13,1398.31,13,1486.5,0,2,13,276.221,11.4756,0.9,1,3.34047,3.99657,9.00764,12.789,1
40,13,1398.31,13,1486.5,0,0,0,276.083,10.328,0.9,1,3.34047,3.59691,9.00764,12.789,1
41,13,1398.31,13,1457.49,0,0,13,275.945,10.5952,0.9,1,3.34047,4.53722,9.00764,12.789,1
42,13,1398.31,13,1461.93,0,1,9,275.807,10.4357,0.9,1,3.34047,4.53722,9.00688,12.789,1
43,13,1398.31,13,1406.27,0,2,13,275.669,10.6921,0.9,1,3.34047,4.53722,9.00688,12.8101,1
44,13,1398.31,13,1538.52,0,0,9,275.531,10.5229,0.9,1,3.34047,4.9835,9.00688,12.8101,1
45,13,1398.31,13,1508.09,0,2,13,275.393,10.7706,0.9,1,3.34047,4.9835,9.00688,12.8291,1
