iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,score,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,r_weight_0,r_weight_1,r_weight_2,r_weight_3
0,5,1375.33,5,1375.33,0,3,33,201.259,4.2,1,1,1,1,1,1,4.2
1,5,1369.82,5,1369.82,0,1,33,201.158,7.08,1,1,1,1,4.2,1,4.2
2,5,1324.72,5,1324.72,0,3,33,201.058,9.672,1,1,1,1,4.2,1,7.08
3,5,1307,5,1307,0,3,33,200.957,12.0048,1,1,1,1,4.2,1,9.672
4,5,1225.02,5,1225.02,0,3,33,200.857,14.1043,1,1,1,1,4.2,1,12.0048
5,5,1225.02,5,1262.08,0,3,9,200.756,13.5939,1,1,1,1,4.2,1,11.7043
6,5,1225.02,5,1241.27,0,3,13,200.656,13.5345,1,1,1,1,4.2,1,11.8339
7,5,1187.56,5,1187.56,0,3,33,200.556,15.481,1,1,1,1,4.2,1,13.9505
8,5,1177.69,5,1177.69,0,3,33,200.455,17.2329,1,1,1,1,4.2,1,15.8554
9,5,1176.05,5,1176.05,0,3,33,200.355,18.8096,1,1,1,1,4.2,1,17.5699
10,5,1149.13,5,1149.13,0,1,33,200.255,20.2287,1,1,1,1,7.08,1,17.5699
11,5,1121.42,5,1121.42,0,1,33,200.155,21.5058,1,1,1,1,9.672,1,17.5699
12,5,1114.63,5,1114.63,0,1,33,200.055,22.6552,1,1,1,1,12.0048,1,17.5699
13,5,1114.63,5,1114.63,0,3,0,199.955,20.3897,1,1,1,1,12.0048,1,15.8129
14,5,1114.63,5,1191.14,0,3,9,199.855,19.2507,1,1,1,1,12.0048,1,15.1316
15,5,1114.63,5,1158.98,3,1,13,199.755,19.2507,1,1,2.2,1,12.1043,1,15.1316
16,5,1114.63,5,1158.98,0,3,9,199.655,18.2257,1,1,2.2,1,12.1043,1,14.5185
17,5,1114.63,5,1249.12,0,3,9,199.555,17.3031,1,1,2.2,1,12.1043,1,13.9666
18,5,1114.63,5,1184.29,0,1,13,199.455,16.8728,1,1,2.2,1,12.1939,1,13.9666
19,5,1114.63,5,1177.65,0,3,13,199.356,16.4855,1,1,2.2,1,12.1939,1,13.87
20,5,1090.42,5,1090.42,2,3,33,199.256,16.4855,1,4.2,2.2,1,12.1939,1,15.783
21,5,1090.42,5,1112.99,0,0,9,199.156,15.737,1,4.2,2.2,1.8,12.1939,1,15.783
22,5,1090.42,5,1092.99,0,3,13,199.057,15.4633,1,4.2,2.2,1.8,12.1939,1,15.5047
23,5,1085.53,5,1085.53,0,3,33,198.957,17.2169,1,4.2,2.2,1.8,12.1939,1,17.2542
24,5,1085.53,5,1133.25,0,3,9,198.858,16.3952,1,4.2,2.2,1.8,12.1939,1,16.4288
25,4,1161.26,4,1161.26,2,1,33,198.758,16.3952,1,7.08,2.2,1.8,14.2745,1,16.4288
26,4,1112.22,4,1112.22,3,3,33,198.659,16.3952,1,7.08,5.28,1.8,14.2745,1,18.0859
27,4,1081.53,4,1081.53,0,3,33,198.56,18.0557,1,7.08,5.28,1.8,14.2745,1,19.5773
28,4,1049.55,4,1049.55,3,3,33,198.46,18.0557,1,7.08,8.052,1.8,14.2745,1,20.9196
29,4,989.882,4,989.882,0,2,33,198.361,19.5501,1,7.08,8.052,1.8,14.2745,4.2,20.9196
30,4,972.892,4,972.892,0,1,33,198.262,20.8951,1,7.08,8.052,1.8,16.147,4.2,20.9196
31,4,972.892,4,999.872,0,3,9,198.163,19.7056,1,7.08,8.052,1.8,16.147,4.2,19.7276
32,4,941.973,4,941.973,2,1,33,198.064,19.7056,1,9.672,8.052,1.8,17.8323,4.2,19.7276
33,4,941.973,4,1031.42,2,3,9,197.965,19.7056,1,9.6048,8.052,1.8,17.8323,4.2,18.6549
34,4,941.973,4,1047.23,0,2,9,197.866,18.6351,1,9.6048,8.052,1.8,17.8323,4.68,18.6549
35,4,941.973,4,1194.87,0,3,9,197.767,17.6716,1,9.6048,8.052,1.8,17.8323,4.68,17.6894
36,4,941.973,4,1183.62,0,2,13,197.668,17.2044,1,9.6048,8.052,1.8,17.8323,5.512,17.6894
37,4,941.973,4,1193.45,3,3,9,197.569,17.2044,1,9.6048,8.1468,1.8,17.8323,5.512,16.8204
38,4,941.973,4,1172.93,0,0,13,197.47,16.784,1,9.6048,8.1468,2.92,17.8323,5.512,16.8204
39,4,941.973,4,1165.62,0,0,13,197.371,16.4056,1,9.6048,8.1468,3.928,17.8323,5.512,16.8204
40,4,941.973,4,1143.26,3,1,13,197.273,16.4056,1,9.6048,8.63212,3.928,17.3491,5.512,16.8204
41,4,941.973,4,1173.7,3,3,9,197.174,16.4056,1,9.6048,8.66891,3.928,17.3491,5.512,16.0384
42,4,941.973,4,1140.43,0,0,13,197.076,16.065,1,9.6048,8.66891,4.8352,17.3491,5.512,16.0384
43,4,941.973,4,1112.54,3,1,13,196.977,16.065,1,9.6048,9.10202,4.8352,16.9142,5.512,16.0384
44,4,941.973,4,1029.02,2,3,13,196.878,16.065,1,9.94432,9.10202,4.8352,16.9142,5.512,15.7346
45,4,941.973,4,978.988,2,3,13,196.78,16.065,1,10.2499,9.10202,4.8352,16.9142,5.512,15.4611
46,4,941.973,4,977.563,3,3,13,196.682,16.065,1,10.2499,9.49182,4.8352,16.9142,5.512,15.215
47,4,941.973,4,977.518,0,0,13,196.583,15.7585,1,10.2499,9.49182,5.65168,16.9142,5.512,15.215
48,4,941.973,4,965.881,2,0,13,196.485,15.7585,1,10.5249,9.49182,6.38651,16.9142,5.512,15.215
49,4,941.973,4,1103.74,2,1,9,196.387,15.7585,1,10.3724,9.49182,6.38651,16.1228,5.512,15.215
50,4,941.973,4,1053.12,0,3,13,196.289,15.4827,1,10.3724,9.49182,6.38651,16.1228,5.512,14.9935
51,4,941.973,4,1065.59,0,3,9,196.19,14.8344,1,10.3724,9.49182,6.38651,16.1228,5.512,14.3941
52,4,941.973,4,1066.22,3,2,9,196.092,14.8344,1,10.3724,9.44263,6.38651,16.1228,5.8608,14.3941
53,4,941.973,4,1059.1,3,0,13,195.994,14.8344,1,10.3724,9.79837,7.04786,16.1228,5.8608,14.3941
54,4,941.973,4,1059.1,0,1,0,195.896,13.3509,1,10.3724,9.79837,7.04786,14.5105,5.8608,14.3941
55,4,941.973,4,1146.09,3,3,9,195.798,13.3509,1,10.3724,9.71853,7.04786,14.5105,5.8608,13.8547
56,4,941.973,4,1017.07,0,0,13,195.7,13.3159,1,10.3724,9.71853,7.64307,14.5105,5.8608,13.8547
57,4,941.973,4,992.733,0,0,13,195.603,13.2843,1,10.3724,9.71853,8.17877,14.5105,5.8608,13.8547
58,4,941.973,4,991.806,3,1,13,195.505,13.2843,1,10.3724,10.0467,8.17877,14.3595,5.8608,13.8547
59,4,925.841,4,925.841,2,3,33,195.407,13.2843,1,12.6352,10.0467,8.17877,14.3595,5.8608,15.7693
60,4,925.841,4,925.841,0,1,0,195.309,11.9558,1,12.6352,10.0467,8.17877,12.9235,5.8608,15.7693
61,4,912.791,4,912.791,0,2,33,195.212,14.0603,1,12.6352,10.0467,8.17877,12.9235,8.57472,15.7693
62,4,912.791,4,968.103,3,3,9,195.114,14.0603,1,12.6352,9.94201,8.17877,12.9235,8.57472,15.0923
63,4,912.791,4,1073.4,2,3,9,195.017,14.0603,1,12.2717,9.94201,8.17877,12.9235,8.57472,14.4831
64,4,912.791,4,967.55,0,0,13,194.919,13.9542,1,12.2717,9.94201,8.66089,12.9235,8.57472,14.4831
65,4,912.791,4,921.183,2,3,13,194.822,13.9542,1,12.3445,9.94201,8.66089,12.9235,8.57472,14.3348
66,4,912.791,4,1060.4,0,3,9,194.724,13.4588,1,12.3445,9.94201,8.66089,12.9235,8.57472,13.8013
67,4,912.791,4,1064.57,2,3,9,194.627,13.4588,1,12.01,9.94201,8.66089,12.9235,8.57472,13.3212
