iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,score,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,r_weight_0,r_weight_1,r_weight_2,r_weight_3
0,5,1197.56,5,1197.56,0,2,33,196.38,4.2,1,1,1,1,1,4.2,1
1,4,1164.18,4,1164.18,0,2,33,196.282,7.08,1,1,1,1,1,7.08,1
2,4,1164.18,4,1164.18,1,2,0,196.184,7.08,0.9,1,1,1,1,6.372,1
3,4,1135.79,4,1135.79,0,2,33,196.085,9.672,0.9,1,1,1,1,9.0348,1
4,4,1093.84,4,1093.84,0,2,33,195.987,12.0048,0.9,1,1,1,1,11.4313,1
5,4,1069.08,4,1069.08,0,2,33,195.889,14.1043,0.9,1,1,1,1,13.5882,1
6,4,1066.29,4,1066.29,0,2,33,195.791,15.9939,0.9,1,1,1,1,15.5294,1
7,4,1030.65,4,1030.65,0,2,33,195.694,17.6945,0.9,1,1,1,1,17.2764,1
8,4,1030.65,4,1030.65,0,2,13,195.596,17.225,0.9,1,1,1,1,16.8488,1
9,4,1018.67,4,1018.67,0,2,33,195.498,18.8025,0.9,1,1,1,1,18.4639,1
10,4,1018.67,4,1101.76,0,1,9,195.4,17.8223,0.9,1,1,1,1.8,18.4639,1
11,4,1018.67,4,1101.4,0,2,13,195.302,17.3401,0.9,1,1,1,1.8,17.9175,1
12,4,1018.67,4,1087.45,0,2,13,195.205,16.9061,0.9,1,1,1,1.8,17.4258,1
13,4,1018.67,4,1037.58,0,2,13,195.107,16.5154,0.9,1,1,1,1.8,16.9832,1
14,4,1018.67,4,1035.64,0,2,13,195.01,16.1639,0.9,1,1,1,1.8,16.5849,1
15,4,1008.67,4,1008.67,0,2,33,194.912,17.8475,0.9,1,1,1,1.8,18.2264,1
16,4,1001.35,4,1001.35,0,2,33,194.815,19.3628,0.9,1,1,1,1.8,19.7037,1
17,4,1001.35,4,1006.16,3,2,9,194.717,19.3628,0.9,1,1.8,1,1.8,18.6334,1
18,4,985.73,4,985.73,0,2,33,194.62,20.7265,0.9,1,1.8,1,1.8,20.07,1
19,4,985.73,4,1009.42,0,2,9,194.523,19.5538,0.9,1,1.8,1,1.8,18.963,1
20,4,985.73,4,1030.88,0,0,9,194.425,18.4985,0.9,1,1.8,1.8,1.8,18.963,1
21,4,985.73,4,1027.96,0,2,13,194.328,17.9486,0.9,1,1.8,1.8,1.8,18.3667,1
22,4,985.73,4,1291.28,1,2,9,194.231,17.9486,1.71,1,1.8,1.8,1.8,17.4301,1
23,4,985.73,4,1252.1,3,2,13,194.134,17.9486,1.71,1,2.92,1.8,1.8,16.987,1
24,4,985.73,4,1265.71,0,2,9,194.037,17.0537,1.71,1,2.92,1.8,1.8,16.1883,1
25,4,985.73,4,1232.27,0,2,13,193.94,16.6484,1.71,1,2.92,1.8,1.8,15.8695,1
26,4,985.73,4,1070.75,2,2,13,193.843,16.6484,1.71,2.2,2.92,1.8,1.8,15.5826,1
27,4,985.73,4,1058.18,0,2,13,193.746,16.2835,1.71,2.2,2.92,1.8,1.8,15.3243,1
28,4,985.73,4,1058.18,0,2,9,193.649,15.5552,1.71,2.2,2.92,1.8,1.8,14.6919,1
29,4,985.73,4,1047.76,0,1,13,193.552,15.2997,1.71,2.2,2.92,1.8,2.92,14.6919,1
30,4,985.73,4,1063.57,0,3,9,193.455,14.6697,1.71,2.2,2.92,1.8,2.92,14.6919,1.8
31,4,985.73,4,1052.01,0,2,13,193.359,14.5027,1.71,2.2,2.92,1.8,2.92,14.5227,1.8
32,4,985.73,4,1052.01,1,2,0,193.262,14.5027,1.539,2.2,2.92,1.8,2.92,13.0704,1.8
33,3,1004.14,3,1004.14,0,2,33,193.165,16.3525,1.539,2.2,2.92,1.8,2.92,15.0634,1.8
34,3,1000.99,3,1000.99,2,2,33,193.069,16.3525,1.539,5.28,2.92,1.8,2.92,16.857,1.8
35,3,1000.99,3,1058.52,0,2,9,192.972,15.6172,1.539,5.28,2.92,1.8,2.92,16.0713,1.8
36,3,1000.99,3,1065.38,0,2,9,192.876,14.9555,1.539,5.28,2.92,1.8,2.92,15.3642,1.8
37,3,1000.99,3,1065.38,0,1,9,192.779,14.3599,1.539,5.28,2.92,1.8,3.528,15.3642,1.8
38,3,1000.99,3,1065.38,2,2,0,192.683,14.3599,1.539,4.752,2.92,1.8,3.528,13.8278,1.8
39,3,1000.99,3,1047.65,0,2,13,192.587,14.2239,1.539,4.752,2.92,1.8,3.528,13.745,1.8
40,3,1000.99,3,1047.65,0,3,0,192.49,12.8016,1.539,4.752,2.92,1.8,3.528,13.745,1.62
41,3,1000.99,3,1046.47,0,2,13,192.394,12.8214,1.539,4.752,2.92,1.8,3.528,13.6705,1.62
42,3,1000.99,3,1046.47,0,2,0,192.298,11.5393,1.539,4.752,2.92,1.8,3.528,12.3035,1.62
43,3,1000.99,3,1041.66,3,2,13,192.202,11.5393,1.539,4.752,3.928,1.8,3.528,12.3731,1.62
44,3,1000.99,3,1021.64,2,2,13,192.106,11.5393,1.539,5.5768,3.928,1.8,3.528,12.4358,1.62
45,3,1000.99,3,1093.98,1,2,9,192.01,11.5393,2.2851,5.5768,3.928,1.8,3.528,12.0922,1.62
46,3,1000.99,3,1093.98,0,2,0,191.914,10.3853,2.2851,5.5768,3.928,1.8,3.528,10.883,1.62
47,3,1000.99,3,1108.87,0,0,9,191.818,10.2468,2.2851,5.5768,3.928,2.52,3.528,10.883,1.62
48,3,1000.99,3,1108.87,0,0,0,191.722,9.22212,2.2851,5.5768,3.928,2.268,3.528,10.883,1.62
49,3,1000.99,3,1170.19,0,1,9,191.626,9.19991,2.2851,5.5768,3.928,2.268,4.0752,10.883,1.62
50,3,1000.99,3,1170.19,0,3,0,191.53,8.27992,2.2851,5.5768,3.928,2.268,4.0752,10.883,1.458
51,3,1000.99,3,1170.19,2,1,0,191.434,8.27992,2.2851,5.01912,3.928,2.268,3.66768,10.883,1.458
52,3,1000.99,3,1170.19,0,3,0,191.339,7.45192,2.2851,5.01912,3.928,2.268,3.66768,10.883,1.3122
53,3,1000.99,3,1229.55,3,1,9,191.243,7.45192,2.2851,5.01912,4.4352,2.268,4.20091,10.883,1.3122
54,3,1000.99,3,1029.88,2,1,13,191.147,7.45192,2.2851,5.81721,4.4352,2.268,5.08082,10.883,1.3122
55,3,1000.99,3,1029.88,1,3,0,191.052,7.45192,2.05659,5.81721,4.4352,2.268,5.08082,10.883,1.18098
56,3,1000.99,3,1075.97,2,2,9,190.956,7.45192,2.05659,6.13549,4.4352,2.268,5.08082,10.6947,1.18098
57,3,1000.99,3,1075.97,1,1,0,190.861,7.45192,1.85093,6.13549,4.4352,2.268,4.57274,10.6947,1.18098
58,3,1000.99,3,1216.7,0,1,9,190.765,7.60673,1.85093,6.13549,4.4352,2.268,5.01546,10.6947,1.18098
59,3,1000.99,3,1104.28,0,2,13,190.67,8.14606,1.85093,6.13549,4.4352,2.268,5.01546,10.9252,1.18098
60,3,1000.99,3,1085.65,3,2,13,190.575,8.14606,1.85093,6.13549,5.29168,2.268,5.01546,11.1327,1.18098
61,3,989.288,3,989.288,2,2,33,190.479,8.14606,1.85093,8.82194,5.29168,2.268,5.01546,13.3194,1.18098
62,3,989.288,3,996.42,3,1,9,190.384,8.14606,1.85093,8.82194,5.66251,2.268,5.41392,13.3194,1.18098
63,3,989.288,3,990.34,2,2,13,190.289,8.14606,1.85093,9.23974,5.66251,2.268,5.41392,13.2875,1.18098
64,3,977.905,3,977.905,0,1,33,190.194,10.6315,1.85093,9.23974,5.66251,2.268,8.17253,13.2875,1.18098
65,3,974.163,3,974.163,0,2,33,190.099,12.8683,1.85093,9.23974,5.66251,2.268,8.17253,15.2587,1.18098
66,3,974.163,3,980.13,0,2,9,190.004,12.4815,1.85093,9.23974,5.66251,2.268,8.17253,14.6329,1.18098
67,3,974.163,3,980.13,3,2,9,189.909,12.4815,1.85093,9.23974,5.99626,2.268,8.17253,14.0696,1.18098
68,3,974.163,3,974.817,0,1,13,189.814,12.5333,1.85093,9.23974,5.99626,2.268,8.65527,14.0696,1.18098
69,3,973.56,3,973.56,0,1,33,189.719,14.58,1.85093,9.23974,5.99626,2.268,11.0897,14.0696,1.18098
70,3,973.56,3,973.56,2,1,0,189.624,14.58,1.85093,8.31577,5.99626,2.268,9.98077,14.0696,1.18098
71,3,973.29,3,973.29,0,1,33,189.529,16.422,1.85093,8.31577,5.99626,2.268,12.2827,14.0696,1.18098
72,3,973.29,3,1008.99,3,0,9,189.434,16.422,1.85093,8.31577,6.29663,2.9412,12.2827,14.0696,1.18098
73,3,973.29,3,1020.45,0,2,9,189.34,15.6798,1.85093,8.31577,6.29663,2.9412,12.2827,13.5626,1.18098
74,3,973.29,3,1002.84,2,1,13,189.245,15.6798,1.85093,8.78419,6.29663,2.9412,12.3544,13.5626,1.18098
75,3,973.29,3,1002.84,1,0,0,189.15,15.6798,1.66584,8.78419,6.29663,2.64708,12.3544,13.5626,1.18098
76,3,973.29,3,1056.21,0,1,9,189.056,15.0118,1.66584,8.78419,6.29663,2.64708,12.019,13.5626,1.18098
77,3,973.29,3,1041.57,3,1,13,188.961,15.0118,1.66584,8.78419,6.96697,2.64708,12.1171,13.5626,1.18098
78,3,973.29,3,1043.52,0,2,9,188.867,14.4106,1.66584,8.78419,6.96697,2.64708,12.1171,13.1064,1.18098
79,3,973.29,3,1043.52,0,3,0,188.772,12.9696,1.66584,8.78419,6.96697,2.64708,12.1171,13.1064,1.06288
80,3,973.29,3,1272.49,1,1,9,188.678,12.9696,2.39925,8.78419,6.96697,2.64708,11.8054,13.1064,1.06288
81,3,973.29,3,1260.2,3,2,13,188.583,12.9696,2.39925,8.78419,7.57027,2.64708,11.8054,13.0957,1.06288
82,3,973.29,3,1260.2,3,2,0,188.489,12.9696,2.39925,8.78419,6.81325,2.64708,11.8054,11.7862,1.06288
83,3,973.29,3,1165.56,0,1,13,188.395,12.9726,2.39925,8.78419,6.81325,2.64708,11.9248,11.7862,1.06288
84,3,973.29,3,1138.64,0,2,13,188.301,12.9754,2.39925,8.78419,6.81325,2.64708,11.9248,11.9075,1.06288
85,3,973.29,3,1096.07,0,1,13,188.207,12.9778,2.39925,8.78419,6.81325,2.64708,12.0324,11.9075,1.06288
86,3,973.29,3,1006.89,2,2,13,188.113,12.9778,2.39925,9.20577,6.81325,2.64708,12.0324,12.0168,1.06288
87,3,973.29,3,991.581,0,2,13,188.018,12.98,2.39925,9.20577,6.81325,2.64708,12.0324,12.1151,1.06288
88,3,973.29,3,991.581,0,3,0,187.924,11.682,2.39925,9.20577,6.81325,2.64708,12.0324,12.1151,0.956594
89,3,973.29,3,980.047,0,2,13,187.83,11.8138,2.39925,9.20577,6.81325,2.64708,12.0324,12.2036,0.956594
90,3,972.084,3,972.084,2,1,33,187.737,11.8138,2.39925,11.5852,6.81325,2.64708,14.1291,12.2036,0.956594
91,3,968.788,3,968.788,2,2,33,187.643,11.8138,2.39925,13.7267,6.81325,2.64708,14.1291,14.2832,0.956594
92,3,968.788,3,968.788,3,2,13,187.549,11.8138,2.39925,13.7267,7.43192,2.64708,14.1291,14.1549,0.956594
93,3,964.598,3,964.598,2,2,33,187.455,11.8138,2.39925,15.654,7.43192,2.64708,14.1291,16.0394,0.956594
94,3,961.428,3,961.428,2,2,33,187.361,11.8138,2.39925,17.3886,7.43192,2.64708,14.1291,17.7355,0.956594
95,3,961.428,3,967.999,3,2,9,187.268,11.8138,2.39925,17.3886,7.58873,2.64708,14.1291,16.8619,0.956594
