iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,score,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,r_weight_0,r_weight_1,r_weight_2,r_weight_3
0,15,2191.34,15,2191.34,3,0,33,370.381,1,1,1,4.2,4.2,1,1,1
1,15,2014.43,15,2014.43,3,0,33,370.196,1,1,1,7.08,7.08,1,1,1
2,15,1935.29,15,1935.29,3,0,33,370.011,1,1,1,9.672,9.672,1,1,1
3,15,1889.65,15,1889.65,3,0,33,369.826,1,1,1,12.0048,12.0048,1,1,1
4,15,1793.81,15,1793.81,3,0,33,369.641,1,1,1,14.1043,14.1043,1,1,1
5,15,1763.75,15,1763.75,3,0,33,369.456,1,1,1,15.9939,15.9939,1,1,1
6,12,1595.17,12,1595.17,0,0,33,369.271,4.2,1,1,15.9939,17.6945,1,1,1
7,12,1552.84,12,1552.84,3,0,33,369.086,4.2,1,1,17.6945,19.225,1,1,1
8,12,1552.84,12,1559.57,3,0,9,368.902,4.2,1,1,16.825,18.2025,1,1,1
9,12,1552.84,12,1574.81,3,0,9,368.717,4.2,1,1,16.0425,17.2823,1,1,1
10,12,1541.93,12,1541.93,3,0,33,368.533,4.2,1,1,17.7383,18.8541,1,1,1
11,12,1471.69,12,1471.69,3,0,33,368.349,4.2,1,1,19.2645,20.2687,1,1,1
12,12,1471.69,12,1484.01,3,0,9,368.165,4.2,1,1,18.238,19.1418,1,1,1
13,12,1465.66,12,1465.66,3,0,33,367.981,4.2,1,1,19.7142,20.5276,1,1,1
14,12,1465.61,12,1465.61,3,2,33,367.797,4.2,1,1,21.0428,20.5276,1,4.2,1
15,12,1465.61,12,1467.73,0,0,9,367.613,4.68,1,1,21.0428,19.3748,1,4.2,1
16,12,1465.61,12,1488.31,3,0,9,367.429,4.68,1,1,19.8385,18.3374,1,4.2,1
17,12,1465.61,12,1495.63,3,0,9,367.245,4.68,1,1,18.7547,17.4036,1,4.2,1
18,12,1444.74,12,1444.74,3,0,33,367.062,4.68,1,1,20.1792,18.9633,1,4.2,1
19,12,1444.74,12,1444.74,3,0,13,366.878,4.68,1,1,19.4613,18.3669,1,4.2,1
20,11,1434.19,11,1434.19,2,0,33,366.695,4.68,1,4.2,19.4613,19.8302,1,4.2,1
