iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,score,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,r_weight_0,r_weight_1,r_weight_2,r_weight_3
0,7,1191.38,7,1191.38,0,0,33,199.237,4.2,1,1,1,4.2,1,1,1
1,7,1191.16,7,1191.16,0,0,33,199.137,7.08,1,1,1,7.08,1,1,1
2,7,1165.27,7,1165.27,0,1,33,199.038,9.672,1,1,1,7.08,4.2,1,1
3,4,1116.41,4,1116.41,1,1,33,198.938,9.672,4.2,1,1,7.08,7.08,1,1
4,4,1113.04,4,1113.04,0,0,33,198.839,12.0048,4.2,1,1,9.672,7.08,1,1
5,4,1091.76,4,1091.76,0,0,33,198.739,14.1043,4.2,1,1,12.0048,7.08,1,1
6,4,1049.41,4,1049.41,0,1,33,198.64,15.9939,4.2,1,1,12.0048,9.672,1,1
7,4,1008.23,4,1008.23,0,1,33,198.541,17.6945,4.2,1,1,12.0048,12.0048,1,1
8,4,1008.23,4,1017.95,0,0,9,198.441,16.825,4.2,1,1,11.7043,12.0048,1,1
9,4,1008.23,4,1047.82,0,0,9,198.342,16.0425,4.2,1,1,11.4339,12.0048,1,1
10,4,1003.84,4,1003.84,0,1,33,198.243,17.7383,4.2,1,1,11.4339,14.1043,1,1
11,4,1003.84,4,1003.84,0,0,0,198.144,15.9645,4.2,1,1,10.2905,14.1043,1,1
12,3,1123.94,3,1123.94,1,1,33,198.045,15.9645,7.08,1,1,10.2905,15.9939,1,1
13,3,1123.94,3,1123.94,0,1,0,197.946,14.368,7.08,1,1,10.2905,14.3945,1,1
14,3,1123.94,3,1123.94,1,1,0,197.847,14.368,6.372,1,1,10.2905,12.955,1,1
15,3,1123.94,3,1123.94,0,1,0,197.748,12.9312,6.372,1,1,10.2905,11.6595,1,1
16,3,1123.94,3,1123.94,0,1,0,197.649,11.6381,6.372,1,1,10.2905,10.4936,1,1
17,3,1123.94,3,1123.94,2,1,0,197.55,11.6381,6.372,0.9,1,10.2905,9.44423,1,1
18,3,1123.94,3,1123.94,1,0,0,197.451,11.6381,5.7348,0.9,1,9.26145,9.44423,1,1
19,3,1123.94,3,1123.94,0,0,0,197.353,10.4743,5.7348,0.9,1,8.3353,9.44423,1,1
20,3,1123.94,3,1123.94,0,1,0,197.254,9.42685,5.7348,0.9,1,8.3353,8.49981,1,1
21,3,1123.94,3,1123.94,1,1,0,197.155,9.42685,5.16132,0.9,1,8.3353,7.64983,1,1
22,3,1123.94,3,1123.94,0,3,0,197.057,8.48417,5.16132,0.9,1,8.3353,7.64983,1,0.9
23,3,1123.94,3,1123.94,1,1,0,196.958,8.48417,4.64519,0.9,1,8.3353,6.88484,1,0.9
24,3,1123.94,3,1123.94,1,0,0,196.86,8.48417,4.18067,0.9,1,7.50177,6.88484,1,0.9
25,3,1123.94,3,1123.94,0,1,0,196.761,7.63575,4.18067,0.9,1,7.50177,6.19636,1,0.9
26,3,1098.61,3,1098.61,0,1,33,196.663,10.1722,4.18067,0.9,1,7.50177,8.87672,1,0.9
27,3,1094.57,3,1094.57,0,1,33,196.565,12.455,4.18067,0.9,1,7.50177,11.2891,1,0.9
28,3,1058.35,3,1058.35,1,0,33,196.466,12.455,7.0626,0.9,1,10.0516,11.2891,1,0.9
29,3,1058.35,3,1066.02,0,0,9,196.368,12.1095,7.0626,0.9,1,9.94644,11.2891,1,0.9
30,3,1058.35,3,1066.02,0,0,0,196.27,10.8985,7.0626,0.9,1,8.95179,11.2891,1,0.9
31,3,1058.35,3,1066.02,1,0,0,196.172,10.8985,6.35634,0.9,1,8.05661,11.2891,1,0.9
32,3,1054.83,3,1054.83,0,0,33,196.074,13.1087,6.35634,0.9,1,10.551,11.2891,1,0.9
33,3,1007.44,3,1007.44,0,0,33,195.976,15.0978,6.35634,0.9,1,12.7959,11.2891,1,0.9
34,3,1007.44,3,1007.44,0,1,0,195.878,13.588,6.35634,0.9,1,12.7959,10.1601,1,0.9
35,3,1007.44,3,1007.44,0,1,0,195.78,12.2292,6.35634,0.9,1,12.7959,9.14413,1,0.9
36,3,997.08,3,997.08,0,0,33,195.682,14.3063,6.35634,0.9,1,14.8163,9.14413,1,0.9
37,3,997.08,3,1023.98,2,0,9,195.584,14.3063,6.35634,1.71,1,14.2346,9.14413,1,0.9
38,3,997.08,3,1048.58,0,0,9,195.486,13.7757,6.35634,1.71,1,13.7112,9.14413,1,0.9
39,3,982.634,3,982.634,2,0,33,195.389,13.7757,6.35634,4.839,1,15.6401,9.14413,1,0.9
