iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,score,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,r_weight_0,r_weight_1,r_weight_2,r_weight_3
0,14,1424.69,14,1424.69,0,1,33,239.025,4.2,1,1,1,1,4.2,1,1
1,12,1198.68,12,1198.68,2,1,33,238.906,4.2,1,4.2,1,1,7.08,1,1
2,12,1038.57,12,1038.57,2,1,33,238.787,4.2,1,7.08,1,1,9.672,1,1
3,12,1011.8,12,1011.8,2,1,33,238.667,4.2,1,9.672,1,1,12.0048,1,1
4,12,994.727,12,994.727,2,1,33,238.548,4.2,1,12.0048,1,1,14.1043,1,1
5,12,986.819,12,986.819,2,1,33,238.429,4.2,1,14.1043,1,1,15.9939,1,1
6,11,954.978,11,954.978,2,1,33,238.309,4.2,1,15.9939,1,1,17.6945,1,1
7,11,954.978,11,954.978,2,1,13,238.19,4.2,1,15.6945,1,1,17.225,1,1
8,11,953.208,11,953.208,2,1,33,238.071,4.2,1,17.425,1,1,18.8025,1,1
9,11,952.325,11,952.325,2,1,33,237.952,4.2,1,18.9825,1,1,20.2223,1,1
10,11,930.272,11,930.272,2,1,33,237.833,4.2,1,20.3843,1,1,21.5001,1,1
11,11,930.272,11,930.272,2,1,13,237.714,4.2,1,19.6459,1,1,20.6501,1,1
12,10,955.58,10,955.58,2,1,33,237.595,4.2,1,20.9813,1,1,21.885,1,1
13,10,955.58,10,955.58,0,1,13,237.476,5.08,1,20.9813,1,1,20.9965,1,1
14,10,934.928,10,934.928,2,1,33,237.358,5.08,1,22.1831,1,1,22.1969,1,1
15,10,934.928,10,936.795,2,1,9,237.239,5.08,1,20.8648,1,1,20.8772,1,1
16,10,934.928,10,952.591,2,1,9,237.12,5.08,1,19.6783,1,1,19.6895,1,1
17,10,892.617,10,892.617,2,1,33,237.002,5.08,1,21.0105,1,1,21.0205,1,1
18,10,892.617,10,892.617,2,1,0,236.883,5.08,1,18.9095,1,1,18.9185,1,1
19,10,881.703,10,881.703,2,1,33,236.765,5.08,1,20.3185,1,1,20.3266,1,1
20,10,881.703,10,881.703,0,1,13,236.647,5.872,1,20.3185,1,1,19.594,1,1
21,10,881.703,10,881.703,2,1,13,236.528,5.872,1,19.5867,1,1,18.9346,1,1
22,10,880.778,10,880.778,2,1,33,236.41,5.872,1,20.928,1,1,20.3411,1,1
23,10,880.778,10,880.778,0,1,13,236.292,6.5848,1,20.928,1,1,19.607,1,1
24,10,880.778,10,880.778,0,1,13,236.174,7.22632,1,20.928,1,1,18.9463,1,1
25,10,880.778,10,880.778,0,1,13,236.056,7.80369,1,20.928,1,1,18.3517,1,1
26,10,880.778,10,881.703,3,1,9,235.938,7.80369,1,20.928,1.8,1,17.4165,1,1
27,10,880.778,10,881.703,0,1,9,235.82,7.92332,1,20.928,1.8,1,16.5749,1,1
28,10,880.778,10,881.703,2,1,9,235.702,7.92332,1,19.7352,1.8,1,15.8174,1,1
29,10,880.778,10,881.703,0,1,9,235.584,8.03099,1,19.7352,1.8,1,15.1356,1,1
