iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,score,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,r_weight_0,r_weight_1,r_weight_2,r_weight_3
0,15,1699.34,15,1699.34,1,2,33,252.458,1,4.2,1,1,1,1,4.2,1
1,15,1699.34,15,1735.5,1,2,9,252.332,1,4.68,1,1,1,1,4.68,1
2,15,1549.59,15,1549.59,2,1,33,252.206,1,4.68,4.2,1,1,4.2,4.68,1
3,15,1460.11,15,1460.11,3,2,33,252.079,1,4.68,4.2,4.2,1,4.2,7.512,1
4,15,1388.72,15,1388.72,2,2,33,251.953,1,4.68,7.08,4.2,1,4.2,10.0608,1
5,15,1388.72,15,1562.04,2,1,9,251.827,1,4.68,7.272,4.2,1,4.68,10.0608,1
6,14,1620,14,1620,1,2,33,251.702,1,7.512,7.272,4.2,1,4.68,12.3547,1
7,14,1620,14,1620,1,1,0,251.576,1,6.7608,7.272,4.2,1,4.212,12.3547,1
8,14,1523.32,14,1523.32,3,1,33,251.45,1,6.7608,7.272,7.08,1,7.0908,12.3547,1
9,14,1523.32,14,1523.32,2,1,0,251.324,1,6.7608,6.5448,7.08,1,6.38172,12.3547,1
10,14,1523.32,14,1627.19,1,2,9,251.199,1,6.98472,6.5448,7.08,1,6.38172,12.0192,1
11,14,1523.32,14,1627.19,0,3,0,251.073,0.9,6.98472,6.5448,7.08,1,6.38172,12.0192,0.9
12,14,1523.32,14,1643.83,1,2,9,250.947,0.9,7.18625,6.5448,7.08,1,6.38172,11.7173,0.9
13,14,1523.32,14,1777.25,1,2,9,250.822,0.9,7.36762,6.5448,7.08,1,6.38172,11.4456,0.9
14,14,1523.32,14,1777.25,1,2,0,250.696,0.9,6.63086,6.5448,7.08,1,6.38172,10.301,0.9
15,14,1523.32,14,1777.25,1,2,0,250.571,0.9,5.96777,6.5448,7.08,1,6.38172,9.27093,0.9
16,14,1523.32,14,1777.25,1,2,0,250.446,0.9,5.371,6.5448,7.08,1,6.38172,8.34384,0.9
17,14,1523.32,14,1654.12,3,2,13,250.321,0.9,5.371,6.5448,7.672,1,6.38172,8.80945,0.9
18,14,1523.32,14,1623.57,3,2,13,250.195,0.9,5.371,6.5448,8.2048,1,6.38172,9.22851,0.9
19,14,1523.32,14,1623.57,3,1,0,250.07,0.9,5.371,6.5448,7.38432,1,5.74355,9.22851,0.9
20,14,1523.32,14,1623.57,1,2,0,249.945,0.9,4.8339,6.5448,7.38432,1,5.74355,8.30566,0.9
21,13,1562.08,13,1562.08,1,2,33,249.82,0.9,7.65051,6.5448,7.38432,1,5.74355,10.7751,0.9
22,13,1562.08,13,1596.83,1,2,9,249.695,0.9,7.78546,6.5448,7.38432,1,5.74355,10.5976,0.9
23,13,1562.08,13,1596.83,1,2,0,249.571,0.9,7.00691,6.5448,7.38432,1,5.74355,9.53782,0.9
24,13,1562.08,13,1596.83,1,3,0,249.446,0.9,6.30622,6.5448,7.38432,1,5.74355,9.53782,0.81
25,13,1562.08,13,1596.83,1,1,0,249.321,0.9,5.6756,6.5448,7.38432,1,5.16919,9.53782,0.81
26,13,1562.08,13,1596.83,2,0,0,249.196,0.9,5.6756,5.89032,7.38432,0.9,5.16919,9.53782,0.81
27,13,1562.08,13,1596.83,1,1,0,249.072,0.9,5.10804,5.89032,7.38432,0.9,4.65227,9.53782,0.81
28,13,1562.08,13,1596.83,3,3,0,248.947,0.9,5.10804,5.89032,6.64589,0.9,4.65227,9.53782,0.729
29,13,1562.08,13,1596.83,2,2,0,248.823,0.9,5.10804,5.30129,6.64589,0.9,4.65227,8.58404,0.729
30,13,1517.92,13,1517.92,2,2,33,248.698,0.9,5.10804,8.07116,6.64589,0.9,4.65227,11.0256,0.729
31,13,1517.92,13,1534.51,2,2,9,248.574,0.9,5.10804,8.16404,6.64589,0.9,4.65227,10.8231,0.729
32,13,1517.92,13,1534.51,1,2,0,248.45,0.9,4.59723,8.16404,6.64589,0.9,4.65227,9.74077,0.729
33,13,1517.92,13,1534.51,1,2,0,248.326,0.9,4.13751,8.16404,6.64589,0.9,4.65227,8.76669,0.729
34,13,1517.92,13,1534.51,1,1,0,248.201,0.9,3.72376,8.16404,6.64589,0.9,4.18705,8.76669,0.729
35,13,1517.92,13,1518.08,3,1,13,248.077,0.9,3.72376,8.16404,7.2813,0.9,5.06834,8.76669,0.729
36,13,1517.92,13,1518.08,3,2,0,247.953,0.9,3.72376,8.16404,6.55317,0.9,5.06834,7.89002,0.729
37,13,1447.81,13,1447.81,2,2,33,247.829,0.9,3.72376,10.6476,6.55317,0.9,5.06834,10.401,0.729
38,13,1444.55,13,1444.55,2,2,33,247.705,0.9,3.72376,12.8829,6.55317,0.9,5.06834,12.6609,0.729
39,13,1432.49,13,1432.49,3,2,33,247.582,0.9,3.72376,12.8829,9.19785,0.9,5.06834,14.6948,0.729
40,13,1432.49,13,1432.49,2,2,0,247.458,0.9,3.72376,11.5946,9.19785,0.9,5.06834,13.2253,0.729
41,13,1432.49,13,1432.49,3,2,0,247.334,0.9,3.72376,11.5946,8.27807,0.9,5.06834,11.9028,0.729
42,13,1432.49,13,1493.86,2,1,9,247.21,0.9,3.72376,11.3351,8.27807,0.9,5.46151,11.9028,0.729
43,13,1432.49,13,1463.05,3,1,13,247.087,0.9,3.72376,11.3351,8.75026,0.9,6.21536,11.9028,0.729
44,13,1432.49,13,1463.05,1,2,0,246.963,0.9,3.35138,11.3351,8.75026,0.9,6.21536,10.7125,0.729
45,13,1432.49,13,1463.05,3,1,0,246.84,0.9,3.35138,11.3351,7.87523,0.9,5.59382,10.7125,0.729
46,13,1432.49,13,1463.05,3,0,0,246.716,0.9,3.35138,11.3351,7.08771,0.81,5.59382,10.7125,0.729
47,13,1432.49,13,1453.16,2,2,13,246.593,0.9,3.35138,11.5016,7.08771,0.81,5.59382,10.9413,0.729
48,13,1432.49,13,1515.11,1,2,9,246.47,0.9,3.91625,11.5016,7.08771,0.81,5.59382,10.7471,0.729
49,13,1432.49,13,1515.11,2,3,0,246.346,0.9,3.91625,10.3515,7.08771,0.81,5.59382,10.7471,0.6561
50,13,1432.49,13,1515.11,2,2,0,246.223,0.9,3.91625,9.31631,7.08771,0.81,5.59382,9.67243,0.6561
51,13,1432.49,13,1515.11,1,1,0,246.1,0.9,3.52462,9.31631,7.08771,0.81,5.03444,9.67243,0.6561
52,13,1432.49,13,1515.11,2,2,0,245.977,0.9,3.52462,8.38468,7.08771,0.81,5.03444,8.70519,0.6561
53,13,1432.49,13,1515.11,1,1,0,245.854,0.9,3.17216,8.38468,7.08771,0.81,4.531,8.70519,0.6561
54,13,1432.49,13,1466.42,2,2,13,245.731,0.9,3.17216,8.84621,7.08771,0.81,4.531,9.13467,0.6561
55,13,1432.49,13,1466.42,2,0,0,245.608,0.9,3.17216,7.96159,7.08771,0.729,4.531,9.13467,0.6561
56,13,1379.9,13,1379.9,2,1,33,245.485,0.9,3.17216,10.4654,7.08771,0.729,7.3779,9.13467,0.6561
57,13,1371.31,13,1371.31,3,2,33,245.363,0.9,3.17216,10.4654,9.67894,0.729,7.3779,11.5212,0.6561
58,13,1351.68,13,1351.68,2,2,33,245.24,0.9,3.17216,12.7189,9.67894,0.729,7.3779,13.6691,0.6561
59,13,1344.87,13,1344.87,0,2,33,245.117,4.11,3.17216,12.7189,9.67894,0.729,7.3779,15.6022,0.6561
60,13,1344.87,13,1344.87,2,1,0,244.995,4.11,3.17216,11.447,9.67894,0.729,6.64011,15.6022,0.6561
61,12,1299.88,12,1299.88,2,2,33,244.872,4.11,3.17216,13.6023,9.67894,0.729,6.64011,17.342,0.6561
62,12,1299.88,12,1299.88,2,2,0,244.75,4.11,3.17216,12.2421,9.67894,0.729,6.64011,15.6078,0.6561
63,12,1299.88,12,1308.52,2,2,9,244.628,4.11,3.17216,11.9179,9.67894,0.729,6.64011,14.947,0.6561
64,12,1299.88,12,1307.28,0,2,13,244.505,4.999,3.17216,11.9179,9.67894,0.729,6.64011,14.7523,0.6561
65,12,1299.88,12,1307.28,0,3,0,244.383,4.4991,3.17216,11.9179,9.67894,0.729,6.64011,14.7523,0.59049
66,12,1283.16,12,1283.16,2,2,33,244.261,4.4991,3.17216,14.0261,9.67894,0.729,6.64011,16.5771,0.59049
67,12,1283.16,12,1283.16,2,2,0,244.139,4.4991,3.17216,12.6235,9.67894,0.729,6.64011,14.9194,0.59049
68,12,1283.16,12,1283.16,0,2,0,244.017,4.04919,3.17216,12.6235,9.67894,0.729,6.64011,13.4274,0.59049
69,12,1283.16,12,1283.92,2,2,9,243.895,4.04919,3.17216,12.2611,9.67894,0.729,6.64011,12.9847,0.59049
70,12,1283.16,12,1303.38,0,2,9,243.773,4.54427,3.17216,12.2611,9.67894,0.729,6.64011,12.5862,0.59049
71,12,1283.16,12,1303.38,3,1,0,243.651,4.54427,3.17216,12.2611,8.71105,0.729,5.9761,12.5862,0.59049
72,12,1283.16,12,1303.38,2,1,0,243.529,4.54427,3.17216,11.035,8.71105,0.729,5.37849,12.5862,0.59049
73,12,1283.16,12,1303.38,2,2,0,243.407,4.54427,3.17216,9.93151,8.71105,0.729,5.37849,11.3276,0.59049
74,12,1283.16,12,1303.38,2,1,0,243.285,4.54427,3.17216,8.93836,8.71105,0.729,4.84064,11.3276,0.59049
75,12,1283.16,12,1303.38,3,1,0,243.164,4.54427,3.17216,8.93836,7.83994,0.729,4.35657,11.3276,0.59049
76,12,1283.16,12,1303.38,2,2,0,243.042,4.54427,3.17216,8.04452,7.83994,0.729,4.35657,10.1948,0.59049
77,12,1283.16,12,1303.38,2,2,0,242.921,4.54427,3.17216,7.24007,7.83994,0.729,4.35657,9.17535,0.59049
78,12,1283.16,12,1303.38,2,2,9,242.799,4.54427,3.17216,7.41606,7.83994,0.729,4.35657,9.15781,0.59049
