iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,score,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,r_weight_0,r_weight_1,r_weight_2,r_weight_3
0,27,2125.49,27,2125.49,1,2,33,352.419,1,4.2,1,1,1,1,4.2,1
1,22,2106.62,22,2106.62,1,3,33,352.243,1,7.08,1,1,1,1,4.2,4.2
2,22,2067.52,22,2067.52,3,2,33,352.067,1,7.08,1,4.2,1,1,7.08,4.2
3,22,1993.97,22,1993.97,3,3,33,351.891,1,7.08,1,7.08,1,1,7.08,7.08
4,22,1882.1,22,1882.1,3,3,33,351.715,1,7.08,1,9.672,1,1,7.08,9.672
5,22,1865.47,22,1865.47,3,1,33,351.539,1,7.08,1,12.0048,1,4.2,7.08,9.672
6,22,1865.47,22,1865.47,3,3,0,351.363,1,7.08,1,10.8043,1,4.2,7.08,8.7048
7,20,1776.25,20,1776.25,3,1,33,351.188,1,7.08,1,13.0239,1,7.08,7.08,8.7048
8,20,1776.25,20,1776.25,3,3,0,351.012,1,7.08,1,11.7215,1,7.08,7.08,7.83432
9,20,1776.25,20,1776.25,3,0,0,350.836,1,7.08,1,10.5493,0.9,7.08,7.08,7.83432
10,20,1738.97,20,1738.97,1,1,33,350.661,1,9.672,1,10.5493,0.9,9.672,7.08,7.83432
11,20,1738.97,20,1782.07,1,2,9,350.486,1,9.6048,1,10.5493,0.9,9.672,7.272,7.83432
12,20,1738.97,20,1774.07,0,3,13,350.31,2.2,9.6048,1,10.5493,0.9,9.672,7.272,8.35089
13,20,1725.41,20,1725.41,3,2,33,350.135,2.2,9.6048,1,12.7944,0.9,9.672,9.8448,8.35089
14,20,1725.41,20,1920.82,1,1,9,349.96,2.2,9.54432,1,12.7944,0.9,9.6048,9.8448,8.35089
15,20,1725.41,20,1945.05,1,2,9,349.785,2.2,9.48989,1,12.7944,0.9,9.6048,9.76032,8.35089
16,20,1725.41,20,1945.05,3,2,0,349.61,2.2,9.48989,1,11.515,0.9,9.6048,8.78429,8.35089
17,20,1725.41,20,1945.99,3,1,9,349.436,2.2,9.48989,1,11.2635,0.9,9.54432,8.78429,8.35089
18,20,1725.41,20,1952.3,1,3,9,349.261,2.2,9.4409,1,11.2635,0.9,9.54432,8.78429,8.4158
19,20,1725.41,20,1989.86,1,1,9,349.086,2.2,9.39681,1,11.2635,0.9,9.48989,8.78429,8.4158
20,20,1725.41,20,1827.42,3,2,13,348.912,2.2,9.39681,1,11.4371,0.9,9.48989,9.20586,8.4158
21,20,1725.41,20,1905.41,1,3,9,348.737,2.2,9.35713,1,11.4371,0.9,9.48989,9.20586,8.47422
22,20,1725.41,20,1905.41,1,1,0,348.563,2.2,8.42142,1,11.4371,0.9,8.5409,9.20586,8.47422
23,20,1725.41,20,1905.25,1,3,13,348.389,2.2,8.87927,1,11.4371,0.9,8.5409,9.20586,8.9268
24,20,1725.41,20,1834.86,2,1,13,348.214,2.2,8.87927,2.2,11.4371,0.9,8.98681,9.20586,8.9268
25,20,1725.41,20,1908.49,1,1,9,348.04,2.2,8.89135,2.2,11.4371,0.9,8.98813,9.20586,8.9268
26,20,1725.41,20,1902.65,3,2,13,347.866,2.2,8.89135,2.2,11.5934,0.9,8.98813,9.58527,8.9268
27,19,1844.29,19,1844.29,1,3,33,347.692,2.2,11.3022,2.2,11.5934,0.9,8.98813,9.58527,11.3341
28,19,1828.45,19,1828.45,1,2,33,347.518,2.2,13.472,2.2,11.5934,0.9,8.98813,11.9267,11.3341
29,19,1811.93,19,1811.93,3,3,33,347.345,2.2,13.472,2.2,13.7341,0.9,8.98813,11.9267,13.5007
30,19,1811.93,19,1811.93,2,3,0,347.171,2.2,13.472,1.98,13.7341,0.9,8.98813,11.9267,12.1506
31,19,1775.95,19,1775.95,1,2,33,346.997,2.2,15.4248,1.98,13.7341,0.9,8.98813,14.0341,12.1506
32,19,1775.95,19,1842.59,1,1,9,346.824,2.2,14.7823,1.98,13.7341,0.9,8.98932,14.0341,12.1506
33,19,1775.95,19,1822.09,1,2,13,346.651,2.2,14.6041,1.98,13.7341,0.9,8.98932,13.9307,12.1506
34,19,1775.95,19,1996.3,1,1,9,346.477,2.2,14.0437,1.98,13.7341,0.9,8.99038,13.9307,12.1506
35,19,1775.95,19,1996.3,3,3,0,346.304,2.2,14.0437,1.98,12.3607,0.9,8.99038,13.9307,10.9356
36,19,1775.95,19,1996.3,1,1,0,346.131,2.2,12.6393,1.98,12.3607,0.9,8.09135,13.9307,10.9356
37,19,1775.95,19,1874,1,3,13,345.958,2.2,12.6754,1.98,12.3607,0.9,8.09135,13.9307,11.142
