iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,score,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,r_weight_0,r_weight_1,r_weight_2,r_weight_3
0,12,1802.04,12,1802.04,2,2,33,299.214,1,1,4.2,1,1,1,4.2,1
1,6,1509.49,6,1509.49,1,3,33,299.064,1,4.2,4.2,1,1,1,4.2,4.2
2,5,1429.82,5,1429.82,1,2,33,298.914,1,7.08,4.2,1,1,1,7.08,4.2
3,4,1467.8,4,1467.8,1,2,33,298.765,1,9.672,4.2,1,1,1,9.672,4.2
4,4,1467.8,4,1467.8,1,0,0,298.616,1,8.7048,4.2,1,0.9,1,9.672,4.2
5,4,1467.8,4,1479.84,1,2,9,298.466,1,8.73432,4.2,1,0.9,1,9.6048,4.2
6,4,1467.8,4,1548.74,1,2,9,298.317,1,8.76089,4.2,1,0.9,1,9.54432,4.2
7,4,1455.81,4,1455.81,2,1,33,298.168,1,8.76089,7.08,1,0.9,4.2,9.54432,4.2
8,4,1455.81,4,1461.07,1,1,9,298.019,1,8.7848,7.08,1,0.9,4.68,9.54432,4.2
9,4,1455.81,4,1461.07,1,2,0,297.87,1,7.90632,7.08,1,0.9,4.68,8.58989,4.2
10,4,1326.9,4,1326.9,2,1,33,297.721,1,7.90632,9.672,1,0.9,7.512,8.58989,4.2
11,4,1299.47,4,1299.47,2,2,33,297.572,1,7.90632,12.0048,1,0.9,7.512,11.0309,4.2
12,4,1280.07,4,1280.07,2,2,33,297.423,1,7.90632,14.1043,1,0.9,7.512,13.2278,4.2
13,4,1236.11,4,1236.11,2,2,33,297.274,1,7.90632,15.9939,1,0.9,7.512,15.205,4.2
14,4,1236.11,4,1343.78,1,2,9,297.126,1,8.01569,15.9939,1,0.9,7.512,14.5845,4.2
15,4,1236.11,4,1416.8,1,2,9,296.977,1,8.11412,15.9939,1,0.9,7.512,14.0261,4.2
16,4,1236.11,4,1392.43,0,2,13,296.829,2.2,8.11412,15.9939,1,0.9,7.512,13.9235,4.2
17,3,1500.69,3,1500.69,1,1,33,296.68,2.2,10.6027,15.9939,1,0.9,10.0608,13.9235,4.2
18,3,1446.47,3,1446.47,0,2,33,296.532,5.28,10.6027,15.9939,1,0.9,10.0608,15.8311,4.2
19,3,1446.47,3,1446.47,2,3,0,296.384,5.28,10.6027,14.3945,1,0.9,10.0608,15.8311,3.78
