iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,score,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,r_weight_0,r_weight_1,r_weight_2,r_weight_3
0,11,1453.22,11,1453.22,0,1,33,221.125,4.2,1,1,1,1,4.2,1,1
1,11,1417.87,11,1417.87,3,1,33,221.015,4.2,1,1,4.2,1,7.08,1,1
2,11,1309.96,11,1309.96,3,1,33,220.904,4.2,1,1,7.08,1,9.672,1,1
3,11,1275.57,11,1275.57,3,1,33,220.794,4.2,1,1,9.672,1,12.0048,1,1
4,8,1154.01,8,1154.01,0,1,33,220.683,7.08,1,1,9.672,1,14.1043,1,1
5,8,1145.46,8,1145.46,3,3,33,220.573,7.08,1,1,12.0048,1,14.1043,1,4.2
6,8,1130.23,8,1130.23,3,1,33,220.463,7.08,1,1,14.1043,1,15.9939,1,4.2
7,8,1130.23,8,1130.34,3,2,9,220.353,7.08,1,1,13.5939,1,15.9939,1.8,4.2
8,8,1098.82,8,1098.82,3,1,33,220.242,7.08,1,1,15.5345,1,17.6945,1.8,4.2
9,8,1073.29,8,1073.29,0,1,33,220.132,9.672,1,1,15.5345,1,19.225,1.8,4.2
10,8,1072.45,8,1072.45,3,1,33,220.022,9.672,1,1,17.281,1,20.6025,1.8,4.2
11,8,1049.09,8,1049.09,3,1,33,219.912,9.672,1,1,18.8529,1,21.8423,1.8,4.2
12,8,1046.03,8,1046.03,3,1,33,219.802,9.672,1,1,20.2676,1,22.9581,1.8,4.2
13,8,1037.74,8,1037.74,0,1,33,219.692,12.0048,1,1,20.2676,1,23.9623,1.8,4.2
14,8,1034.12,8,1034.12,3,1,33,219.583,12.0048,1,1,21.5409,1,24.866,1.8,4.2
15,8,1029.86,8,1029.86,3,1,33,219.473,12.0048,1,1,22.6868,1,25.6794,1.8,4.2
16,7,1049.81,7,1049.81,1,1,33,219.363,12.0048,4.2,1,22.6868,1,26.4115,1.8,4.2
17,7,1041.42,7,1041.42,3,1,33,219.253,12.0048,4.2,1,23.7181,1,27.0703,1.8,4.2
18,7,1017.49,7,1017.49,3,1,33,219.144,12.0048,4.2,1,24.6463,1,27.6633,1.8,4.2
19,7,971.991,7,971.991,3,1,33,219.034,12.0048,4.2,1,25.4817,1,28.197,1.8,4.2
20,7,966.169,7,966.169,3,1,33,218.925,12.0048,4.2,1,26.2335,1,28.6773,1.8,4.2
21,6,977.31,6,977.31,1,1,33,218.815,12.0048,7.08,1,26.2335,1,29.1095,1.8,4.2
22,6,964.525,6,964.525,0,1,33,218.706,14.1043,7.08,1,26.2335,1,29.4986,1.8,4.2
23,6,961.37,6,961.37,3,1,33,218.596,14.1043,7.08,1,26.9102,1,29.8487,1.8,4.2
24,6,960.59,6,960.59,0,2,33,218.487,15.9939,7.08,1,26.9102,1,29.8487,4.92,4.2
25,6,938.981,6,938.981,3,1,33,218.378,15.9939,7.08,1,27.5191,1,30.1639,4.92,4.2
26,6,938.981,6,938.981,3,1,13,218.269,15.9939,7.08,1,26.0672,1,28.4475,4.92,4.2
27,6,938.981,6,947.301,3,1,9,218.16,15.9939,7.08,1,24.3605,1,26.5027,4.92,4.2
28,6,938.981,6,946.754,3,1,13,218.05,15.9939,7.08,1,23.2245,1,25.1525,4.92,4.2
29,6,938.981,6,946.236,0,0,13,217.941,15.6945,7.08,1,23.2245,2.2,25.1525,4.92,4.2
30,6,938.981,6,946.236,0,3,9,217.832,15.025,7.08,1,23.2245,2.2,25.1525,4.92,4.68
31,6,938.981,6,939.949,3,1,13,217.724,15.025,7.08,1,22.202,2.2,23.9372,4.92,4.68
32,6,936.272,6,936.272,3,1,33,217.615,15.025,7.08,1,23.2818,2.2,24.8435,4.92,4.68
33,6,936.272,6,1051.68,1,1,9,217.506,15.025,7.272,1,23.2818,2.2,23.2591,4.92,4.68
