iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,score,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,r_weight_0,r_weight_1,r_weight_2,r_weight_3
0,21,1690.09,21,1690.09,0,2,33,269.884,4.2,1,1,1,1,1,4.2,1
1,20,1546.47,20,1546.47,0,3,33,269.749,7.08,1,1,1,1,1,4.2,4.2
2,18,1502.25,18,1502.25,0,3,33,269.614,9.672,1,1,1,1,1,4.2,7.08
3,15,1284.01,15,1284.01,0,2,33,269.479,12.0048,1,1,1,1,1,7.08,7.08
4,14,1073.65,14,1073.65,2,3,33,269.345,12.0048,1,4.2,1,1,1,7.08,9.672
5,13,1092.64,13,1092.64,0,3,33,269.21,14.1043,1,4.2,1,1,1,7.08,12.0048
6,13,1089.98,13,1089.98,0,3,33,269.075,15.9939,1,4.2,1,1,1,7.08,14.1043
7,13,1089.98,13,1090.84,0,3,9,268.941,15.2945,1,4.2,1,1,1,7.08,13.5939
8,12,1047.41,12,1047.41,0,3,33,268.806,17.065,1,4.2,1,1,1,7.08,15.5345
9,11,941.876,11,941.876,2,1,33,268.672,17.065,1,7.08,1,1,4.2,7.08,15.5345
10,11,941.876,11,1037.75,1,3,9,268.538,17.065,1.8,7.08,1,1,4.2,7.08,14.881
11,11,941.876,11,1037.75,0,3,0,268.403,15.3585,1.8,7.08,1,1,4.2,7.08,13.3929
12,11,941.876,11,952.139,0,2,13,268.269,15.1227,1.8,7.08,1,1,4.2,7.672,13.3929
13,11,891.65,11,891.65,0,1,33,268.135,16.9104,1.8,7.08,1,1,7.08,7.672,13.3929
14,11,891.65,11,908.467,0,3,9,268.001,16.1194,1.8,7.08,1,1,7.08,7.672,12.9536
15,11,891.65,11,908.467,2,0,9,267.867,16.1194,1.8,7.272,1,1.8,7.08,7.672,12.9536
16,11,891.65,11,907.827,0,2,13,267.733,15.8074,1.8,7.272,1,1.8,7.08,8.2048,12.9536
17,11,891.65,11,892.329,2,1,13,267.599,15.8074,1.8,7.8448,1,1.8,7.672,8.2048,12.9536
18,11,891.65,11,892.329,0,3,9,267.465,15.1267,1.8,7.8448,1,1.8,7.672,8.2048,12.5583
19,11,891.65,11,892.329,0,3,9,267.332,14.514,1.8,7.8448,1,1.8,7.672,8.2048,12.2025
20,11,891.465,11,891.465,0,2,33,267.198,16.3626,1.8,7.8448,1,1.8,7.672,10.6843,12.2025
21,10,828.937,10,828.937,2,1,33,267.064,16.3626,1.8,10.3603,1,1.8,10.2048,10.6843,12.2025
22,10,828.937,10,828.937,0,0,0,266.931,14.7264,1.8,10.3603,1,1.62,10.2048,10.6843,12.2025
23,10,828.937,10,828.937,0,3,13,266.797,14.5537,1.8,10.3603,1,1.62,10.2048,10.6843,12.2822
24,10,828.937,10,828.937,1,3,13,266.664,14.5537,2.92,10.3603,1,1.62,10.2048,10.6843,12.354
25,10,828.937,10,882.47,1,2,9,266.531,14.5537,3.528,10.3603,1,1.62,10.2048,10.5159,12.354
26,10,828.937,10,882.47,1,2,9,266.397,14.5537,4.0752,10.3603,1,1.62,10.2048,10.3643,12.354
27,10,828.937,10,882.47,0,3,9,266.264,13.9984,4.0752,10.3603,1,1.62,10.2048,10.3643,12.0186
28,10,828.937,10,828.937,2,2,13,266.131,13.9984,4.0752,10.6243,1,1.62,10.2048,10.6279,12.0186
29,10,828.937,10,878.956,1,3,9,265.998,13.9984,4.56768,10.6243,1,1.62,10.2048,10.6279,11.7167
30,10,828.937,10,853.542,1,2,13,265.865,13.9984,5.41091,10.6243,1,1.62,10.2048,10.8651,11.7167
31,10,828.937,10,852.645,2,1,13,265.732,13.9984,5.41091,10.8619,1,1.62,10.4843,10.8651,11.7167
32,10,828.937,10,828.937,2,3,13,265.599,13.9984,5.41091,11.0757,1,1.62,10.4843,10.8651,11.8451
33,10,828.937,10,828.937,1,3,0,265.466,13.9984,4.86982,11.0757,1,1.62,10.4843,10.8651,10.6606
34,10,828.937,10,828.937,2,1,13,265.334,13.9984,4.86982,11.2681,1,1.62,10.7359,10.8651,10.6606
35,10,828.937,10,828.937,2,3,0,265.201,13.9984,4.86982,10.1413,1,1.62,10.7359,10.8651,9.5945
36,10,828.937,10,828.937,2,2,13,265.068,13.9984,4.86982,10.4272,1,1.62,10.7359,11.0786,9.5945
37,10,828.937,10,828.937,2,2,13,264.936,13.9984,4.86982,10.6844,1,1.62,10.7359,11.2707,9.5945
38,10,828.937,10,828.937,0,2,13,264.803,13.8985,4.86982,10.6844,1,1.62,10.7359,11.4436,9.5945
39,10,828.937,10,828.937,2,2,13,264.671,13.8985,4.86982,10.916,1,1.62,10.7359,11.5993,9.5945
40,10,828.937,10,828.937,0,2,13,264.539,13.8087,4.86982,10.916,1,1.62,10.7359,11.7394,9.5945
41,10,828.937,10,828.937,2,2,13,264.406,13.8087,4.86982,11.1244,1,1.62,10.7359,11.8654,9.5945
42,10,828.937,10,828.937,2,2,13,264.274,13.8087,4.86982,11.312,1,1.62,10.7359,11.9789,9.5945
43,10,828.937,10,828.937,2,2,13,264.142,13.8087,4.86982,11.4808,1,1.62,10.7359,12.081,9.5945
44,10,828.937,10,828.937,2,3,13,264.01,13.8087,4.86982,11.6327,1,1.62,10.7359,12.081,9.93505
45,10,828.937,10,828.937,1,3,0,263.878,13.8087,4.38284,11.6327,1,1.62,10.7359,12.081,8.94154
46,10,828.937,10,828.937,0,2,13,263.746,13.7278,4.38284,11.6327,1,1.62,10.7359,12.1729,8.94154
47,10,828.937,10,828.937,2,2,13,263.614,13.7278,4.38284,11.7694,1,1.62,10.7359,12.2556,8.94154
48,10,828.937,10,828.937,2,1,13,263.482,13.7278,4.38284,11.8925,1,1.62,10.9623,12.2556,8.94154
49,10,828.937,10,843.07,1,3,9,263.351,13.7278,4.84455,11.8925,1,1.62,10.9623,12.2556,8.94739
50,10,828.937,10,912.279,1,2,9,263.219,13.7278,5.2601,11.8925,1,1.62,10.9623,11.93,8.94739
51,10,828.937,10,912.279,2,0,0,263.087,13.7278,5.2601,10.7032,1,1.458,10.9623,11.93,8.94739
52,10,828.937,10,852.645,2,2,13,262.956,13.7278,5.2601,10.9329,1,1.458,10.9623,12.037,8.94739
53,10,828.937,10,852.645,1,2,0,262.824,13.7278,4.73409,10.9329,1,1.458,10.9623,10.8333,8.94739
54,10,828.937,10,878.323,1,3,9,262.693,13.7278,5.16068,10.9329,1,1.458,10.9623,10.8333,8.95265
55,10,828.937,10,878.323,1,1,9,262.562,13.7278,5.54461,10.9329,1,1.458,10.7661,10.8333,8.95265
56,10,828.937,10,878.323,2,3,0,262.43,13.7278,5.54461,9.83962,1,1.458,10.7661,10.8333,8.05738
57,10,828.937,10,878.323,0,3,9,262.299,13.255,5.54461,9.83962,1,1.458,10.7661,10.8333,8.15165
58,10,828.937,10,828.937,2,2,13,262.168,13.255,5.54461,10.1557,1,1.458,10.7661,11.05,8.15165
