Instancia,Algoritmo,Run,Tiempo_s
c109,CLASSIC,5,5.2756
c109,CLASSIC,6,5.2351
c109,CLASSIC,7,5.1335
c109,CLASSIC,8,5.1301
c109,CLASSIC,9,5.1444
c109,CLASSIC,10,5.1241
c109,QLEARNING,1,4.5773
c109,QLEARNING,2,5.1565
c109,QLEARNING,3,4.5497
c109,QLEARNING,4,6.0966
c109,QLEARNING,5,4.9158
c109,QLEARNING,6,4.7963
c109,QLEARNING,7,4.5823
c109,QLEARNING,8,4.8441
c109,QLEARNING,9,5.1051
c109,QLEARNING,10,4.7618
c201,CLASSIC,1,4.5369
c201,CLASSIC,2,4.5643
c201,CLASSIC,3,4.5267
c201,CLASSIC,4,4.5293
c201,CLASSIC,5,4.522
c201,CLASSIC,6,4.5374
c201,CLASSIC,7,4.5274
c201,CLASSIC,8,4.6305
c201,CLASSIC,9,4.638
c201,CLASSIC,10,4.5577
c201,QLEARNING,1,4.3366
c201,QLEARNING,2,4.5099
c201,QLEARNING,3,4.4895
c201,QLEARNING,4,4.3684
c201,QLEARNING,5,4.4532
c201,QLEARNING,6,4.3807
c201,QLEARNING,7,4.4631
c201,QLEARNING,8,4.4082
c201,QLEARNING,9,4.3961
c201,QLEARNING,10,4.452
c202,CLASSIC,1,5.311
c202,CLASSIC,2,5.3238
c202,CLASSIC,3,5.2683
c202,CLASSIC,4,5.5476
c202,CLASSIC,5,5.291
c202,CLASSIC,6,5.3515
c202,CLASSIC,7,5.2588
c202,CLASSIC,8,5.3797
c202,CLASSIC,9,5.4567
c202,CLASSIC,10,5.2555
c202,QLEARNING,1,4.7853
c202,QLEARNING,2,4.7718
c202,QLEARNING,3,4.9384
c202,QLEARNING,4,4.6994
c202,QLEARNING,5,4.8554
c202,QLEARNING,6,4.8223
c202,QLEARNING,7,4.733
c202,QLEARNING,8,4.8771
c202,QLEARNING,9,4.6524
c202,QLEARNING,10,4.7909
c203,CLASSIC,1,5.6365
c203,CLASSIC,2,5.7458
c203,CLASSIC,3,5.7608
c203,CLASSIC,4,5.657
c203,CLASSIC,5,5.7123
c203,CLASSIC,6,5.8652
c203,CLASSIC,7,5.7579
c203,CLASSIC,8,5.7996
c203,CLASSIC,9,5.8317
c203,CLASSIC,10,5.7529
c203,QLEARNING,1,5.1614
c203,QLEARNING,2,5.4833
c203,QLEARNING,3,4.907
c203,QLEARNING,4,4.937
c203,QLEARNING,5,5.0626
c203,QLEARNING,6,5.029
c203,QLEARNING,7,5.1968
c203,QLEARNING,8,5.0217
c203,QLEARNING,9,5.0488
c203,QLEARNING,10,4.9083
c204,CLASSIC,1,6.2326
c204,CLASSIC,2,5.9796
c204,CLASSIC,3,5.946
c204,CLASSIC,4,6.0219
c204,CLASSIC,5,5.8413
c204,CLASSIC,6,6.0486
c204,CLASSIC,7,5.8137
c204,CLASSIC,8,6.0568
c204,CLASSIC,9,5.8372
c204,CLASSIC,10,5.9644
c204,QLEARNING,1,5.3704
c204,QLEARNING,2,5.1063
c204,QLEARNING,3,5.0819
c204,QLEARNING,4,5.0922
c204,QLEARNING,5,5.2699
c204,QLEARNING,6,5.2287
c204,QLEARNING,7,5.2349
c204,QLEARNING,8,5.0955
c204,QLEARNING,9,5.2668
c204,QLEARNING,10,5.1946
c205,CLASSIC,1,4.1099
c205,CLASSIC,2,4.0828
c205,CLASSIC,3,4.0679
c205,CLASSIC,4,4.0418
c205,CLASSIC,5,4.0457
c205,CLASSIC,6,4.0434
c205,CLASSIC,7,4.0996
c205,CLASSIC,8,4.0344
c205,CLASSIC,9,4.1521
c205,CLASSIC,10,4.0736
c205,QLEARNING,1,3.3142
c205,QLEARNING,2,3.6475
c205,QLEARNING,3,3.5585
c205,QLEARNING,4,3.2436
c205,QLEARNING,5,4.0312
c205,QLEARNING,6,3.2737
c205,QLEARNING,7,3.765
c205,QLEARNING,8,3.2424
c205,QLEARNING,9,3.4149
c205,QLEARNING,10,3.4091
c206,CLASSIC,1,4.3246
c206,CLASSIC,2,4.2079
c206,CLASSIC,3,4.158
c206,CLASSIC,4,4.3001
c206,CLASSIC,5,4.3104
c206,CLASSIC,6,4.4172
c206,CLASSIC,7,4.0868
c206,CLASSIC,8,4.2461
c206,CLASSIC,9,4.3719
c206,CLASSIC,10,4.2344
c206,QLEARNING,1,3.5968
c206,QLEARNING,2,3.5722
c206,QLEARNING,3,3.5063
c206,QLEARNING,4,3.4629
c206,QLEARNING,5,3.5684
c206,QLEARNING,6,3.4577
c206,QLEARNING,7,3.5247
c206,QLEARNING,8,3.5977
c206,QLEARNING,9,3.5166
c206,QLEARNING,10,3.5974
c207,CLASSIC,1,4.4903
c207,CLASSIC,2,4.4853
c207,CLASSIC,3,4.577
c207,CLASSIC,4,4.6527
c207,CLASSIC,5,4.396
c207,CLASSIC,6,4.4388
c207,CLASSIC,7,4.419
c207,CLASSIC,8,4.5093
c207,CLASSIC,9,4.4915
c207,CLASSIC,10,4.4858
c207,QLEARNING,1,3.7033
c207,QLEARNING,2,3.7744
c207,QLEARNING,3,3.701
c207,QLEARNING,4,3.6931
c207,QLEARNING,5,4.3426
c207,QLEARNING,6,3.7183
c207,QLEARNING,7,3.7408
c207,QLEARNING,8,3.7778
c207,QLEARNING,9,3.6867
c207,QLEARNING,10,3.7433
c208,CLASSIC,1,4.3434
c208,CLASSIC,2,4.2785
c208,CLASSIC,3,4.2157
c208,CLASSIC,4,4.2495
c208,CLASSIC,5,4.2244
c208,CLASSIC,6,4.3331
c208,CLASSIC,7,4.3329
c208,CLASSIC,8,4.3828
c208,CLASSIC,9,4.3027
c208,CLASSIC,10,4.2086
c208,QLEARNING,1,3.605
c208,QLEARNING,2,3.7677
c208,QLEARNING,3,3.6843
c208,QLEARNING,4,3.6646
c208,QLEARNING,5,3.703
c208,QLEARNING,6,3.5976
c208,QLEARNING,7,3.698
c208,QLEARNING,8,3.5876
c208,QLEARNING,9,3.6832
c208,QLEARNING,10,3.6072
r101,CLASSIC,1,5.9921
r101,CLASSIC,2,6.2387
r101,CLASSIC,3,6.0564
r101,CLASSIC,4,6.0104
r101,CLASSIC,5,6.1158
r101,CLASSIC,6,6.0961
r101,CLASSIC,7,6.332
r101,CLASSIC,8,6.0256
r101,CLASSIC,9,6.1912
r101,CLASSIC,10,6.1295
r101,QLEARNING,1,5.6434
r101,QLEARNING,2,5.4435
r101,QLEARNING,3,5.6603
r101,QLEARNING,4,6.786
r101,QLEARNING,5,5.4678
r101,QLEARNING,6,5.527
r101,QLEARNING,7,5.5906
r101,QLEARNING,8,5.658
r101,QLEARNING,9,5.5738
r101,QLEARNING,10,5.4
r102,CLASSIC,1,7.235
