Instancia,Algoritmo,Run,Tiempo_s
rc101,QLEARNING,10,4.2393
rc102,CLASSIC,1,6.2358
rc102,CLASSIC,2,6.0653
rc102,CLASSIC,3,6.1893
rc102,CLASSIC,4,6.039
rc102,CLASSIC,5,6.2126
rc102,CLASSIC,6,6.0575
rc102,CLASSIC,7,6.1742
rc102,CLASSIC,8,6.2272
rc102,CLASSIC,9,6.2004
rc102,CLASSIC,10,6.0456
rc102,QLEARNING,1,5.957
rc102,QLEARNING,2,5.0366
rc102,QLEARNING,3,4.9267
rc102,QLEARNING,4,4.8079
rc102,QLEARNING,5,5.7064
rc102,QLEARNING,6,5.1761
rc102,QLEARNING,7,5.3929
rc102,QLEARNING,8,5.5866
rc102,QLEARNING,9,4.8101
rc102,QLEARNING,10,4.7804
rc103,CLASSIC,1,6.7974
rc103,CLASSIC,2,6.5267
rc103,CLASSIC,3,6.8602
rc103,CLASSIC,4,6.5045
rc103,CLASSIC,5,6.7621
rc103,CLASSIC,6,6.3232
rc103,CLASSIC,7,6.5902
rc103,CLASSIC,8,6.5658
rc103,CLASSIC,9,6.5252
rc103,CLASSIC,10,6.6159
rc103,QLEARNING,1,7.4501
rc103,QLEARNING,2,6.0118
rc103,QLEARNING,3,6.9664
rc103,QLEARNING,4,7.1052
rc103,QLEARNING,5,7.3328
rc103,QLEARNING,6,7.1758
rc103,QLEARNING,7,6.0398
rc103,QLEARNING,8,7.5854
rc103,QLEARNING,9,6.6885
rc103,QLEARNING,10,6.4649
rc104,CLASSIC,1,6.1204
rc104,CLASSIC,2,6.0959
rc104,CLASSIC,3,6.1394
rc104,CLASSIC,4,6.0978
rc104,CLASSIC,5,6.1403
rc104,CLASSIC,6,6.3559
rc104,CLASSIC,7,6.1782
rc104,CLASSIC,8,6.1988
rc104,CLASSIC,9,6.3436
rc104,CLASSIC,10,6.1298
rc104,QLEARNING,1,6.567
rc104,QLEARNING,2,5.7804
rc104,QLEARNING,3,6.7527
rc104,QLEARNING,4,6.3021
rc104,QLEARNING,5,6.5574
rc104,QLEARNING,6,6.6535
rc104,QLEARNING,7,6.3974
rc104,QLEARNING,8,6.5378
rc104,QLEARNING,9,6.4087
rc104,QLEARNING,10,6.4837
rc105,CLASSIC,1,6.4406
rc105,CLASSIC,2,6.2831
rc105,CLASSIC,3,6.0775
rc105,CLASSIC,4,6.0431
rc105,CLASSIC,5,6.2504
rc105,CLASSIC,6,6.0429
rc105,CLASSIC,7,6.018
rc105,CLASSIC,8,6.1003
rc105,CLASSIC,9,6.0793
rc105,CLASSIC,10,6.082
rc105,QLEARNING,1,5.5694
rc105,QLEARNING,2,5.2969
rc105,QLEARNING,3,5.3995
rc105,QLEARNING,4,5.1039
rc105,QLEARNING,5,5.3456
rc105,QLEARNING,6,5.5061
rc105,QLEARNING,7,4.7624
rc105,QLEARNING,8,5.3711
rc105,QLEARNING,9,5.3125
rc105,QLEARNING,10,5.4765
rc106,CLASSIC,1,5.1551
rc106,CLASSIC,2,5.2144
rc106,CLASSIC,3,4.7126
rc106,CLASSIC,4,5.1164
rc106,CLASSIC,5,5.1067
rc106,CLASSIC,6,5.655
rc106,CLASSIC,7,5.0834
rc106,CLASSIC,8,5.0609
rc106,CLASSIC,9,5.2488
rc106,CLASSIC,10,5.1501
rc106,QLEARNING,1,4.7565
rc106,QLEARNING,2,5.3657
rc106,QLEARNING,3,4.4056
rc106,QLEARNING,4,4.449
rc106,QLEARNING,5,4.3833
rc106,QLEARNING,6,4.4389
rc106,QLEARNING,7,4.4236
rc106,QLEARNING,8,4.2844
rc106,QLEARNING,9,4.8074
rc106,QLEARNING,10,4.3215
rc107,CLASSIC,1,5.7741
rc107,CLASSIC,2,6.1708
rc107,CLASSIC,3,6.047
rc107,CLASSIC,4,5.832
rc107,CLASSIC,5,6.0517
rc107,CLASSIC,6,6.178
rc107,CLASSIC,7,6.2054
rc107,CLASSIC,8,6.3497
rc107,CLASSIC,9,6.16
rc107,CLASSIC,10,5.7302
rc107,QLEARNING,1,5.8885
rc107,QLEARNING,2,6.5118
rc107,QLEARNING,3,5.485
rc107,QLEARNING,4,5.7303
rc107,QLEARNING,5,6.0939
rc107,QLEARNING,6,6.9216
rc107,QLEARNING,7,7.06
rc107,QLEARNING,8,7.0626
rc107,QLEARNING,9,6.7086
rc107,QLEARNING,10,6.1536
rc108,CLASSIC,1,6.4955
rc108,CLASSIC,2,6.2776
rc108,CLASSIC,3,6.3136
rc108,CLASSIC,4,6.5066
rc108,CLASSIC,5,6.5712
rc108,CLASSIC,6,6.4859
rc108,CLASSIC,7,6.1904
rc108,CLASSIC,8,6.509
rc108,CLASSIC,9,6.6286
rc108,CLASSIC,10,6.474
rc108,QLEARNING,1,6.3368
rc108,QLEARNING,2,6.9473
rc108,QLEARNING,3,6.7057
rc108,QLEARNING,4,6.3547
rc108,QLEARNING,5,6.5941
rc108,QLEARNING,6,6.4214
rc108,QLEARNING,7,6.4441
rc108,QLEARNING,8,6.7282
rc108,QLEARNING,9,6.8297
rc108,QLEARNING,10,6.3289
rc201,CLASSIC,1,4.6957
rc201,CLASSIC,2,4.58
rc201,CLASSIC,3,4.6105
rc201,CLASSIC,4,4.6492
rc201,CLASSIC,5,4.6568
rc201,CLASSIC,6,4.5496
rc201,CLASSIC,7,4.6341
rc201,CLASSIC,8,4.533
rc201,CLASSIC,9,4.7604
rc201,CLASSIC,10,4.6375
rc201,QLEARNING,1,3.8256
rc201,QLEARNING,2,4.0421
rc201,QLEARNING,3,3.6577
rc201,QLEARNING,4,3.8281
rc201,QLEARNING,5,3.768
rc201,QLEARNING,6,3.8554
rc201,QLEARNING,7,3.8785
rc201,QLEARNING,8,3.9455
rc201,QLEARNING,9,3.6764
rc201,QLEARNING,10,3.7146
rc202,CLASSIC,1,5.5195
rc202,CLASSIC,2,5.3062
rc202,CLASSIC,3,5.3043
rc202,CLASSIC,4,5.5231
rc202,CLASSIC,5,5.3044
rc202,CLASSIC,6,5.4358
rc202,CLASSIC,7,5.4792
rc202,CLASSIC,8,5.4135
rc202,CLASSIC,9,5.3251
rc202,CLASSIC,10,5.5354
rc202,QLEARNING,1,4.7275
rc202,QLEARNING,2,5.1367
rc202,QLEARNING,3,5.1513
rc202,QLEARNING,4,4.8514
rc202,QLEARNING,5,4.3422
rc202,QLEARNING,6,4.4334
rc202,QLEARNING,7,4.5539
rc202,QLEARNING,8,4.7202
rc202,QLEARNING,9,4.4545
rc202,QLEARNING,10,4.3666
rc203,CLASSIC,1,6.087
rc203,CLASSIC,2,6.045
rc203,CLASSIC,3,5.8427
rc203,CLASSIC,4,5.7746
rc203,CLASSIC,5,5.9369
rc203,CLASSIC,6,6.1747
rc203,CLASSIC,7,6.12
rc203,CLASSIC,8,5.5353
rc203,CLASSIC,9,5.9915
rc203,CLASSIC,10,6.2242
rc203,QLEARNING,1,4.7837
rc203,QLEARNING,2,4.9422
rc203,QLEARNING,3,5.7876
rc203,QLEARNING,4,5.128
rc203,QLEARNING,5,4.9092
rc203,QLEARNING,6,5.1763
rc203,QLEARNING,7,5.1588
rc203,QLEARNING,8,4.9889
rc203,QLEARNING,9,5.7844
rc203,QLEARNING,10,5.3172
rc204,CLASSIC,1,5.8769
rc204,CLASSIC,2,5.6955
rc204,CLASSIC,3,5.8677
rc204,CLASSIC,4,5.7097
rc204,CLASSIC,5,5.9372
rc204,CLASSIC,6,5.9366
rc204,CLASSIC,7,5.8528
rc204,CLASSIC,8,5.8275
rc204,CLASSIC,9,5.7677
rc204,CLASSIC,10,5.8971
rc204,QLEARNING,1,4.9469
rc204,QLEARNING,2,5.051
rc204,QLEARNING,3,4.819
rc204,QLEARNING,4,4.9524
rc204,QLEARNING,5,5.0211
rc204,QLEARNING,6,5.4887
rc204,QLEARNING,7,6.1432
rc204,QLEARNING,8,5.1603
rc204,QLEARNING,9,5.1329
rc204,QLEARNING,10,5.0378
rc205,CLASSIC,1,5.421
rc205,CLASSIC,2,5.4982
rc205,CLASSIC,3,5.3725
rc205,CLASSIC,4,5.2785
rc205,CLASSIC,5,5.3054
rc205,CLASSIC,6,5.2068
rc205,CLASSIC,7,5.3332
rc205,CLASSIC,8,5.4735
rc205,CLASSIC,9,5.3466
rc205,CLASSIC,10,5.3913
rc205,QLEARNING,1,4.3231
rc205,QLEARNING,2,4.9533
rc205,QLEARNING,3,4.41
rc205,QLEARNING,4,4.5363
rc205,QLEARNING,5,4.3653
rc205,QLEARNING,6,4.2401
rc205,QLEARNING,7,4.4396
rc205,QLEARNING,8,4.57
rc205,QLEARNING,9,4.3556
rc205,QLEARNING,10,4.3311
rc206,CLASSIC,1,4.8794
rc206,CLASSIC,2,4.8473
rc206,CLASSIC,3,4.8559
rc206,CLASSIC,4,5.0412
rc206,CLASSIC,5,5.1008
rc206,CLASSIC,6,4.7468
rc206,CLASSIC,7,4.9332
rc206,CLASSIC,8,4.8692
rc206,CLASSIC,9,4.6171
rc206,CLASSIC,10,4.8393
rc206,QLEARNING,1,4.6212
rc206,QLEARNING,2,4.7322
rc206,QLEARNING,3,4.3525
rc206,QLEARNING,4,4.793
rc206,QLEARNING,5,4.269
rc206,QLEARNING,6,4.5956
rc206,QLEARNING,7,4.2196
rc206,QLEARNING,8,4.1003
rc206,QLEARNING,9,4.4363
rc206,QLEARNING,10,4.2658
rc207,CLASSIC,1,5.842
rc207,CLASSIC,2,5.7383
rc207,CLASSIC,3,5.7609
rc207,CLASSIC,4,5.5205
rc207,CLASSIC,5,5.7392
rc207,CLASSIC,6,5.4216
rc207,CLASSIC,7,5.721
rc207,CLASSIC,8,5.6607
rc207,CLASSIC,9,5.7597
rc207,CLASSIC,10,5.849
rc207,QLEARNING,1,4.7776
rc207,QLEARNING,2,4.7665
rc207,QLEARNING,3,4.7211
rc207,QLEARNING,4,4.9508
rc207,QLEARNING,5,4.9242
rc207,QLEARNING,6,6.31
rc207,QLEARNING,7,5.3429
rc207,QLEARNING,8,4.6904
rc207,QLEARNING,9,5.5533
rc207,QLEARNING,10,4.502
rc208,CLASSIC,1,5.5752
rc208,CLASSIC,2,5.5129
rc208,CLASSIC,3,5.7536
rc208,CLASSIC,4,5.755
rc208,CLASSIC,5,5.5758
rc208,CLASSIC,6,5.796
rc208,CLASSIC,7,5.6516
rc208,CLASSIC,8,5.684
rc208,CLASSIC,9,5.6768
rc208,CLASSIC,10,5.6291
rc208,QLEARNING,1,5.1814
rc208,QLEARNING,2,6.0156
rc208,QLEARNING,3,5.9017
rc208,QLEARNING,4,5.8618
rc208,QLEARNING,5,5.2703
rc208,QLEARNING,6,5.9278
rc208,QLEARNING,7,6.0541
rc208,QLEARNING,8,5.4441
rc208,QLEARNING,9,6.252
rc208,QLEARNING,10,4.9597
