Algoritmo,Instancia,Run,Vehiculos,Distancia,Iter_Convergencia,Tiempo_s
CLASSIC,c204,1,3.0,590.599,1846,6.559
CLASSIC,c204,10,3.0,590.599,3345,5.976
CLASSIC,c204,2,3.0,590.599,208,5.916
CLASSIC,c204,3,3.0,590.599,149,6.23
CLASSIC,c204,4,3.0,590.599,2736,6.132
CLASSIC,c204,5,3.0,590.599,2599,6.552
CLASSIC,c204,6,3.0,590.599,3210,5.97
CLASSIC,c204,7,3.0,590.599,2562,6.246
CLASSIC,c204,8,3.0,590.599,6088,5.91
CLASSIC,c204,9,3.0,590.599,3958,6.628
CLASSIC,c205,1,3.0,588.876,28,4.132
CLASSIC,c205,10,3.0,588.876,26,4.188
CLASSIC,c205,2,3.0,588.876,47,4.206
CLASSIC,c205,3,3.0,588.876,33,4.155
CLASSIC,c205,4,3.0,588.876,32,4.332
CLASSIC,c205,5,3.0,588.876,146,4.327
CLASSIC,c205,6,3.0,588.876,193,4.139
CLASSIC,c205,7,3.0,588.876,227,4.142
CLASSIC,c205,8,3.0,588.876,3704,4.215
CLASSIC,c205,9,3.0,588.876,26,4.136
CLASSIC,c206,1,3.0,588.493,7869,4.645
CLASSIC,c206,10,3.0,588.493,93,4.33
CLASSIC,c206,2,3.0,588.493,45,4.435
CLASSIC,c206,3,3.0,588.493,220,4.486
CLASSIC,c206,4,3.0,588.493,65,4.326
CLASSIC,c206,5,3.0,588.493,14,4.368
CLASSIC,c206,6,3.0,588.493,30,4.37
CLASSIC,c206,7,3.0,588.493,60,4.374
CLASSIC,c206,8,3.0,588.493,21,4.407
CLASSIC,c206,9,3.0,588.493,176,4.324
CLASSIC,c207,1,3.0,588.286,65,4.516
CLASSIC,c207,10,3.0,588.286,316,4.698
CLASSIC,c207,2,3.0,588.286,81,4.523
CLASSIC,c207,3,3.0,588.286,145,4.732
CLASSIC,c207,4,3.0,588.286,548,4.517
CLASSIC,c207,5,3.0,588.286,41,4.5
CLASSIC,c207,6,3.0,588.286,198,4.539
CLASSIC,c207,7,3.0,588.286,239,4.508
CLASSIC,c207,8,3.0,588.286,354,4.771
CLASSIC,c207,9,3.0,588.286,72,4.529
CLASSIC,c208,1,3.0,588.324,107,4.583
CLASSIC,c208,10,3.0,588.324,47,4.336
CLASSIC,c208,2,3.0,588.324,165,4.39
CLASSIC,c208,3,3.0,588.324,86,4.408
CLASSIC,c208,4,3.0,588.324,400,4.648
CLASSIC,c208,5,3.0,588.324,24,4.525
