Instancia,Opt_Veh,Opt_Dist,Run1_Veh,Run1_Dist,Run2_Veh,Run2_Dist,Run3_Veh,Run3_Dist,Run4_Veh,Run4_Dist,Run5_Veh,Run5_Dist,Run6_Veh,Run6_Dist,Run7_Veh,Run7_Dist,Run8_Veh,Run8_Dist,Run9_Veh,Run9_Dist,Run10_Veh,Run10_Dist,Best_Veh,Avg_Veh,Std_Veh,Best_Dist,Avg_Dist,Std_Dist,Veh_GAP,Dist_GAP,Unified_GAP,Avg_Time(s)
R109,11.0,1194.73,12,1154.55,12,1167.55,12,1155.60,12,1154.55,12,1155.69,12,1155.72,12,1153.52,12,1153.52,12,1154.31,12,1155.60,12,12.00,0.000,1153.52,1156.06,3.91,1.00,-3.24,96.76,11.27
R110,10.0,1118.84,11,1085.63,11,1089.22,11,1113.35,11,1091.48,11,1103.02,11,1093.54,11,1085.93,11,1085.93,11,1093.17,11,1083.71,11,11.00,0.000,1083.71,1092.50,8.77,1.00,-2.35,97.65,13.57
R111,10.0,1096.73,11,1054.54,11,1054.23,11,1054.23,11,1062.45,11,1054.22,11,1054.49,11,1054.23,11,1054.22,11,1057.86,11,1054.54,11,11.00,0.000,1054.22,1055.50,2.55,1.00,-3.76,96.24,14.48
R112,9.0,982.14,10,958.73,10,961.85,10,958.53,10,969.36,10,970.21,10,962.88,10,965.18,10,962.87,10,962.19,10,959.40,10,10.00,0.000,958.53,963.12,3.88,1.00,-1.94,98.06,14.32
R201,4.0,1252.37,4,1261.58,4,1267.14,4,1261.58,4,1259.82,4,1254.69,4,1253.23,4,1258.50,4,1259.86,4,1265.31,4,1253.23,4,4.00,0.000,1253.23,1259.49,4.51,0.00,0.57,0.57,10.05
R202,3.0,1191.7,4,1090.72,4,1085.88,4,1082.75,4,1082.46,4,1082.46,4,1082.46,4,1084.38,4,1085.08,4,1086.02,4,1083.87,4,4.00,0.000,1082.46,1084.61,2.43,1.00,-8.99,91.01,12.63
R203,3.0,939.5,3,943.50,3,942.70,3,952.96,3,961.50,3,952.86,3,958.08,3,946.74,3,943.50,3,956.66,3,953.20,3,3.00,0.000,942.70,951.17,6.35,0.00,1.24,1.24,13.99
R204,2.0,825.52,3,751.97,3,753.41,3,755.02,3,756.32,3,763.69,3,756.39,3,755.83,3,752.17,3,767.62,3,752.06,3,3.00,0.000,751.97,756.45,4.97,1.00,-8.37,91.63,15.28
R205,3.0,994.43,3,1029.50,3,1032.40,3,1032.82,3,1025.15,3,1039.43,3,1001.93,3,1032.45,3,1016.85,3,1023.86,3,1008.81,3,3.00,0.000,1001.93,1024.32,11.21,0.00,3.01,3.01,10.59
R206,3.0,906.14,3,915.43,3,936.87,3,930.67,3,919.52,3,923.56,3,912.25,3,926.76,3,920.37,3,940.43,3,912.26,3,3.00,0.000,912.25,923.81,9.33,0.00,1.95,1.95,12.50
R207,2.0,890.61,3,828.40,3,819.74,3,831.12,3,812.75,3,819.74,3,821.04,3,812.75,3,814.99,3,813.47,3,826.12,3,3.00,0.000,812.75,820.01,6.37,1.00,-7.93,92.07,13.96
R208,2.0,726.82,2,726.82,2,735.20,2,743.75,2,732.58,2,739.60,2,742.46,2,727.69,2,728.86,2,743.23,2,737.56,2,2.00,0.000,726.82,735.78,6.21,0.00,1.23,1.23,14.37
R209,3.0,909.16,3,937.98,3,934.86,3,928.84,3,935.07,3,943.16,3,928.71,3,935.49,3,949.36,3,946.25,3,936.29,3,3.00,0.000,928.71,937.60,6.48,0.00,3.13,3.13,12.36
R210,3.0,939.37,3,959.96,3,961.05,3,942.81,3,979.15,3,964.58,3,961.95,3,961.12,3,975.19,3,939.37,3,943.09,3,3.00,0.000,939.37,958.83,12.72,0.00,2.07,2.07,12.75
R211,2.0,885.71,3,791.00,3,793.02,3,780.47,3,790.28,3,784.54,3,791.86,3,782.85,3,783.08,3,788.68,3,784.36,3,3.00,0.000,780.47,787.01,4.21,1.00,-11.14,88.86,13.54
RC101,14.0,1696.95,15,1623.58,15,1631.34,15,1635.24,15,1635.39,15,1631.34,15,1631.75,15,1636.97,15,1623.58,15,1631.34,15,1636.50,15,15.00,0.000,1623.58,1631.70,4.57,1.00,-3.84,96.16,10.65
RC102,12.0,1554.75,13,1499.76,13,1495.59,13,1491.93,13,1488.41,14,1462.00,13,1495.59,13,1488.97,13,1487.74,13,1484.97,13,1488.39,13,13.10,0.300,1484.97,1488.34,9.77,1.10,-4.27,105.73,12.86
RC103,11.0,1261.67,11,1276.91,11,1277.97,11,1276.84,11,1317.09,11,1274.16,11,1270.72,11,1275.42,11,1262.02,11,1279.00,11,1263.54,11,11.00,0.000,1262.02,1277.37,14.38,0.00,1.24,1.24,14.15
RC104,10.0,1135.48,10,1141.01,10,1139.33,10,1150.47,10,1140.54,10,1139.32,10,1141.96,10,1140.00,10,1143.43,10,1135.83,10,1152.27,10,10.00,0.000,1135.83,1142.42,4.87,0.00,0.61,0.61,12.75
RC105,13.0,1629.44,14,1550.21,14,1543.53,14,1562.61,14,1541.23,14,1551.30,14,1540.18,14,1552.05,14,1554.01,14,1542.27,14,1543.55,14,14.00,0.000,1540.18,1548.09,6.79,1.00,-4.99,95.01,12.18
RC106,11.0,1424.73,12,1387.05,12,1397.90,12,1395.70,12,1391.08,12,1398.26,12,1388.90,12,1388.54,12,1385.56,12,1390.15,12,1384.46,12,12.00,0.000,1384.46,1390.76,4.70,1.00,-2.38,97.62,10.66
RC107,11.0,1230.48,11,1241.92,11,1241.95,11,1234.29,11,1237.07,11,1241.95,11,1262.39,11,1243.67,11,1245.70,11,1245.70,12,1250.28,11,11.10,0.300,1234.29,1244.49,7.32,0.10,1.14,11.14,12.24
RC108,10.0,1139.82,10,1141.00,11,1128.40,11,1123.48,10,1147.70,11,1129.43,10,1139.82,11,1131.41,11,1137.29,11,1128.57,11,1134.85,10,10.70,0.458,1139.82,1134.19,6.93,0.70,-0.49,69.51,12.73
RC201,4.0,1406.94,4,1424.95,4,1406.94,4,1424.19,4,1428.11,4,1449.35,4,1434.24,4,1413.52,4,1454.50,4,1429.12,4,1425.87,4,4.00,0.000,1406.94,1429.08,13.67,0.00,1.57,1.57,10.11
RC202,3.0,1365.65,4,1165.57,4,1161.29,4,1179.92,4,1161.83,4,1206.43,4,1162.80,4,1188.29,4,1161.29,4,1192.32,4,1162.80,4,4.00,0.000,1161.29,1174.25,15.55,1.00,-14.02,85.98,12.00
RC203,3.0,1049.62,4,958.65,3,1086.61,3,1070.44,3,1090.30,3,1051.82,3,1063.66,4,946.09,3,1070.28,3,1094.25,3,1061.77,3,3.20,0.400,1051.82,1049.39,50.22,0.20,-0.02,19.98,13.96
RC204,3.0,798.46,3,818.64,3,828.50,3,813.08,3,804.05,3,803.77,3,798.56,3,833.93,3,798.51,3,812.24,3,798.46,3,3.00,0.000,798.46,810.98,12.10,0.00,1.57,1.57,14.09
RC205,4.0,1297.65,4,1352.43,4,1332.59,4,1338.78,4,1324.19,4,1318.39,4,1323.13,4,1324.05,4,1341.27,4,1334.85,4,1321.00,4,4.00,0.000,1318.39,1331.07,10.29,0.00,2.58,2.58,11.67
RC206,3.0,1146.32,3,1182.97,3,1152.03,4,1085.16,3,1153.69,4,1089.18,3,1154.72,3,1166.51,3,1146.32,3,1165.19,3,1146.32,3,3.20,0.400,1146.32,1144.21,30.37,0.20,-0.18,19.82,11.04
RC207,3.0,1061.14,3,1086.98,3,1089.72,4,1021.56,4,1011.33,4,1025.33,3,1104.64,3,1089.46,3,1089.46,4,1013.89,4,1003.35,3,3.50,0.500,1086.98,1053.57,39.13,0.50,-0.71,49.29,13.06
RC208,3.0,828.14,3,833.78,3,845.58,3,854.34,3,858.75,3,848.20,3,829.70,3,836.28,3,841.51,3,837.64,3,831.46,3,3.00,0.000,829.70,841.72,9.30,0.00,1.64,1.64,13.68
