iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,reward,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,r_weight_0,r_weight_1,r_weight_2,r_weight_3
44,12,1514.54,12,1514.54,1,1,33,14950.6,0.00410231,0.96295,0.0108082,0.0221396,0.00313075,0.966201,0.0246381,0.00603034
45,12,1514.54,12,1524.44,1,1,9,14943.1,0.00238606,0.978445,0.0062877,0.0128816,0.00182808,0.980258,0.0143924,0.00352165
46,12,1514.54,13,1638.08,1,1,9,14935.7,0.00224438,0.979719,0.00591549,0.0121208,0.00172833,0.981329,0.0136127,0.00332992
47,12,1514.54,12,1725.67,1,1,13,14928.2,0.00211344,0.980898,0.00557144,0.0114175,0.00163568,0.982324,0.0128883,0.00315183
48,12,1514.54,12,1718.33,1,1,13,14920.7,0.00184028,0.983362,0.00485228,0.00994515,0.00143117,0.984529,0.0112816,0.00275813
49,12,1514.54,12,1757.42,1,1,9,14913.3,0.00160623,0.985475,0.00423599,0.00868326,0.00125515,0.986428,0.0098981,0.00241921
50,12,1514.54,12,1596,1,1,13,14905.8,0.00152193,0.986233,0.00401444,0.00823029,0.00119498,0.987074,0.0094275,0.00230354
51,12,1514.54,12,1670.67,1,1,9,14898.3,0.00133276,0.987941,0.00351615,0.00720974,0.00105132,0.988624,0.00829758,0.00202688
52,12,1514.54,12,1747.82,1,1,9,14890.9,0.00126724,0.988531,0.00334393,0.0068576,0.00100427,0.98913,0.0079295,0.00193642
53,12,1514.54,12,1747.82,1,1,0,14883.5,0.00120606,0.989082,0.00318312,0.00652875,0.000960138,0.989604,0.00758418,0.00185157
54,12,1514.54,12,1759.96,1,1,9,14876,0.00137531,0.987547,0.00363052,0.00744746,0.00109987,0.988087,0.00869148,0.00212131
55,12,1514.54,12,1771.8,1,1,9,14868.6,0.00130677,0.988164,0.00345024,0.00707868,0.00104961,0.988628,0.0082978,0.00202465
56,12,1514.54,12,1786.07,1,1,9,14861.1,0.00124281,0.988741,0.00328203,0.00673452,0.00100253,0.989135,0.00792882,0.00193408
57,12,1514.54,13,1795.34,1,1,9,14853.7,0.00118309,0.989279,0.00312492,0.00641306,0.000958365,0.98961,0.0075827,0.00184913
58,12,1514.54,13,1843.71,1,1,9,14846.3,0.00112727,0.989782,0.00297805,0.00611253,0.000916915,0.990056,0.00725775,0.00176938
59,12,1514.54,13,1707.27,1,1,13,14838.9,0.00107504,0.990253,0.00284063,0.00583132,0.000877979,0.990475,0.00695243,0.00169447
60,12,1514.54,13,1785.21,1,1,9,14831.4,0.000947019,0.991412,0.00250284,0.00513862,0.000776487,0.991573,0.00615129,0.00149879
61,12,1514.54,13,1692.5,1,1,13,14824,0.000906136,0.99178,0.00239525,0.00491845,0.000745866,0.991903,0.00591116,0.00143987
62,12,1514.54,13,1707.18,1,1,9,14816.6,0.000800708,0.992735,0.00211698,0.00434767,0.000661604,0.992815,0.00524554,0.00127738
63,12,1514.54,13,1574.56,1,1,13,14809.2,0.000768595,0.993024,0.00203247,0.00417471,0.000637456,0.993075,0.00505618,0.00123092
64,12,1514.54,14,1684.77,1,1,9,14801.8,0.00068122,0.993816,0.00180177,0.00370138,0.000567071,0.993838,0.00449976,0.00109515
65,12,1514.54,13,1836.58,1,1,13,14794.4,0.00065592,0.994044,0.00173519,0.00356512,0.000547985,0.994043,0.00435011,0.00105843
