iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,reward,temp,epsilon
0,15,1382.78,15,1382.78,2,1,10,119.513,5
1,15,1233.64,15,1233.64,2,2,10,119.489,4.9975
2,15,1225.73,15,1225.73,0,1,0.641494,119.465,4.995
3,15,1184.71,15,1184.71,2,2,3.34684,119.441,4.9925
4,15,1155.62,15,1155.62,2,3,2.45481,119.417,4.99001
5,15,1136.7,15,1136.7,3,0,1.63739,119.393,4.98751
6,15,1098.21,15,1098.21,2,2,3.38604,119.369,4.98502
7,15,1097.51,15,1097.51,0,1,0.0642297,119.346,4.98253
8,12,1220.55,12,1220.55,1,2,10,119.322,4.98003
9,11,1334.42,11,1334.42,1,2,10,119.298,4.97754
10,11,1300.27,11,1300.27,3,1,2.5596,119.274,4.97506
11,11,1300.27,11,1300.27,1,1,-10,119.25,4.97257
12,11,1292.18,11,1292.18,0,2,0.622019,119.226,4.97008
13,11,1292.18,11,1298.19,1,3,-0.464753,119.202,4.9676
14,11,1292.18,11,1297.28,4,1,0.0701026,119.179,4.96511
15,11,1285.71,11,1285.71,4,2,0.891193,119.155,4.96263
16,11,1285.71,11,1285.71,4,1,0,119.131,4.96015
17,11,1193.68,11,1193.68,2,2,7.15864,119.107,4.95767
18,11,1191.54,11,1191.54,3,2,0.178671,119.083,4.95519
19,11,1160.93,11,1160.93,0,2,2.56938,119.059,4.95271
20,11,1160.15,11,1160.15,0,0,0.0672505,119.036,4.95024
21,11,1160.15,11,1161.28,3,0,-0.0979651,119.012,4.94776
22,11,1065.2,11,1065.2,2,0,8.27358,118.988,4.94529
23,11,1065.2,11,1104.15,3,0,-3.65623,118.964,4.94282
24,11,1065.2,11,1101.52,3,0,0.237799,118.94,4.94034
25,11,1065.2,11,1103.39,3,0,-0.169516,118.917,4.93787
26,11,1065.2,11,1347.93,1,1,-10,118.893,4.9354
27,11,1065.2,11,1297.38,4,3,3.7498,118.869,4.93294
28,11,1065.2,11,1236.14,0,0,4.7208,118.845,4.93047
29,11,1065.2,11,1236.14,1,2,-10,118.822,4.92801
30,11,1065.2,11,1236.14,3,3,-10,118.798,4.92554
31,11,1065.2,11,1236.14,4,0,-10,118.774,4.92308
32,11,1065.2,11,1236.14,3,3,-10,118.75,4.92062
33,11,1065.2,11,1229.62,0,2,0.527074,118.726,4.91816
34,11,1055.25,11,1055.25,2,0,10,118.703,4.9157
35,11,1048.03,11,1048.03,2,1,0.684002,118.679,4.91324
36,11,1048.03,11,1066.27,2,1,-1.74036,118.655,4.91078
37,11,1048.03,11,1060.9,4,3,0.502989,118.632,4.90833
38,11,1048.03,11,1060.9,2,0,-10,118.608,4.90587
39,11,1040.48,11,1040.48,0,2,1.92528,118.584,4.90342
40,11,1040.13,11,1040.13,3,1,0.0333641,118.56,4.90097
41,11,1035.91,11,1035.91,4,2,0.406198,118.537,4.89852
42,11,1004.23,11,1004.23,2,0,3.05777,118.513,4.89607
43,11,1004.23,11,1008.3,2,2,-0.405549,118.489,4.89362
44,11,1004.23,11,1008.3,1,1,-10,118.466,4.89117
45,11,1004.23,11,1005.4,0,0,0.288403,118.442,4.88873
46,11,1004.23,11,1005.29,4,2,0.0109256,118.418,4.88628
47,11,1004.23,11,1072.36,2,1,-6.67253,118.394,4.88384
48,11,1004.23,11,1030.63,2,1,3.89201,118.371,4.8814
49,11,1004.23,11,1017.64,0,2,1.26042,118.347,4.87896
50,11,1004.23,11,1020.06,2,0,-0.237798,118.323,4.87652
51,10,1137.94,10,1137.94,1,1,10,118.3,4.87408
52,10,1136.43,10,1136.43,0,2,0.13257,118.276,4.87164
53,10,1051.34,10,1051.34,2,2,7.48768,118.252,4.86921
54,10,1051.34,10,1265.08,1,2,-10,118.229,4.86677
55,10,1051.34,10,1282.83,0,0,-1.40251,118.205,4.86434
56,10,1051.34,10,1280.25,0,2,0.201107,118.182,4.86191
57,10,1051.34,10,1280.25,3,0,-10,118.158,4.85948
58,10,1051.34,10,1239.98,2,0,3.14543,118.134,4.85705
59,10,1051.34,10,1239.92,3,1,0.004595,118.111,4.85462
60,10,1051.34,10,1235.38,0,1,0.365954,118.087,4.85219
61,10,1051.34,10,1235.38,0,2,0,118.063,4.84977
62,10,1051.34,10,1232.83,3,2,0.206335,118.04,4.84734
63,10,1051.34,10,1226.06,4,0,0.549584,118.016,4.84492
64,10,1051.34,10,1226.06,2,0,-10,117.993,4.84249
65,10,1051.34,10,1243.6,1,3,-1.43041,117.969,4.84007
66,10,1051.34,10,1225.15,3,0,1.48357,117.945,4.83765
67,10,1051.34,10,1225.15,1,3,-8.03388,117.922,4.83523
68,10,1051.34,10,1167.18,2,2,4.73103,117.898,4.83282
69,10,1051.34,10,1167.06,0,0,0.0110247,117.875,4.8304
70,10,1051.34,10,1167.06,1,1,-10,117.851,4.82798
71,10,1051.34,10,1165.78,0,2,0.109019,117.827,4.82557
72,10,1051.34,10,1165.78,0,0,-10,117.804,4.82316
73,10,1051.34,10,1165.2,0,3,0.0502757,117.78,4.82075
74,10,1051.34,10,1217.03,1,2,-4.44836,117.757,4.81834
75,10,1051.34,10,1218.77,4,3,-0.143009,117.733,4.81593
76,10,1051.34,10,1218.77,3,1,-3.1864,117.71,4.81352
77,10,1051.34,10,1119.63,2,0,8.13414,117.686,4.81111
78,10,1051.34,10,1118.95,3,1,0.0612357,117.663,4.80871
79,10,1051.34,10,1067.92,3,3,4.56062,117.639,4.8063
80,10,1051.34,10,1067.92,1,1,-10,117.616,4.8039
81,10,1051.34,10,1067.92,1,0,-10,117.592,4.8015
82,10,1051.34,10,1097.66,1,3,-2.7853,117.569,4.7991
83,10,1051.34,10,1054.62,2,3,3.92106,117.545,4.7967
84,10,1048.5,10,1048.5,3,2,0.580064,117.522,4.7943
85,10,1048.5,10,1048.5,1,1,-10,117.498,4.7919
86,10,1048.5,10,1110.58,0,3,-5.92036,117.475,4.78951
87,10,1048.5,10,1097.25,1,0,1.2002,117.451,4.78711
88,10,1048.5,10,1097.25,1,2,-9.91256,117.428,4.78472
89,10,1048.5,10,1097.25,1,2,-10,117.404,4.78232
90,10,1048.5,10,1097.25,4,0,-10,117.381,4.77993
91,10,1048.5,10,1097.25,4,3,-10,117.357,4.77754
92,10,1048.5,10,1097.25,4,0,0,117.334,4.77515
93,10,1048.5,10,1098.05,4,0,-0.072648,117.31,4.77277
94,10,947.842,10,947.842,2,1,10,117.287,4.77038
95,10,944.167,10,944.167,3,3,0.387745,117.263,4.768
96,10,942.924,10,942.924,2,0,0.131614,117.24,4.76561
97,10,942.924,10,1035.36,1,0,-9.8029,117.216,4.76323
98,10,942.924,10,1055.76,3,2,-1.97014,117.193,4.76085
99,10,942.924,10,1055.76,3,3,0,117.169,4.75847
100,10,942.924,10,1055.76,3,2,0,117.146,4.75609
101,10,942.924,10,1055.76,4,0,0,117.123,4.75371
102,10,942.924,10,1055.76,3,0,-10,117.099,4.75133
103,10,942.924,10,1055.76,0,2,0,117.076,4.74896
104,10,942.924,10,1055.76,0,3,-4.03196,117.052,4.74658
105,10,942.924,10,1055.76,4,3,-2.51443,117.029,4.74421
106,10,942.924,10,1033.7,2,3,2.08867,117.005,4.74184
107,10,942.924,10,1024.39,2,3,0.900856,116.982,4.73947
108,10,942.924,10,1024.39,0,2,0,116.959,4.7371
109,10,942.924,10,1017.47,2,1,0.675383,116.935,4.73473
110,10,942.924,10,1020.57,3,3,-0.304108,116.912,4.73236
111,10,942.924,10,999.373,2,3,2.0768,116.889,4.72999
112,10,942.924,10,1228.35,1,2,-10,116.865,4.72763
113,10,942.924,10,1355.39,1,2,-10,116.842,4.72527
114,10,942.924,10,1310.33,1,1,3.32453,116.818,4.7229
115,10,942.924,10,1310.33,0,0,0,116.795,4.72054
116,10,942.924,10,1289.3,2,0,1.60449,116.772,4.71818
117,10,942.924,10,1289.3,4,1,0,116.748,4.71582
118,10,942.924,10,1168.38,2,0,9.37906,116.725,4.71346
119,10,942.924,10,1145.87,1,3,1.92664,116.702,4.71111
120,10,942.924,10,1145.87,0,0,0,116.678,4.70875
121,10,942.924,10,1004.07,2,2,10,116.655,4.7064
122,10,942.924,10,1004.07,3,3,-10,116.632,4.70404
123,10,942.924,10,1004.07,4,0,0,116.608,4.70169
124,10,942.924,10,1001.5,3,0,0.255147,116.585,4.69934
125,10,942.924,10,1000.63,0,2,0.0870674,116.562,4.69699
126,10,942.924,10,1301.31,1,1,-10,116.538,4.69464
127,10,942.924,10,1301.31,4,3,0,116.515,4.6923
128,10,942.924,10,1301.31,4,3,-10,116.492,4.68995
129,10,942.924,10,1206,3,2,7.32365,116.468,4.6876
130,10,942.924,10,1206,2,1,-10,116.445,4.68526
131,10,942.924,10,1200.78,0,0,0.433407,116.422,4.68292
132,10,942.924,10,1207.35,3,1,-0.547197,116.399,4.68058
133,10,942.924,10,1207.35,3,0,-10,116.375,4.67824
134,10,942.924,10,1204.14,3,1,0.26526,116.352,4.6759
135,10,942.924,10,1204.14,4,3,-10,116.329,4.67356
136,10,942.924,10,1231.11,0,1,-2.23964,116.305,4.67122
137,10,942.924,10,1058.68,2,1,10,116.282,4.66889
138,10,942.924,10,1056.92,4,1,0.166396,116.259,4.66655
139,10,942.924,10,1096.01,1,3,-3.69838,116.236,4.66422
140,10,942.924,10,1108.35,3,1,-1.12569,116.212,4.66189
141,10,942.924,10,1106.92,4,1,0.128919,116.189,4.65956
142,10,942.924,10,1101.03,3,2,0.531954,116.166,4.65723
143,10,942.924,10,1002.2,2,3,8.97585,116.143,4.6549
144,10,942.924,10,990.299,2,3,1.18785,116.12,4.65257
145,10,942.924,10,990.299,3,2,0,116.096,4.65024
146,10,942.924,10,990.299,1,0,-10,116.073,4.64792
147,10,942.924,10,990.299,1,0,-10,116.05,4.6456
148,10,942.924,10,990.299,3,0,0,116.027,4.64327
149,10,942.924,10,987.592,3,0,0.273393,116.003,4.64095
150,10,942.924,10,987.592,4,2,0,115.98,4.63863
151,10,942.924,10,987.592,2,0,-10,115.957,4.63631
152,10,942.924,10,987.592,0,2,0,115.934,4.63399
153,10,942.924,10,987.592,0,1,0,115.911,4.63168
154,10,942.924,10,988.516,4,1,-0.0936153,115.888,4.62936
155,10,934.472,10,934.472,3,1,5.46718,115.864,4.62705
156,10,934.472,10,934.472,1,0,-10,115.841,4.62473
157,10,934.472,10,935.758,0,1,-0.137633,115.818,4.62242
158,10,934.472,10,935.758,3,0,0,115.795,4.62011
159,10,934.472,10,995.935,1,2,-6.43079,115.772,4.6178
160,10,934.472,10,993.127,3,2,0.281996,115.749,4.61549
161,10,934.472,10,976.706,3,0,1.65339,115.725,4.61318
162,10,934.472,10,975.782,3,3,0.0946587,115.702,4.61088
163,10,934.472,10,973.389,3,0,0.24518,115.679,4.60857
164,10,934.351,10,934.351,0,3,4.01057,115.656,4.60627
165,10,934.351,10,934.351,0,0,-10,115.633,4.60396
166,10,934.351,10,934.351,2,0,-5.42943,115.61,4.60166
167,10,934.351,10,934.351,3,1,0,115.587,4.59936
168,10,934.351,10,934.351,0,0,-10,115.563,4.59706
169,10,934.351,10,965.098,2,0,-3.2907,115.54,4.59476
170,10,934.351,10,971.805,0,0,-0.695051,115.517,4.59246
171,10,934.351,10,1004.5,2,1,-3.3638,115.494,4.59017
172,10,934.351,10,1047.06,1,3,-4.23772,115.471,4.58787
173,10,934.351,10,1046.81,0,2,0.0244462,115.448,4.58558
174,10,934.351,10,1046.81,0,3,-10,115.425,4.58329
