iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,reward,temp,epsilon
0,18,1833.23,18,1833.23,0,1,5.26097,138,0.5
1,17,1419.76,17,1419.76,2,1,5.59011,137.973,0.49975
2,17,1415.93,17,1415.93,0,2,0.000449515,137.945,0.4995
3,17,1298,17,1298,2,1,0.0138514,137.917,0.49925
4,17,1297.45,17,1297.45,4,0,6.4546e-05,137.89,0.499001
5,15,1148.09,15,1148.09,1,3,10,137.862,0.498751
6,13,1204.63,13,1204.63,1,0,10,137.835,0.498502
7,12,1230.06,12,1230.06,1,0,7.67417,137.807,0.498253
8,12,1225.69,12,1225.69,4,0,0.000726147,137.78,0.498003
9,12,1223.69,12,1223.69,3,0,0.000333135,137.752,0.497754
10,12,1211.31,12,1211.31,4,2,0.00205896,137.724,0.497506
11,12,1211.31,12,1211.31,1,1,-2.04887,137.697,0.497257
12,12,1211.31,12,1326.11,1,3,-0.0190945,137.669,0.497008
13,11,1368.11,11,1368.11,1,0,8.30797,137.642,0.49676
14,11,1368.11,11,1368.11,0,3,-11.067,137.614,0.496511
15,11,1368.11,11,1368.11,0,1,-11.0931,137.587,0.496263
16,11,1315.99,11,1315.99,2,2,0.00945348,137.559,0.496015
17,11,1307.77,11,1307.77,3,1,0.00149065,137.532,0.495767
18,11,1301.22,11,1301.22,1,2,0.00118835,137.504,0.495519
19,11,1218.2,11,1218.2,2,2,0.0150587,137.477,0.495271
20,11,1201.09,11,1201.09,3,2,0.00310462,137.449,0.495024
21,11,1201.09,11,1201.09,2,0,0,137.422,0.494776
22,11,1193.92,11,1193.92,0,1,0.00130083,137.394,0.494529
23,11,1170.04,11,1170.04,4,0,0.00433126,137.367,0.494282
24,11,1141.13,11,1141.13,3,3,0.00524625,137.339,0.494034
25,11,1141.13,11,1141.13,4,0,-11.0736,137.312,0.493787
26,11,1123.3,11,1123.3,4,2,0.00323438,137.284,0.49354
27,11,1122.4,11,1122.4,0,2,0.000164499,137.257,0.493294
28,11,1122.4,11,1139.43,2,2,-0.00309005,137.23,0.493047
29,11,1122.4,11,1139.43,2,2,0,137.202,0.492801
30,11,1122.4,11,1139.43,2,1,-11.0783,137.175,0.492554
31,11,1122.4,11,1139.24,3,0,3.35507e-05,137.147,0.492308
32,11,1122.4,11,1139.24,1,2,-2.01806,137.12,0.492062
33,11,1122.4,11,1139.24,1,3,-2.01243,137.092,0.491816
34,11,1122.4,11,1139.24,3,1,0,137.065,0.49157
35,11,1122.4,11,1138.44,4,3,0.000144731,137.038,0.491324
36,11,1122.4,11,1136.68,0,0,0.000320654,137.01,0.491078
37,11,1122.4,11,1136.68,2,3,-11.0809,136.983,0.490833
38,11,1122.4,11,1136.68,3,2,-11.0794,136.955,0.490587
39,11,1122.4,11,1136.68,3,1,0,136.928,0.490342
40,11,1122.4,11,1136.68,1,1,-11.1172,136.901,0.490097
41,11,1122.4,11,1135.48,4,1,0.00021744,136.873,0.489852
42,11,1122.4,11,1135.48,4,2,-11.0752,136.846,0.489607
43,11,1095.18,11,1095.18,2,2,0.00731272,136.818,0.489362
44,11,1095.18,11,1095.18,0,2,0,136.791,0.489117
45,11,1095.18,11,1095.18,2,0,-11.0829,136.764,0.488873
46,11,1095.18,11,1095.18,1,2,-2.05456,136.736,0.488628
47,11,1095.18,11,1095.18,3,1,0,136.709,0.488384
48,11,1095.18,11,1152.19,1,3,-0.0103464,136.682,0.48814
49,11,1095.18,11,1152.19,1,1,-2.04088,136.654,0.487896
50,11,1095.18,11,1152.19,0,3,-11.0712,136.627,0.487652
51,11,1095.18,11,1151.23,1,1,0.000175387,136.6,0.487408
52,11,1095.18,11,1142.26,0,3,0.00162697,136.572,0.487164
53,11,1095.18,11,1142.26,2,3,0,136.545,0.486921
54,11,1095.18,11,1122.07,1,0,0.00366321,136.518,0.486677
55,11,1095.18,11,1115.55,4,2,0.00118245,136.49,0.486434
56,11,1095.18,11,1115.55,2,0,-11.0804,136.463,0.486191
57,11,1095.18,11,1115.55,3,3,0,136.436,0.485948
58,11,1095.18,11,1111.93,3,3,0.000657427,136.409,0.485705
59,11,1095.18,11,1111.93,3,0,-11.0776,136.381,0.485462
60,11,1095.18,11,1111.93,0,1,-2.01017,136.354,0.485219
61,11,1095.18,11,1111.93,0,1,0,136.327,0.484977
62,11,1095.18,11,1111.93,4,1,0,136.299,0.484734
63,11,1095.18,11,1111.93,0,1,0,136.272,0.484492
64,11,1095.18,11,1111.24,0,1,0.00012611,136.245,0.484249
65,11,1095.18,11,1111.24,4,1,0,136.218,0.484007
66,11,1095.18,11,1107.16,4,1,0.000739081,136.19,0.483765
67,11,1095.18,11,1107.16,2,0,-11.0757,136.163,0.483523
68,11,1095.18,11,1107.16,1,2,-2.01895,136.136,0.483282
69,11,1095.18,11,1107.16,1,2,-2.02152,136.109,0.48304
70,11,1095.18,11,1107.16,1,0,-2.04661,136.082,0.482798
71,11,1095.18,11,1107.16,0,1,-11.0845,136.054,0.482557
72,11,1095.18,11,1107.16,3,3,0,136.027,0.482316
73,11,1095.18,11,1107.16,3,3,0,136,0.482075
74,11,1095.18,11,1107.16,3,1,0,135.973,0.481834
75,11,1095.18,11,1107.16,3,2,0,135.945,0.481593
76,11,1095.18,11,1107.16,0,3,0,135.918,0.481352
77,11,1095.18,11,1107.16,3,3,0,135.891,0.481111
78,11,1095.18,11,1107.16,4,2,0,135.864,0.480871
79,11,1095.18,11,1121.13,4,3,-0.00253445,135.837,0.48063
80,11,1095.18,11,1121.13,4,3,0,135.81,0.48039
81,11,1095.18,11,1121.13,2,2,-11.0753,135.782,0.48015
82,11,1095.18,11,1151.16,1,3,-0.00544889,135.755,0.47991
83,11,1095.18,11,1151.16,0,1,-11.0902,135.728,0.47967
84,11,1095.18,11,1154.22,4,0,-0.000554728,135.701,0.47943
85,11,1095.18,11,1154.22,3,2,0,135.674,0.47919
