iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,reward,temp,epsilon
0,20,2091.64,20,2091.64,3,1,1.30116,152.869,5
1,20,2061.58,20,2061.58,3,2,1.43701,152.839,4.9975
2,17,1989.62,17,1989.62,1,1,10,152.808,4.995
3,17,1986.48,17,1986.48,3,2,0.157567,152.777,4.9925
4,17,1986.48,17,1988.35,1,3,-0.0938097,152.747,4.99001
5,17,1956.53,17,1956.53,4,0,1.60039,152.716,4.98751
6,16,2062.81,16,2062.81,1,3,10,152.686,4.98502
7,15,1969.07,15,1969.07,1,1,10,152.655,4.98253
8,15,1938.58,15,1938.58,4,2,1.5481,152.625,4.98003
9,15,1938.58,15,1938.58,3,0,-10,152.594,4.97754
10,15,1898.18,15,1898.18,0,1,2.08406,152.564,4.97506
11,15,1898.18,15,1899.64,4,2,-0.0770446,152.533,4.97257
12,15,1850.91,15,1850.91,4,2,2.56566,152.503,4.97008
13,15,1835.37,15,1835.37,0,1,0.839162,152.472,4.9676
14,15,1835.37,15,1835.37,0,0,-10,152.442,4.96511
15,15,1835.37,15,1835.37,1,3,-4.92064,152.411,4.96263
16,15,1799.09,15,1799.09,4,3,1.97703,152.381,4.96015
17,15,1796.66,15,1796.66,4,1,0.13491,152.35,4.95767
18,15,1789.46,15,1789.46,4,2,0.400592,152.32,4.95519
19,15,1789.46,15,1789.46,4,3,-10,152.289,4.95271
20,15,1789.46,15,1796.66,3,0,-0.402203,152.259,4.95024
21,15,1765.71,15,1765.71,2,3,1.72247,152.228,4.94776
22,15,1765.71,15,1765.71,1,1,-10,152.198,4.94529
23,14,1752.82,14,1752.82,1,2,10,152.167,4.94282
24,14,1752.82,14,1752.82,1,1,-10,152.137,4.94034
25,14,1703.39,14,1703.39,2,2,2.82,152.107,4.93787
26,14,1703.39,14,1703.39,2,0,-10,152.076,4.9354
27,14,1703.39,14,1762.77,0,0,-3.48614,152.046,4.93294
28,14,1703.39,14,1732.62,2,2,1.71024,152.015,4.93047
29,14,1703.39,14,1732.62,1,0,-10,151.985,4.92801
30,14,1703.39,14,1732.62,2,3,-10,151.955,4.92554
31,14,1703.39,14,1716.25,4,2,0.945042,151.924,4.92308
32,14,1695.25,14,1695.25,4,1,1.22363,151.894,4.92062
33,14,1695.25,14,1695.25,2,0,0,151.863,4.91816
34,14,1695.25,14,1696.6,4,2,-0.0795459,151.833,4.9157
35,14,1695.25,14,1829.78,1,1,-7.85024,151.803,4.91324
36,14,1695.25,14,1829.78,2,3,-10,151.772,4.91078
37,14,1695.25,14,1825.84,3,1,0.215681,151.742,4.90833
38,14,1695.25,14,1825.84,3,1,-10,151.712,4.90587
39,14,1695.25,14,1762.4,3,1,3.47429,151.681,4.90342
