iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,reward,temp,epsilon
95,15,1477.47,15,1529.33,3,3,-10,158.441,4.768
96,15,1477.47,15,1529.33,1,3,-5.35678,158.41,4.76561
97,15,1477.47,15,1529.33,4,3,-10,158.378,4.76323
98,15,1477.47,15,1542.63,3,0,-0.869738,158.346,4.76085
99,15,1477.47,15,1542.63,4,2,0,158.315,4.75847
100,15,1477.47,15,1542.63,3,2,0,158.283,4.75609
101,15,1477.47,15,1542.63,4,3,-10,158.251,4.75371
102,15,1477.47,15,1542.63,3,2,0,158.22,4.75133
103,15,1477.47,15,1541.54,4,2,0.0704472,158.188,4.74896
104,15,1477.47,15,1541.54,2,3,-10,158.156,4.74658
105,15,1477.47,15,1542.87,0,0,-0.0861263,158.125,4.74421
106,15,1477.47,15,1542.37,2,1,0.0324835,158.093,4.74184
107,15,1477.47,15,1542.37,3,0,0,158.062,4.73947
108,15,1477.47,15,1542.37,4,3,-10,158.03,4.7371
109,15,1477.47,15,1542.37,0,2,-10,157.998,4.73473
110,15,1477.47,15,1548.04,0,1,-0.367785,157.967,4.73236
111,15,1477.47,15,1548.04,3,0,-10,157.935,4.72999
112,15,1477.47,15,1548.04,1,3,-10,157.904,4.72763
113,15,1477.47,15,1545.34,3,3,0.174667,157.872,4.72527
114,15,1477.47,15,1540,3,1,0.345414,157.84,4.7229
115,15,1477.47,15,1538.15,0,2,0.120436,157.809,4.72054
116,15,1477.47,15,1531.28,3,1,0.44649,157.777,4.71818
117,15,1477.47,15,1531.28,3,1,0,157.746,4.71582
118,15,1477.47,15,1531.28,2,3,-10,157.714,4.71346
119,15,1477.47,15,1531.28,2,1,0,157.683,4.71111
120,15,1477.47,15,1531.28,1,3,-10,157.651,4.70875
121,15,1477.47,15,1528.4,0,0,0.187819,157.62,4.7064
122,15,1477.47,15,1528.4,4,1,-10,157.588,4.70404
123,15,1477.47,15,1528.4,1,1,-10,157.557,4.70169
124,15,1477.47,15,1525.67,0,2,0.178895,157.525,4.69934
125,15,1477.47,15,1525.44,4,3,0.0149943,157.494,4.69699
126,15,1477.47,15,1525.44,2,1,0,157.462,4.69464
127,15,1477.47,15,1525.44,4,2,0,157.431,4.6923
128,15,1477.47,15,1525.44,0,3,0,157.399,4.68995
129,15,1477.47,15,1525.44,4,0,-10,157.368,4.6876
130,15,1477.47,15,1525.44,3,0,-10,157.336,4.68526
131,15,1477.47,15,1525.44,2,0,-10,157.305,4.68292
132,15,1477.47,15,1572.04,0,1,-3.05519,157.273,4.68058
133,15,1477.47,15,1568.56,3,1,0.221395,157.242,4.67824
134,15,1477.47,15,1568.56,4,0,-10,157.21,4.6759
135,15,1477.47,15,1568.56,4,1,0,157.179,4.67356
136,15,1477.47,15,1546.72,4,2,1.39253,157.147,4.67122
137,15,1477.47,15,1555.39,1,1,-0.560749,157.116,4.66889
138,15,1477.47,15,1555.39,2,0,-10,157.085,4.66655
139,15,1477.47,15,1555.39,4,3,-10,157.053,4.66422
140,15,1477.47,15,1566.75,0,2,-0.729823,157.022,4.66189
141,15,1477.47,15,1566.75,3,3,-10,156.99,4.65956
142,15,1477.47,15,1566.75,0,2,-10,156.959,4.65723
143,15,1477.47,15,1566.75,0,1,0,156.928,4.6549
144,15,1477.47,15,1553.07,4,2,0.873081,156.896,4.65257
145,15,1477.47,15,1553.07,1,1,-10,156.865,4.65024
146,15,1477.47,15,1553.07,3,1,-10,156.833,4.64792
147,15,1477.47,15,1550.58,0,0,0.15992,156.802,4.6456
148,15,1477.47,15,1550.58,2,3,-10,156.771,4.64327
149,15,1477.47,15,1545.43,0,3,0.332305,156.739,4.64095
150,15,1477.47,15,1545.43,2,1,-10,156.708,4.63863
151,15,1477.47,15,1545.43,3,0,-10,156.677,4.63631
152,15,1477.47,15,1593.72,1,1,-3.12441,156.645,4.63399
153,15,1477.47,15,1593.72,0,0,-10,156.614,4.63168
154,15,1477.47,15,1593.72,2,1,-10,156.583,4.62936
155,15,1477.47,15,1593.72,3,0,0,156.551,4.62705
