iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,reward,temp,epsilon
0,21,1743.71,21,1743.71,0,2,6.78831,134.942,5
1,20,1484.88,20,1484.88,2,2,10,134.915,4.9975
2,20,1414.04,20,1414.04,0,3,4.7712,134.888,4.995
3,19,1371.94,19,1371.94,3,0,10,134.861,4.9925
4,16,1322.91,16,1322.91,1,0,10,134.834,4.99001
5,15,1433.24,15,1433.24,1,3,10,134.807,4.98751
6,14,1330.51,14,1330.51,1,3,10,134.78,4.98502
7,14,1330.51,14,1330.51,3,3,0,134.753,4.98253
8,13,1292.16,13,1292.16,0,0,10,134.726,4.98003
9,13,1188.39,13,1188.39,4,3,8.03077,134.699,4.97754
10,13,1188.39,13,1553.42,1,1,-10,134.672,4.97506
11,13,1188.39,13,1553.42,1,3,-10,134.645,4.97257
12,13,1188.39,13,1645.73,1,0,-5.94214,134.619,4.97008
13,13,1188.39,13,1690.95,4,0,-2.748,134.592,4.9676
14,13,1188.39,13,1689.5,3,0,0.0860068,134.565,4.96511
15,13,1188.39,13,1679.98,3,1,0.563335,134.538,4.96263
16,13,1188.39,13,1656.21,0,0,1.41516,134.511,4.96015
17,13,1188.39,13,1670.95,3,0,-0.890292,134.484,4.95767
18,13,1188.39,13,1576.19,3,3,5.67121,134.457,4.95519
19,13,1188.39,13,1470.56,0,2,6.70143,134.43,4.95271
20,13,1188.39,13,1422.76,0,2,3.25043,134.403,4.95024
21,13,1188.39,13,1205.35,2,3,10,134.376,4.94776
22,12,1120.57,12,1120.57,0,1,10,134.35,4.94529
23,12,1120.57,12,1218.24,1,2,-8.71557,134.323,4.94282
24,12,1120.57,12,1218.24,3,0,0,134.296,4.94034
25,12,1120.57,12,1178.95,2,0,3.22528,134.269,4.93787
26,12,1120.57,12,1178.95,2,0,-10,134.242,4.9354
27,12,1120.57,12,1255.76,1,2,-6.51568,134.215,4.93294
28,12,1120.57,12,1255.76,4,3,-5.61278,134.188,4.93047
29,12,1120.57,12,1255.76,1,0,-9.88234,134.162,4.92801
30,11,1111.89,11,1111.89,2,1,10,134.135,4.92554
31,11,1111.89,11,1111.89,3,1,0,134.108,4.92308
32,11,1041.23,11,1041.23,2,1,6.35465,134.081,4.92062
33,11,1037.12,11,1037.12,0,3,0.395379,134.054,4.91816
34,11,1037.12,11,1037.12,3,3,0,134.027,4.9157
35,11,1008.88,11,1008.88,0,2,2.72227,134.001,4.91324
36,11,1008.81,11,1008.81,3,1,0.00790711,133.974,4.91078
37,11,1005.86,11,1005.86,0,2,0.292176,133.947,4.90833
38,11,1005.86,11,1005.86,0,2,0,133.92,4.90587
39,11,1005.86,11,1006.38,4,3,-0.0514878,133.893,4.90342
40,11,1005.86,11,1006.38,3,1,0,133.867,4.90097
41,11,1005.86,11,1010.68,1,3,-0.427857,133.84,4.89852
42,11,1005.86,11,1047.74,1,3,-3.66666,133.813,4.89607
43,11,1005.86,11,1047.74,0,2,0,133.786,4.89362
44,11,1005.86,11,1048.02,4,3,-0.0265339,133.76,4.89117
45,11,1005.86,11,1032.62,0,2,1.46961,133.733,4.88873
46,11,1005.86,11,1032.34,3,0,0.0269225,133.706,4.88628
47,11,1005.86,11,1032.34,3,2,0,133.679,4.88384
48,11,1005.86,11,1032.34,2,1,0,133.653,4.8814
49,11,1005.86,11,1032.34,3,2,0,133.626,4.87896
50,11,1005.86,11,1068.66,4,0,-3.51866,133.599,4.87652
51,11,1005.86,11,1213.82,1,1,-10,133.572,4.87408
52,11,1005.86,11,1213.82,0,1,0,133.546,4.87164
53,11,1005.86,11,1211.49,4,0,0.191879,133.519,4.86921
54,11,1005.86,11,1211.49,1,2,-2.75775,133.492,4.86677
55,11,1005.86,11,1171.81,3,3,3.27534,133.466,4.86434
56,11,1005.86,11,1171.81,3,3,-10,133.439,4.86191
57,11,1005.86,11,1171.81,2,0,-10,133.412,4.85948
58,11,1005.86,11,1171.81,4,0,0,133.386,4.85705
59,11,1005.86,11,1231.85,1,0,-5.12341,133.359,4.85462
60,11,1005.86,11,1172.87,3,1,4.78811,133.332,4.85219
61,11,1005.86,11,1145.98,3,1,2.29268,133.306,4.84977
62,11,1005.86,11,1145.98,2,1,-10,133.279,4.84734
63,11,1005.86,11,1145.98,2,1,0,133.252,4.84492
64,11,1005.86,11,1145.98,0,2,0,133.226,4.84249
65,11,1005.86,11,1145.98,3,0,-10,133.199,4.84007
66,11,1005.86,11,1145.98,4,2,-10,133.172,4.83765
67,11,1005.86,11,1197.44,1,0,-4.49092,133.146,4.83523
68,11,1005.86,11,1196.99,1,3,0.0378887,133.119,4.83282
69,11,1005.86,11,1196.99,0,0,-10,133.092,4.8304
70,11,1005.86,11,1196.99,2,1,-10,133.066,4.82798
71,11,1005.86,11,1196.99,4,1,0,133.039,4.82557
72,11,1005.86,11,1205.85,1,2,-0.740338,133.013,4.82316
73,11,1005.86,11,1175.4,3,0,2.52565,132.986,4.82075
74,11,1005.86,11,1175.24,3,2,0.0128729,132.959,4.81834
75,11,1005.86,11,1170.39,0,3,0.412619,132.933,4.81593
76,11,1005.86,11,1170.39,1,1,-10,132.906,4.81352
77,11,1005.86,11,1170.39,0,0,-10,132.88,4.81111
78,11,1005.86,11,1169.38,3,1,0.0863395,132.853,4.80871
79,11,1005.86,11,1169.38,4,0,0,132.826,4.8063
80,11,1005.86,11,1169.38,2,1,-10,132.8,4.8039
81,11,1005.86,11,1162.53,1,3,0.585799,132.773,4.8015
82,11,1005.86,11,1162.53,1,3,-6.10602,132.747,4.7991
83,11,1005.86,11,1162.53,2,0,-10,132.72,4.7967
84,11,1005.86,11,1162.53,0,3,-10,132.694,4.7943
85,11,1005.86,11,1264.89,1,3,-8.805,132.667,4.7919
86,11,1005.86,11,1263.9,3,2,0.0787551,132.641,4.78951
87,11,1005.86,11,1263.9,3,1,0,132.614,4.78711
88,11,1005.86,11,1263.9,0,0,-10,132.588,4.78472
89,11,1005.86,11,1263.9,2,0,-10,132.561,4.78232
90,11,1005.86,11,1180.76,2,0,6.57773,132.535,4.77993
91,11,1005.86,11,1180.76,3,0,0,132.508,4.77754
92,11,1005.86,11,1180.76,0,0,-10,132.482,4.77515
93,11,1005.86,11,1097.11,2,1,7.0847,132.455,4.77277
94,11,1005.86,11,1097.11,1,1,-10,132.429,4.77038
95,11,1005.86,11,1097.11,2,0,-3.14735,132.402,4.768
96,11,1005.86,11,1097.11,4,0,0,132.376,4.76561
97,11,1005.86,11,1097.11,4,3,0,132.349,4.76323
98,11,1005.86,11,1097.11,4,0,0,132.323,4.76085
99,11,1005.86,11,1064.52,2,2,2.97024,132.296,4.75847
100,11,1005.86,11,1048.12,2,1,1.54041,132.27,4.75609
101,11,1005.86,11,1048.12,3,1,0,132.243,4.75371
102,11,1005.86,11,1047.11,0,2,0.0964115,132.217,4.75133
103,11,1005.86,11,1048.12,2,1,-0.0965046,132.19,4.74896
104,11,1005.86,11,1048.12,4,3,0,132.164,4.74658
105,11,1005.86,11,1048.12,1,2,-10,132.138,4.74421
106,11,1005.86,11,1048.12,4,1,0,132.111,4.74184
107,11,1005.86,11,1048.12,4,1,0,132.085,4.73947
108,11,1005.86,11,1046.06,2,1,0.196716,132.058,4.7371
109,11,1005.86,11,1119.6,1,2,-7.02958,132.032,4.73473
110,11,1005.86,11,1119.6,0,3,0,132.005,4.73236
111,11,1005.86,11,1073.81,2,1,4.08928,131.979,4.72999
112,11,1005.86,11,1072.51,3,3,0.121106,131.953,4.72763
113,11,1005.86,11,1102.89,1,1,-2.8325,131.926,4.72527
114,11,1005.86,11,1102.89,1,0,-10,131.9,4.7229
115,11,1005.86,11,1100.65,3,1,0.203488,131.873,4.72054
116,11,1005.86,11,1100.65,2,0,-10,131.847,4.71818
117,11,1005.86,11,1097.7,3,0,0.267796,131.821,4.71582
118,11,1005.86,11,1082.9,4,2,1.34806,131.794,4.71346
119,11,1005.86,11,1054.03,2,0,2.66587,131.768,4.71111
120,11,1005.86,11,1054.03,0,1,0,131.742,4.70875
121,11,1005.86,11,1054.03,3,2,0,131.715,4.7064
122,11,1005.86,11,1054.03,0,0,0,131.689,4.70404
123,11,1005.86,11,1054.79,0,3,-0.0722009,131.663,4.70169
124,11,1005.86,11,1054.79,0,0,0,131.636,4.69934
125,11,1005.86,11,1054.79,2,2,-10,131.61,4.69699
126,11,1005.86,11,1049.89,4,3,0.464688,131.584,4.69464
127,11,1005.86,11,1049.89,2,1,0,131.557,4.6923
128,11,1005.86,11,1044.52,2,3,0.511331,131.531,4.68995
129,11,1005.86,11,1044.52,3,0,0,131.505,4.6876
130,11,1005.86,11,1044.52,2,3,-10,131.478,4.68526
131,11,1005.86,11,1044.52,4,3,0,131.452,4.68292
132,11,1005.86,11,1044.52,0,0,0,131.426,4.68058
133,11,1005.86,11,1044.52,3,1,0,131.4,4.67824
134,11,1005.86,11,1044.52,2,1,0,131.373,4.6759
135,11,1005.86,11,1029.8,4,2,1.40957,131.347,4.67356
136,11,1005.86,11,1166.46,1,0,-10,131.321,4.67122
137,11,1005.86,11,1166.46,3,3,0,131.294,4.66889
138,11,1005.86,11,1166.46,0,3,0,131.268,4.66655
139,11,1005.86,11,1165.69,4,1,0.0661041,131.242,4.66422
140,11,1005.86,11,1165.69,4,3,0,131.216,4.66189
141,11,1005.86,11,1158.44,0,0,0.6218,131.189,4.65956
142,11,1005.86,11,1204.86,1,1,-4.00729,131.163,4.65723
143,11,1005.86,11,1204.86,3,3,-10,131.137,4.6549
144,11,1005.86,11,1204.86,0,2,0,131.111,4.65257
145,11,1005.86,11,1194.83,3,0,0.832341,131.085,4.65024
146,11,1005.86,11,1080.68,2,0,9.55374,131.058,4.64792
147,11,1005.86,11,1073.63,4,2,0.652546,131.032,4.6456
148,11,1005.86,11,1029.95,2,3,4.06838,131.006,4.64327
149,11,1005.86,11,1029.95,3,3,0,130.98,4.64095
150,11,1005.86,11,1102.61,1,0,-7.05493,130.954,4.63863
151,11,1005.86,11,1102.61,0,2,0,130.927,4.63631
152,11,1005.86,11,1234.13,1,2,-10,130.901,4.63399
153,11,1005.86,11,1233.31,1,1,0.0668214,130.875,4.63168
154,11,1005.86,11,1233.31,0,0,0,130.849,4.62936
155,11,1005.86,11,1233.31,4,3,-10,130.823,4.62705
156,11,1005.86,11,1233.31,3,2,-10,130.796,4.62473
157,11,1005.86,11,1233.31,4,1,0,130.77,4.62242
158,11,1005.86,11,1233.31,3,0,0,130.744,4.62011
159,11,1005.86,11,1233.31,0,1,0,130.718,4.6178
160,11,1005.86,11,1233.31,3,3,0,130.692,4.61549
161,11,1005.86,11,1295.36,1,1,-5.03181,130.666,4.61318
162,11,1005.86,11,1295.36,1,1,-6.92408,130.64,4.61088
163,11,1005.86,11,1351.33,1,1,-4.32077,130.613,4.60857
164,11,1005.86,11,1350.22,3,2,0.0821542,130.587,4.60627
165,11,1005.86,11,1350.22,2,2,-10,130.561,4.60396
166,11,1005.86,11,1350.22,4,1,0,130.535,4.60166
167,11,1005.86,11,1350.22,4,2,0,130.509,4.59936
168,11,1005.86,11,1350.22,0,3,0,130.483,4.59706
169,11,1005.86,11,1350.22,1,0,-5.50064,130.457,4.59476
170,11,1005.86,11,1350.22,4,3,-10,130.431,4.59246
171,11,1005.86,11,1306.35,0,1,3.24918,130.405,4.59017
172,11,1005.86,11,1306.35,2,2,-10,130.379,4.58787
173,11,1005.86,11,1306.35,3,2,-10,130.352,4.58558
174,11,1005.86,11,1306.35,3,0,0,130.326,4.58329
175,11,1005.86,11,1300.17,0,2,0.472975,130.3,4.58099
176,11,1005.86,11,1237.94,3,0,4.78626,130.274,4.5787
177,11,1005.86,11,1234.85,3,1,0.249581,130.248,4.57641
178,11,1005.86,11,1246.77,0,3,-0.964613,130.222,4.57413
179,11,1005.86,11,1243.94,4,0,0.226627,130.196,4.57184
180,11,1005.86,11,1243.94,1,0,-10,130.17,4.56955
