iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,reward,temp,epsilon
0,31,2241.39,31,2241.39,4,2,10,176.21,5
1,30,2094.6,30,2094.6,3,0,10,176.174,4.9975
2,29,2061.92,29,2061.92,3,3,10,176.139,4.995
3,27,1995.36,27,1995.36,0,2,10,176.104,4.9925
4,24,1910.64,24,1910.64,1,1,10,176.069,4.99001
5,24,1897.61,24,1897.61,3,2,0.681804,176.033,4.98751
6,24,1879.18,24,1879.18,4,1,0.971091,175.998,4.98502
7,24,1871.05,24,1871.05,0,2,0.432963,175.963,4.98253
8,24,1871.05,24,1880.74,3,3,-0.517974,175.928,4.98003
9,24,1836.57,24,1836.57,2,1,2.34853,175.893,4.97754
10,22,1763.95,22,1763.95,0,0,10,175.857,4.97506
11,22,1754.87,22,1754.87,4,0,0.514919,175.822,4.97257
12,21,1736.31,21,1736.31,0,1,10,175.787,4.97008
13,21,1724.06,21,1724.06,3,1,0.705774,175.752,4.9676
14,21,1724.06,21,1724.06,4,1,0,175.717,4.96511
15,19,1695.89,19,1695.89,4,1,10,175.682,4.96263
16,19,1695.89,19,1733.95,1,3,-2.24404,175.647,4.96015
17,19,1695.89,19,1707.79,0,3,1.5087,175.611,4.95767
18,19,1670.46,19,1670.46,1,0,2.18571,175.576,4.95519
19,19,1667.34,19,1667.34,4,2,0.186935,175.541,4.95271
20,19,1644.93,19,1644.93,0,1,1.34423,175.506,4.95024
21,19,1633.23,19,1633.23,2,0,0.711178,175.471,4.94776
22,19,1633.23,19,1635.17,4,1,-0.118985,175.436,4.94529
23,19,1627.92,19,1627.92,2,1,0.44373,175.401,4.94282
24,19,1627.92,19,1627.92,4,0,-10,175.366,4.94034
25,19,1627.92,19,1650.72,0,3,-1.40062,175.331,4.93787
26,19,1627.92,19,1646.86,2,3,0.233634,175.296,4.9354
27,19,1621.27,19,1621.27,4,3,1.5536,175.261,4.93294
28,19,1621.27,19,1686.9,1,0,-4.04807,175.225,4.93047
29,19,1621.27,19,1675.93,3,2,0.650675,175.19,4.92801
30,19,1621.27,19,1674.9,4,2,0.0614283,175.155,4.92554
31,19,1621.27,19,1672.21,4,0,0.160312,175.12,4.92308
32,19,1621.27,19,1672.21,0,1,-10,175.085,4.92062
33,19,1621.27,19,1686.58,2,2,-0.859311,175.05,4.91816
34,19,1621.27,19,1681.79,2,1,0.283944,175.015,4.9157
35,19,1621.27,19,1671.05,4,2,0.638646,174.98,4.91324
36,19,1621.27,19,1678.82,0,3,-0.464802,174.945,4.91078
37,19,1621.27,19,1678.82,3,1,-10,174.91,4.90833
38,19,1621.27,19,1679.17,3,3,-0.0207305,174.875,4.90587
39,19,1621.27,19,1679.17,4,2,-10,174.84,4.90342
40,19,1621.27,19,1679.17,2,0,-10,174.805,4.90097
41,19,1621.27,19,1644.7,0,0,2.0525,174.77,4.89852
42,19,1611.34,19,1611.34,2,2,2.02859,174.735,4.89607
43,19,1611.34,19,1644.97,1,0,-2.08697,174.701,4.89362
44,19,1611.34,19,1648.97,2,3,-0.243224,174.666,4.89117
45,19,1611.34,19,1614.41,0,1,2.09594,174.631,4.88873
46,19,1608.77,19,1608.77,2,3,0.349083,174.596,4.88628
47,19,1604.97,19,1604.97,0,1,0.236054,174.561,4.88384
48,19,1601.19,19,1601.19,0,1,0.236094,174.526,4.8814
49,19,1598.41,19,1598.41,2,1,0.173316,174.491,4.87896
50,19,1598.41,19,1622.82,0,3,-1.52734,174.456,4.87652
51,19,1598.41,19,1622.82,3,3,-10,174.421,4.87408
52,19,1598.41,19,1622.82,1,2,-6.77752,174.386,4.87164
53,19,1598.41,19,1618.64,4,1,0.257572,174.351,4.86921
54,19,1598.41,19,1616.91,0,3,0.107097,174.317,4.86677
55,19,1598.41,19,1672.03,1,1,-3.40885,174.282,4.86434
56,19,1598.41,19,1649.65,2,2,1.33812,174.247,4.86191
57,19,1598.41,19,1649.65,1,2,-5.09157,174.212,4.85948
58,19,1598.41,19,1649.65,3,2,0,174.177,4.85705
59,19,1598.41,19,1649.65,2,3,-10,174.142,4.85462
60,19,1598.41,19,1714.4,1,3,-3.92477,174.107,4.85219
61,19,1598.41,19,1658.01,0,3,3.28905,174.073,4.84977
62,19,1598.41,19,1656.17,1,0,0.111357,174.038,4.84734
63,19,1598.41,19,1636.81,0,1,1.16858,174.003,4.84492
