iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,temp
0,7,1068.94,7,1068.94,2,2,93.2683
1,6,975.33,6,975.33,1,3,93.2496
2,5,986.765,5,986.765,1,2,93.2309
3,5,985.425,5,985.425,4,0,93.2123
4,5,941.916,5,941.916,2,1,93.1937
5,5,919.771,5,919.771,2,2,93.175
6,5,902.088,5,902.088,2,2,93.1564
7,5,899.371,5,899.371,0,3,93.1378
8,5,891.996,5,891.996,2,2,93.1191
9,5,890.046,5,890.046,0,1,93.1005
10,5,890.046,5,890.046,1,2,93.0819
11,5,884.054,5,884.054,2,2,93.0633
12,5,880.432,5,880.432,0,0,93.0447
13,5,865.617,5,865.617,2,0,93.026
14,5,857.635,5,857.635,2,0,93.0074
15,5,853.478,5,853.478,3,2,92.9888
16,5,853.478,5,853.478,3,1,92.9702
17,5,816.698,5,816.698,1,3,92.9516
18,5,814.703,5,814.703,4,2,92.9331
19,5,814.703,5,814.703,3,2,92.9145
20,5,779.322,5,779.322,2,0,92.8959
21,5,774.267,5,774.267,0,3,92.8773
22,4,743.392,4,743.392,0,3,92.8587
23,4,722.016,4,722.016,2,3,92.8402
24,4,722.016,4,722.016,1,0,92.8216
25,4,708.785,4,708.785,2,1,92.803
26,4,708.785,4,708.785,2,2,92.7845
27,4,708.785,4,708.785,3,1,92.7659
28,4,708.785,4,708.785,0,2,92.7474
29,4,708.785,4,708.785,0,1,92.7288
30,4,708.785,4,708.785,4,1,92.7103
31,4,708.785,4,708.785,4,1,92.6917
32,4,708.785,4,711.307,4,2,92.6732
33,4,708.785,4,710.571,0,2,92.6546
34,4,706.456,4,706.456,4,2,92.6361
35,4,706.456,4,706.456,1,2,92.6176
36,4,688.586,4,688.586,0,2,92.5991
37,4,688.586,4,688.586,0,0,92.5805
38,4,688.586,4,688.586,4,2,92.562
39,4,688.586,4,688.586,0,3,92.5435
40,4,688.586,4,688.586,3,3,92.525
41,4,688.586,4,706.697,2,3,92.5065
42,4,688.586,4,706.697,4,3,92.488
43,4,688.586,4,707.527,4,3,92.4695
44,4,688.586,4,744.427,1,0,92.451
45,4,688.586,4,714.919,2,0,92.4325
46,4,688.586,4,710.313,0,3,92.414
47,4,688.586,4,707.405,4,2,92.3956
48,3,640.206,3,640.206,0,3,92.3771
49,3,634.602,3,634.602,2,2,92.3586
50,3,633.38,3,633.38,4,2,92.3401
51,3,633.38,3,633.38,3,3,92.3217
52,3,590.452,3,590.452,2,3,92.3032
53,3,588.286,3,588.286,2,1,92.2847
54,3,588.286,3,588.286,1,1,92.2663
55,3,588.286,3,590.452,2,3,92.2478
56,3,588.286,3,590.452,4,2,92.2294
57,3,588.286,3,590.452,0,2,92.2109
58,3,588.286,3,674.69,1,1,92.1925
59,3,588.286,3,615.002,2,0,92.174
60,3,588.286,3,610.244,0,3,92.1556
61,3,588.286,3,610.244,0,2,92.1372
62,3,588.286,3,613.579,1,1,92.1188
63,3,588.286,3,613.579,4,0,92.1003
64,3,588.286,3,591.621,4,1,92.0819
65,3,588.286,3,591.621,0,2,92.0635
66,3,588.286,3,591.621,0,3,92.0451
67,3,588.286,3,591.621,4,1,92.0267
68,3,588.286,3,591.621,3,1,92.0083
69,3,588.286,3,592.572,4,0,91.9899
70,3,588.286,3,592.572,4,3,91.9715
71,3,588.286,3,621.501,1,1,91.9531
72,3,588.286,3,621.501,0,1,91.9347
73,3,588.286,3,592.572,2,1,91.9163
74,3,588.286,3,592.572,3,1,91.8979
75,3,588.286,3,592.572,1,1,91.8795
76,3,588.286,3,592.534,0,1,91.8612
77,3,588.286,3,592.534,0,2,91.8428
78,3,588.286,3,592.534,4,3,91.8244
79,3,588.286,3,592.534,1,0,91.806
80,3,588.286,3,592.534,2,3,91.7877
81,3,588.286,3,592.534,3,3,91.7693
82,3,588.286,3,592.534,3,3,91.751
83,3,588.286,3,592.534,0,0,91.7326
84,3,588.286,3,592.534,0,1,91.7143
85,3,588.286,3,592.534,2,1,91.6959
86,3,588.286,3,593.584,3,3,91.6776
87,3,588.286,3,593.584,4,0,91.6593
88,3,588.286,3,593.584,0,3,91.6409
89,3,588.286,3,592.572,2,1,91.6226
90,3,588.286,3,592.572,0,0,91.6043
91,3,588.286,3,592.534,3,0,91.586
92,3,588.286,3,592.534,0,0,91.5676
93,3,588.286,3,592.534,2,0,91.5493
94,3,588.286,3,592.534,4,0,91.531
95,3,588.286,3,591.621,3,1,91.5127
96,3,588.286,3,591.621,0,3,91.4944
97,3,588.286,3,591.621,3,2,91.4761
98,3,588.286,3,591.621,0,2,91.4578
99,3,588.286,3,592.634,2,3,91.4395
100,3,588.286,3,592.634,4,3,91.4212
101,3,588.286,3,592.634,1,0,91.403
102,3,588.286,3,591.621,2,1,91.3847
103,3,588.286,3,592.572,4,0,91.3664
104,3,588.286,3,592.572,0,2,91.3481
105,3,588.286,3,592.572,1,0,91.3299
106,3,588.286,3,592.572,4,1,91.3116
107,3,588.286,3,592.572,1,2,91.2933
108,3,588.286,3,592.634,4,2,91.2751
109,3,588.286,3,592.634,1,3,91.2568
110,3,588.286,3,592.634,4,0,91.2386
111,3,588.286,3,592.634,2,2,91.2203
112,3,588.286,3,592.634,0,1,91.2021
113,3,588.286,3,592.634,4,1,91.1838
114,3,588.286,3,592.634,0,2,91.1656
115,3,588.286,3,592.634,3,0,91.1474
116,3,588.286,3,592.634,1,0,91.1291
117,3,588.286,3,591.621,4,1,91.1109
118,3,588.286,3,591.621,2,1,91.0927
119,3,588.286,3,593.787,2,3,91.0745
120,3,588.286,3,591.621,4,1,91.0562
121,3,588.286,3,591.621,3,0,91.038
122,3,588.286,3,591.621,4,0,91.0198
123,3,588.286,3,591.621,0,2,91.0016
124,3,588.286,3,591.621,3,1,90.9834
125,3,588.286,3,593.787,3,2,90.9652
126,3,588.286,3,593.787,1,3,90.947
127,3,588.286,3,591.621,2,3,90.9288
128,3,588.286,3,591.621,2,3,90.9107
129,3,588.286,3,591.621,0,2,90.8925
130,3,588.286,3,591.621,2,0,90.8743
