iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,temp
0,12,1876.88,12,1876.88,1,1,129.017
1,11,1944.64,11,1944.64,1,1,128.991
2,11,1944.64,11,1944.64,2,3,128.965
3,11,1944.64,11,1944.64,4,0,128.939
4,11,1944.64,11,1944.64,4,1,128.914
5,11,1754.14,11,1754.14,2,2,128.888
6,11,1754.14,11,1754.14,1,0,128.862
7,11,1618.14,11,1618.14,2,2,128.836
8,11,1618.14,11,1618.14,0,2,128.811
9,11,1547.38,11,1547.38,2,1,128.785
10,11,1547.38,11,1547.38,3,0,128.759
11,11,1500.41,11,1500.41,3,2,128.733
12,11,1500.41,11,1500.41,1,1,128.708
13,11,1494.65,11,1494.65,4,1,128.682
14,11,1494.65,11,1494.65,1,0,128.656
15,11,1435.34,11,1435.34,2,3,128.63
16,11,1435.34,11,1435.34,1,3,128.605
17,11,1435.34,11,1435.34,1,2,128.579
18,11,1435.34,11,1482.57,4,0,128.553
19,11,1435.34,11,1478.57,3,2,128.528
20,11,1426.22,11,1426.22,3,2,128.502
21,11,1426.22,11,1439.86,4,0,128.476
22,11,1426.22,11,1540.43,3,1,128.45
23,11,1426.22,11,1542.57,0,0,128.425
24,11,1422,11,1422,2,2,128.399
25,11,1420.06,11,1420.06,3,2,128.373
26,11,1385.03,11,1385.03,3,1,128.348
27,11,1364.77,11,1364.77,3,3,128.322
28,11,1364.77,11,1364.77,1,0,128.296
29,11,1267.8,11,1267.8,3,2,128.271
30,11,1267.22,11,1267.22,4,1,128.245
31,11,1267.22,11,1267.22,1,0,128.219
32,11,1267.22,11,1267.22,1,0,128.194
33,11,1250.95,11,1250.95,4,2,128.168
34,11,1250.95,11,1275.09,3,1,128.142
35,11,1250.95,11,1275.09,4,0,128.117
36,11,1250.95,11,1275.09,4,0,128.091
37,11,1216.57,11,1216.57,2,0,128.066
38,11,1216.21,11,1216.21,0,3,128.04
39,11,1214.56,11,1214.56,0,2,128.014
