iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,temp
0,5,1041.76,5,1041.76,0,1,79.6624
1,5,1032.49,5,1032.49,0,2,79.6465
2,5,1016.41,5,1016.41,4,1,79.6305
3,5,949.329,5,949.329,2,1,79.6146
4,5,922.86,5,922.86,3,2,79.5987
5,5,922.86,5,928.314,0,1,79.5828
6,5,922.86,5,938.911,0,0,79.5669
7,5,922.86,5,926.786,3,3,79.5509
8,5,922.86,5,925.348,3,1,79.535
9,5,919.565,5,919.565,2,0,79.5191
10,5,886.484,5,886.484,0,1,79.5032
11,5,878.847,5,878.847,4,2,79.4873
12,5,875.329,5,875.329,3,2,79.4714
13,5,870.863,5,870.863,0,1,79.4555
14,5,870.863,5,871.181,0,2,79.4396
15,5,867.459,5,867.459,2,3,79.4238
16,5,867.459,5,867.459,0,0,79.4079
17,5,867.459,5,867.459,3,0,79.392
18,5,864.144,5,864.144,4,3,79.3761
19,5,864.144,5,864.144,3,3,79.3602
20,5,863.843,5,863.843,3,0,79.3444
21,5,863.843,5,863.843,3,2,79.3285
22,5,863.843,5,863.96,3,1,79.3126
23,5,863.843,5,863.96,2,2,79.2968
24,5,863.843,5,864.464,3,2,79.2809
25,4,905.345,4,905.345,1,1,79.265
26,4,905.345,4,905.345,1,3,79.2492
27,4,890.062,4,890.062,4,0,79.2333
28,3,975.377,3,975.377,2,3,79.2175
29,3,975.377,3,975.377,4,3,79.2017
30,3,961.111,3,961.111,3,0,79.1858
31,3,873.992,3,873.992,2,3,79.17
32,3,873.673,3,873.673,2,2,79.1541
33,3,861.792,3,861.792,3,1,79.1383
34,3,861.792,3,870.476,2,0,79.1225
35,3,861.792,3,869.875,2,3,79.1067
36,3,861.792,3,864.024,4,3,79.0908
37,3,861.792,3,864.024,1,3,79.075
38,3,861.792,3,863.138,0,2,79.0592
39,3,861.792,3,863.138,1,0,79.0434
40,3,861.792,3,863.138,1,2,79.0276
41,3,861.792,3,863.138,1,2,79.0118
42,3,861.31,3,861.31,0,0,78.996
43,3,855.164,3,855.164,3,2,78.9802
44,3,855.135,3,855.135,0,0,78.9644
45,3,854.481,3,854.481,0,0,78.9486
46,3,847.064,3,847.064,3,1,78.9328
47,3,844.557,3,844.557,4,1,78.917
48,3,842.653,3,842.653,2,2,78.9012
49,3,830.794,3,830.794,4,1,78.8855
50,3,822.555,3,822.555,2,0,78.8697
51,3,822.555,3,822.555,4,0,78.8539
52,3,822.555,3,844.251,1,3,78.8381
53,3,822.555,3,838.684,0,3,78.8224
54,3,822.555,3,838.684,3,0,78.8066
55,3,822.555,3,830.533,4,3,78.7908
56,3,822.555,3,830.1,0,2,78.7751
57,3,822.555,3,917.627,1,0,78.7593
58,3,822.555,3,909.679,3,1,78.7436
59,3,822.555,3,881.638,2,3,78.7278
60,3,822.555,3,880.142,4,0,78.7121
61,3,822.555,3,863.194,3,2,78.6963
62,3,822.555,3,852.35,2,2,78.6806
63,3,822.555,3,846.89,4,0,78.6649
64,3,822.555,3,844.277,4,0,78.6491
65,3,822.555,3,878.351,1,0,78.6334
66,3,822.555,3,878.351,2,2,78.6177
67,3,822.555,3,867.669,0,0,78.6019
68,3,822.555,3,863.865,3,2,78.5862
69,3,822.555,3,863.325,3,1,78.5705
70,3,822.555,3,863.325,1,0,78.5548
71,3,822.555,3,851.197,0,0,78.5391
72,3,822.555,3,851.197,1,1,78.5234
73,3,822.555,3,850.219,0,3,78.5077
74,3,822.555,3,847.569,3,1,78.492
75,3,822.555,3,838.785,0,1,78.4763
76,3,822.555,3,838.785,1,2,78.4606
77,3,822.555,3,873.699,1,3,78.4449
78,3,822.555,3,872.108,0,3,78.4292
79,3,822.555,3,895.899,0,3,78.4135
80,3,822.555,3,917.118,0,3,78.3978
81,3,822.555,3,945.759,1,1,78.3821
82,3,822.555,3,914.257,2,3,78.3665
83,3,822.555,3,906.005,4,3,78.3508
84,3,822.555,3,904.247,4,0,78.3351
85,3,822.555,3,899.594,4,1,78.3195
86,3,822.555,3,899.594,1,3,78.3038
87,3,822.555,3,898.436,4,1,78.2881
88,3,822.555,3,894.096,3,3,78.2725
89,3,822.555,3,900.297,4,0,78.2568
90,3,822.555,3,887.356,2,1,78.2412
91,3,822.555,3,1010.36,1,1,78.2255
92,3,822.555,3,1002.59,4,1,78.2099
93,3,822.555,3,982.15,4,2,78.1942
94,3,822.555,3,1052.26,0,0,78.1786
95,3,822.555,3,963.662,3,2,78.163
96,3,822.555,3,1001.01,2,0,78.1473
97,3,822.555,3,1109.22,1,2,78.1317
98,3,822.555,3,1022.92,2,3,78.1161
99,3,822.555,3,1005.38,0,3,78.1004
100,3,822.555,3,974.227,4,3,78.0848
101,3,822.555,3,917.108,2,2,78.0692
102,3,822.555,3,914.341,3,0,78.0536
103,3,822.555,3,914.341,1,2,78.038
104,3,822.555,3,908.021,0,1,78.0224
105,3,822.555,3,906.3,0,2,78.0068
106,3,822.555,3,898.547,2,0,77.9912
107,3,822.555,3,897.569,4,1,77.9756
108,3,822.555,3,898.638,0,0,77.96
109,3,822.555,3,899.914,0,0,77.9444
110,3,822.555,3,896.857,4,2,77.9288
111,3,822.555,3,896.628,0,2,77.9132
112,3,822.555,3,907.678,0,3,77.8976
113,3,822.555,3,907.678,1,2,77.8821
114,3,822.555,3,899.789,3,0,77.8665
115,3,822.555,3,899.503,0,2,77.8509
116,3,822.555,3,886.089,0,1,77.8353
117,3,822.555,3,894.273,2,1,77.8198
118,3,822.555,3,892.402,4,2,77.8042
119,3,822.555,3,867.727,2,1,77.7886
120,3,822.555,3,866.486,0,0,77.7731
121,3,822.555,3,861.165,0,0,77.7575
122,3,822.555,3,861.165,1,3,77.742
123,3,822.555,3,855.203,3,0,77.7264
124,3,822.555,3,826.544,2,2,77.7109
125,3,808.874,3,808.874,2,2,77.6953
126,3,807.661,3,807.661,4,2,77.6798
127,3,806.405,3,806.405,3,2,77.6643
128,3,806.405,3,806.634,2,1,77.6487
129,3,806.405,3,806.634,1,0,77.6332
130,3,799.833,3,799.833,2,2,77.6177
131,3,799.833,3,799.833,2,2,77.6022
132,3,799.833,3,799.833,2,2,77.5866
133,3,799.833,3,803.816,2,1,77.5711
134,3,798.106,3,798.106,0,2,77.5556
135,3,798.106,3,798.106,0,1,77.5401
136,3,796.719,3,796.719,0,2,77.5246
137,3,796.719,3,855.78,1,3,77.5091
138,3,796.719,3,841.876,4,0,77.4936
139,3,796.719,3,835.752,2,1,77.4781
140,3,796.719,3,819.609,3,2,77.4626
141,3,796.719,3,819.609,1,0,77.4471
142,3,796.719,3,821.436,4,3,77.4316
143,3,796.719,3,804.288,4,0,77.4161
144,3,796.719,3,807.302,4,2,77.4006
145,3,796.719,3,807.302,1,0,77.3851
146,3,796.719,3,800.784,4,3,77.3697
147,3,796.719,3,800.784,1,1,77.3542
148,3,796.719,3,796.889,2,3,77.3387
149,3,790.44,3,790.44,4,1,77.3233
150,3,790.44,3,790.44,1,1,77.3078
151,3,790.44,3,838.112,1,0,77.2923
152,3,790.44,3,838.112,1,0,77.2769
153,3,790.44,3,838.112,1,3,77.2614
154,3,790.44,3,833.539,3,0,77.246
155,3,790.44,3,833.483,4,1,77.2305
156,3,790.44,3,819.742,3,1,77.2151
157,3,790.44,3,807.106,2,0,77.1996
158,3,790.44,3,806.63,0,0,77.1842
159,3,790.44,3,957.667,1,0,77.1688
160,3,790.44,3,909.979,2,2,77.1533
161,3,790.44,3,889.322,4,3,77.1379
162,3,790.44,3,883.486,3,0,77.1225
163,3,790.44,3,883.486,1,3,77.107
164,3,790.44,3,869.326,3,2,77.0916
165,3,790.44,3,868.035,4,0,77.0762
166,3,790.44,3,859.856,4,1,77.0608
167,3,790.44,3,846.747,2,2,77.0454
168,3,790.44,3,844.026,0,1,77.03
169,3,790.44,3,844.026,1,1,77.0146
170,3,790.44,3,840.92,0,3,76.9992
171,3,790.44,3,818.926,2,3,76.9838
172,3,790.44,3,805.379,3,3,76.9684
173,3,790.44,3,805.379,1,1,76.953
174,3,790.44,3,803.552,0,1,76.9376
175,3,790.44,3,796.55,2,3,76.9222
176,3,790.44,3,796.55,1,2,76.9068
177,3,790.44,3,796.55,1,1,76.8914
178,3,790.44,3,794.536,3,0,76.876
179,3,790.44,3,791.978,3,3,76.8607
180,3,790.44,3,791.978,4,2,76.8453
181,3,790.44,3,799.264,2,1,76.8299
182,3,790.44,3,799.264,3,1,76.8146
183,3,790.44,3,799.194,4,2,76.7992
184,3,790.44,3,799.194,1,0,76.7838
185,3,790.44,3,799.194,4,0,76.7685
186,3,790.44,3,796.515,4,0,76.7531
187,3,790.44,3,796.515,1,1,76.7378
188,3,790.44,3,796.515,2,1,76.7224
189,3,790.44,3,796.515,2,1,76.7071
190,3,788.894,3,788.894,0,2,76.6917
191,3,788.894,3,788.912,0,3,76.6764
192,3,788.894,3,891.92,1,0,76.6611
193,3,788.894,3,892.29,0,3,76.6457
194,3,788.894,3,930.75,2,2,76.6304
195,3,788.894,3,904.901,4,2,76.6151
196,3,788.894,3,863.312,3,2,76.5998
197,3,788.894,3,818.094,2,2,76.5844
198,3,788.894,3,816.071,3,2,76.5691
199,3,788.894,3,822.793,0,2,76.5538
200,3,788.894,3,822.793,4,3,76.5385
201,3,788.894,3,822.793,0,0,76.5232
202,3,788.894,3,822.246,0,1,76.5079
203,3,788.894,3,821.915,4,1,76.4926
204,3,788.894,3,815.557,3,0,76.4773
205,3,788.894,3,815.557,1,3,76.462
206,3,788.894,3,807.182,3,1,76.4467
207,3,788.894,3,807.267,3,3,76.4314
208,3,788.894,3,796.562,3,2,76.4161
209,3,788.894,3,847.651,2,0,76.4008
210,3,788.894,3,870.623,2,3,76.3856
211,3,788.894,3,991.721,1,0,76.3703
212,3,788.894,3,974.045,4,3,76.355
