iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,temp
0,4,981.934,4,981.934,1,1,82.6108
1,4,973.741,4,973.741,0,2,82.5943
2,4,973.741,4,980.015,1,0,82.5778
3,4,950.23,4,950.23,4,2,82.5613
4,4,932.422,4,932.422,0,2,82.5448
5,4,921.616,4,921.616,0,1,82.5283
6,4,913.255,4,913.255,2,0,82.5118
7,4,913.255,4,913.255,1,1,82.4952
8,4,896.082,4,896.082,2,0,82.4787
9,4,856.87,4,856.87,3,2,82.4623
10,4,853.781,4,853.781,3,3,82.4458
11,4,853.781,4,855.553,0,3,82.4293
12,4,853.781,4,855.553,1,3,82.4128
13,4,842.859,4,842.859,4,3,82.3963
14,4,839.894,4,839.894,3,3,82.3798
15,4,802.33,4,802.33,2,1,82.3633
16,4,801.904,4,801.904,3,2,82.3469
17,4,801.904,4,801.904,1,0,82.3304
18,4,768.465,4,768.465,2,3,82.3139
19,4,768.465,4,826.825,4,1,82.2975
20,4,768.465,4,825.811,3,3,82.281
21,4,768.465,4,825.811,3,0,82.2646
22,4,768.465,4,819.256,2,1,82.2481
23,4,768.465,4,816.546,0,1,82.2317
24,4,768.465,4,771.551,2,1,82.2152
25,4,768.465,4,771.551,3,0,82.1988
26,4,768.465,4,768.59,0,2,82.1823
27,4,768.465,4,814.027,3,3,82.1659
28,4,768.465,4,814.027,1,1,82.1495
29,4,768.465,4,814.027,0,2,82.133
30,4,768.465,4,783.337,2,1,82.1166
31,4,768.465,4,782.863,3,2,82.1002
32,4,768.465,4,782.863,3,3,82.0838
33,4,768.465,4,782.863,3,1,82.0673
34,4,768.465,4,855.881,3,3,82.0509
35,4,768.465,4,817.328,1,2,82.0345
36,4,768.465,4,817.328,0,2,82.0181
37,4,768.465,4,817.653,3,3,82.0017
38,4,768.465,4,817.653,1,0,81.9853
39,4,768.465,4,816.15,0,1,81.9689
40,4,768.465,4,816.15,4,2,81.9525
41,4,768.465,4,812.549,0,1,81.9361
42,4,768.465,4,805.358,4,2,81.9197
43,4,768.465,4,805.358,4,0,81.9034
44,4,721.259,4,721.259,2,0,81.887
45,4,721.259,4,722.272,4,2,81.8706
46,4,715.501,4,715.501,4,1,81.8542
47,4,715.501,4,715.501,3,0,81.8379
48,4,715.501,4,715.501,3,1,81.8215
49,4,707.456,4,707.456,0,0,81.8051
50,4,707.456,4,709.622,4,2,81.7888
51,4,706.251,4,706.251,4,0,81.7724
52,4,688.499,4,688.499,2,2,81.756
53,4,688.499,4,688.499,0,3,81.7397
54,4,688.499,4,688.499,3,0,81.7233
55,4,687.775,4,687.775,3,1,81.707
56,4,685.026,4,685.026,0,3,81.6907
57,4,685.026,4,685.026,4,0,81.6743
58,4,682.989,4,682.989,3,3,81.658
59,4,674.706,4,674.706,0,0,81.6417
60,4,674.441,4,674.441,3,2,81.6253
61,4,674.441,4,676.607,3,3,81.609
62,4,669.607,4,669.607,0,3,81.5927
63,3,680.206,3,680.206,1,1,81.5764
64,3,680.206,3,680.206,3,2,81.5601
65,3,680.206,3,680.206,3,0,81.5437
66,3,680.206,3,680.206,0,1,81.5274
67,3,659.542,3,659.542,2,1,81.5111
68,3,659.542,3,739.307,1,0,81.4948
69,3,659.542,3,679.863,1,2,81.4785
70,3,659.542,3,666.53,3,3,81.4622
71,3,658.818,3,658.818,2,2,81.4459
72,3,658.818,3,658.818,3,0,81.4296
73,3,658.818,3,660.443,4,0,81.4134
74,3,658.818,3,664.754,3,2,81.3971
75,3,658.818,3,664.754,4,0,81.3808
76,3,658.818,3,662.345,0,1,81.3645
77,3,658.818,3,669.768,3,2,81.3482
78,3,658.818,3,745.751,1,0,81.332
79,3,658.818,3,745.751,2,2,81.3157
80,3,658.818,3,745.751,2,0,81.2994
81,3,658.818,3,741.654,0,1,81.2832
82,3,658.818,3,717.389,3,2,81.2669
83,3,658.818,3,717.389,1,1,81.2507
84,3,658.818,3,702.364,4,3,81.2344
85,3,657.059,3,657.059,2,2,81.2182
86,3,657.059,3,657.059,1,2,81.2019
87,3,657.059,3,657.059,4,3,81.1857
88,3,648.044,3,648.044,2,2,81.1695
