iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,temp
137,3,589.505,3,591.508,4,1,88.9865
138,3,589.505,3,591.508,4,2,88.9687
139,3,588.493,3,588.493,2,0,88.9509
140,3,588.493,3,588.493,4,0,88.9331
141,3,588.493,3,588.493,4,1,88.9153
142,3,588.493,3,590.659,2,2,88.8976
143,3,588.493,3,588.493,0,3,88.8798
144,3,588.493,3,589.505,3,2,88.862
145,3,588.493,3,591.671,4,3,88.8442
146,3,588.493,3,623.567,1,1,88.8265
147,3,588.493,3,623.567,3,2,88.8087
148,3,588.493,3,609.515,2,0,88.7909
149,3,588.493,3,588.493,2,0,88.7732
150,3,588.493,3,588.493,1,3,88.7554
151,3,588.493,3,588.493,0,2,88.7377
152,3,588.493,3,588.493,0,0,88.7199
153,3,588.493,3,588.493,0,0,88.7022
154,3,588.493,3,588.493,4,1,88.6844
155,3,588.493,3,588.493,3,2,88.6667
156,3,588.493,3,591.671,2,3,88.649
157,3,588.493,3,591.671,0,3,88.6312
158,3,588.493,3,591.671,1,1,88.6135
159,3,588.493,3,590.659,0,1,88.5958
160,3,588.493,3,590.659,0,0,88.5781
161,3,588.493,3,590.659,0,2,88.5603
162,3,588.493,3,589.505,2,3,88.5426
163,3,588.493,3,588.493,2,1,88.5249
164,3,588.493,3,588.493,1,1,88.5072
165,3,588.493,3,588.493,1,3,88.4895
166,3,588.493,3,588.493,0,2,88.4718
167,3,588.493,3,588.493,4,3,88.4541
168,3,588.493,3,588.493,3,3,88.4364
169,3,588.493,3,590.659,2,0,88.4188
170,3,588.493,3,590.659,2,2,88.4011
171,3,588.493,3,588.493,2,3,88.3834
172,3,588.493,3,588.493,3,0,88.3657
173,3,588.493,3,588.493,4,0,88.348
174,3,588.493,3,588.493,4,2,88.3304
175,3,588.493,3,670.139,1,1,88.3127
176,3,588.493,3,670.139,0,2,88.295
177,3,588.493,3,670.139,1,3,88.2774
178,3,588.493,3,588.493,2,1,88.2597
179,3,588.493,3,588.493,1,1,88.2421
180,3,588.493,3,588.493,3,2,88.2244
181,3,588.493,3,588.493,0,0,88.2068
182,3,588.493,3,588.493,0,2,88.1891
183,3,588.493,3,588.493,4,3,88.1715
184,3,588.493,3,588.493,0,2,88.1539
185,3,588.493,3,588.493,1,0,88.1362
186,3,588.493,3,588.493,1,0,88.1186
187,3,588.493,3,588.493,1,2,88.101
188,3,588.493,3,588.493,0,0,88.0834
189,3,588.493,3,588.493,3,0,88.0657
190,3,588.493,3,588.493,1,3,88.0481
191,3,588.493,3,588.493,4,1,88.0305
192,3,588.493,3,588.493,0,0,88.0129
193,3,588.493,3,588.493,0,2,87.9953
194,3,588.493,3,588.493,3,3,87.9777
195,3,588.493,3,588.493,4,0,87.9601
196,3,588.493,3,588.493,4,1,87.9425
197,3,588.493,3,588.493,0,2,87.9249
198,3,588.493,3,590.118,3,3,87.9074
199,3,588.493,3,592.284,2,3,87.8898
200,3,588.493,3,588.493,0,0,87.8722
201,3,588.493,3,588.493,1,1,87.8546
202,3,588.493,3,588.493,3,2,87.8371
203,3,588.493,3,588.493,1,1,87.8195
204,3,588.493,3,588.493,2,0,87.8019
205,3,588.493,3,588.493,1,0,87.7844
206,3,588.493,3,588.493,0,2,87.7668
207,3,588.493,3,588.493,3,1,87.7493
208,3,588.493,3,588.493,0,0,87.7317
209,3,588.493,3,590.118,2,3,87.7142
210,3,588.493,3,590.118,1,2,87.6966
211,3,588.493,3,588.493,0,3,87.6791
212,3,588.493,3,588.493,4,2,87.6615
213,3,588.493,3,588.493,0,0,87.644
214,3,588.493,3,588.493,0,3,87.6265
215,3,588.493,3,588.493,2,1,87.6089
216,3,588.493,3,588.493,0,3,87.5914
217,3,588.493,3,588.493,4,2,87.5739
218,3,588.493,3,588.493,4,1,87.5564
219,3,588.493,3,588.493,3,0,87.5389
220,3,588.493,3,588.493,0,2,87.5214
221,3,588.493,3,588.493,2,0,87.5039
222,3,588.493,3,588.493,2,1,87.4864
223,3,588.493,3,588.493,3,3,87.4689
224,3,588.493,3,588.493,1,2,87.4514
225,3,588.493,3,588.493,2,3,87.4339
226,3,588.493,3,588.493,4,2,87.4164
227,3,588.493,3,588.493,4,1,87.3989
228,3,588.493,3,589.505,2,3,87.3814
229,3,588.493,3,589.505,3,0,87.364
230,3,588.493,3,589.505,4,2,87.3465
231,3,588.493,3,589.505,1,1,87.329
232,3,588.493,3,589.505,4,2,87.3116
233,3,588.493,3,589.505,1,2,87.2941
234,3,588.493,3,589.505,3,3,87.2766
235,3,588.493,3,589.505,1,0,87.2592
236,3,588.493,3,589.505,0,3,87.2417
237,3,588.493,3,590.659,2,3,87.2243
238,3,588.493,3,588.493,2,2,87.2068
239,3,588.493,3,590.659,2,2,87.1894
240,3,588.493,3,590.659,0,0,87.172
241,3,588.493,3,590.659,3,1,87.1545
242,3,588.493,3,590.659,3,1,87.1371
243,3,588.493,3,590.659,4,1,87.1197
244,3,588.493,3,590.659,0,2,87.1022
245,3,588.493,3,590.659,0,2,87.0848
246,3,588.493,3,591.671,2,3,87.0674
247,3,588.493,3,591.671,3,1,87.05
248,3,588.493,3,591.671,3,3,87.0326
249,3,588.493,3,591.671,3,3,87.0152
250,3,588.493,3,589.505,3,2,86.9978
251,3,588.493,3,635.347,1,2,86.9804
252,3,588.493,3,635.347,3,0,86.963
253,3,588.493,3,625.155,2,0,86.9456
