iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,temp
0,18,1934.12,18,1934.12,3,0,140.831
1,18,1860.74,18,1860.74,3,0,140.803
2,18,1811.01,18,1811.01,4,3,140.774
3,17,1920.06,17,1920.06,1,0,140.746
4,17,1887.76,17,1887.76,0,3,140.718
5,17,1857.05,17,1857.05,0,1,140.69
6,17,1817.39,17,1817.39,0,1,140.662
7,17,1809.59,17,1809.59,4,3,140.634
8,17,1753.48,17,1753.48,3,2,140.606
9,17,1662.76,17,1662.76,2,0,140.577
10,17,1655.51,17,1655.51,0,3,140.549
11,17,1650.04,17,1650.04,4,1,140.521
12,15,1739.46,15,1739.46,1,0,140.493
13,15,1739.46,15,1742.76,2,2,140.465
14,15,1739.46,15,1742.76,0,2,140.437
15,15,1635.67,15,1635.67,0,2,140.409
16,15,1635.67,15,1645.53,0,0,140.381
17,15,1635.67,15,1639.47,2,1,140.353
18,15,1635.67,15,1639.47,1,3,140.325
19,13,1695.58,13,1695.58,1,0,140.297
20,13,1695.58,13,1695.58,1,2,140.268
21,13,1695.58,13,1695.58,2,3,140.24
22,13,1695.58,13,1695.58,2,3,140.212
23,13,1695.58,13,1695.58,1,1,140.184
24,13,1695.58,13,1695.58,4,0,140.156
25,13,1695.58,13,1695.58,1,2,140.128
26,13,1695.58,13,1695.58,1,2,140.1
27,13,1695.58,13,1695.58,3,2,140.072
28,13,1655.13,13,1655.13,3,1,140.044
29,13,1655.13,13,1655.13,1,0,140.016
30,13,1650.21,13,1650.21,0,1,139.988
31,13,1618.77,13,1618.77,0,2,139.96
32,13,1618.77,13,1618.77,3,1,139.932
33,13,1618.77,13,1618.77,4,1,139.904
34,13,1618.77,13,1618.77,1,3,139.876
35,13,1618.77,13,1618.77,2,1,139.848
36,13,1618.77,13,1628.8,1,0,139.82
37,13,1618.77,13,1628.8,3,2,139.792
38,13,1618.77,13,1628.8,4,1,139.764
39,13,1618.77,13,1628.8,3,2,139.736
40,13,1617.89,13,1617.89,4,2,139.708
41,13,1617.89,13,1617.89,2,3,139.681
42,13,1617.89,13,1617.99,2,0,139.653
43,13,1602.4,13,1602.4,0,2,139.625
44,13,1602.4,13,1636.97,4,1,139.597
45,13,1602.4,13,1636.97,0,3,139.569
46,13,1602.4,13,1642.92,4,2,139.541
47,13,1602.4,13,1604.02,4,2,139.513
48,13,1602.4,13,1604.02,0,2,139.485
49,13,1602.4,13,1664.04,1,2,139.457
50,13,1602.4,13,1654.05,3,2,139.429
51,13,1602.4,13,1654.05,4,1,139.401
52,13,1602.4,13,1654.05,1,2,139.374
53,13,1602.4,13,1634.88,4,1,139.346
54,13,1602.4,13,1635.4,3,2,139.318
55,13,1597.11,13,1597.11,2,1,139.29
56,13,1597.11,13,1685.29,1,1,139.262
57,13,1597.11,13,1685.29,4,1,139.234
58,13,1597.11,13,1685.29,1,0,139.206
59,13,1597.11,13,1680.44,0,2,139.179
60,13,1597.11,13,1680.44,0,0,139.151
61,13,1597.11,13,1692.55,4,0,139.123
62,13,1597.11,13,1615.88,2,1,139.095
63,13,1597.11,13,1613.64,3,0,139.067
64,13,1553.99,13,1553.99,2,3,139.039
65,13,1547.23,13,1547.23,4,0,139.012
66,13,1547.23,13,1547.23,0,2,138.984
67,13,1514.4,13,1514.4,2,2,138.956
68,13,1514.4,13,1514.4,2,0,138.928
69,13,1514.4,13,1514.4,2,1,138.9
70,13,1514.4,13,1514.4,2,3,138.873
71,13,1514.4,13,1514.4,4,0,138.845
72,13,1514.4,13,1514.4,2,1,138.817
73,13,1501.07,13,1501.07,4,0,138.789
74,13,1497.63,13,1497.63,0,0,138.762
75,13,1497.63,13,1652.3,1,2,138.734
76,13,1497.63,13,1652.3,1,2,138.706
77,13,1497.63,13,1652.3,2,2,138.678
