iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,temp
0,9,1232.41,9,1232.41,2,0,114.24
1,9,1231.91,9,1231.91,3,2,114.217
2,8,1160.01,8,1160.01,0,2,114.194
3,8,1121.1,8,1121.1,2,0,114.171
4,7,1102.09,7,1102.09,1,0,114.148
5,7,1097.45,7,1097.45,4,3,114.126
6,6,1111.25,6,1111.25,1,2,114.103
7,6,1044.21,6,1044.21,2,0,114.08
8,5,1046.41,5,1046.41,1,1,114.057
9,5,1046.41,5,1046.41,1,0,114.034
10,5,1021.02,5,1021.02,2,3,114.012
11,5,999.838,5,999.838,3,2,113.989
12,5,988.457,5,988.457,0,2,113.966
13,5,988.457,5,1007.38,1,3,113.943
14,5,988.457,5,1007.18,0,1,113.92
15,4,960.1,4,960.1,1,0,113.898
16,4,946.43,4,946.43,2,2,113.875
17,4,946.43,4,946.43,0,3,113.852
18,4,938.894,4,938.894,4,2,113.829
19,4,929.982,4,929.982,2,1,113.807
20,4,927.702,4,927.702,0,0,113.784
21,4,914.108,4,914.108,0,0,113.761
22,4,914.108,4,914.108,2,3,113.738
23,4,914.108,4,914.108,0,0,113.716
24,4,914.108,4,917.513,4,1,113.693
25,4,914.108,4,916.085,1,3,113.67
26,4,833.971,4,833.971,2,0,113.647
27,4,833.971,4,833.971,1,3,113.625
28,4,833.971,4,833.971,3,0,113.602
29,4,826.089,4,826.089,2,3,113.579
30,4,818.88,4,818.88,3,3,113.556
31,4,796.463,4,796.463,2,0,113.534
32,4,796.463,4,799.972,4,3,113.511
33,4,796.463,4,799.972,0,0,113.488
34,4,796.463,4,866.744,1,3,113.466
35,4,796.463,4,866.744,3,1,113.443
36,4,796.463,4,888.294,1,3,113.42
37,4,796.463,4,848.191,2,1,113.398
38,4,796.463,4,933.687,1,2,113.375
39,4,796.463,4,925.994,3,3,113.352
40,4,796.463,4,922.332,0,2,113.329
41,4,796.463,4,934.047,1,0,113.307
42,4,796.463,4,933.952,3,0,113.284
43,4,796.463,4,922.732,2,1,113.262
44,4,796.463,4,922.732,4,3,113.239
45,4,796.463,4,923.981,0,3,113.216
46,4,796.463,4,919.137,3,2,113.194
47,4,796.463,4,898.192,2,2,113.171
48,4,796.463,4,902.017,0,1,113.148
49,4,796.463,4,902.017,0,3,113.126
50,4,796.463,4,804.6,2,3,113.103
51,4,796.463,4,804.6,2,1,113.08
52,4,784.224,4,784.224,4,1,113.058
53,4,784.224,4,1043.89,1,1,113.035
54,4,784.224,4,1039.05,3,0,113.013
55,4,784.224,4,1038.73,3,2,112.99
56,4,784.224,4,1038.73,3,0,112.967
57,4,784.224,4,1014.56,0,0,112.945
58,4,784.224,4,1014.56,4,2,112.922
59,4,784.224,4,957.789,2,3,112.9
60,4,784.224,4,934.59,0,1,112.877
61,4,784.224,4,934.59,3,3,112.854
62,4,784.224,4,970.143,1,3,112.832
63,4,784.224,4,990.516,0,2,112.809
64,4,784.224,4,896.475,1,1,112.787
65,4,784.224,4,894.051,3,3,112.764
66,4,784.224,4,838.281,2,3,112.742
67,4,782.077,4,782.077,2,3,112.719
68,4,739.671,4,739.671,2,0,112.697
69,4,739.671,4,739.671,4,2,112.674
70,4,739.671,4,739.671,0,2,112.651
71,4,732.928,4,732.928,2,0,112.629
72,4,732.652,4,732.652,3,3,112.606
73,4,732.652,4,732.652,4,1,112.584
74,4,727.134,4,727.134,3,1,112.561
75,4,726.231,4,726.231,3,0,112.539
76,4,726.231,4,755.249,1,3,112.516
77,4,726.231,4,755.566,0,3,112.494
78,4,726.231,4,755.566,4,1,112.471
79,4,726.231,4,764.817,3,0,112.449
80,4,726.231,4,755.52,4,1,112.426
81,4,726.231,4,753.659,0,0,112.404
82,4,726.231,4,749.631,0,2,112.381
83,4,726.231,4,749.631,0,0,112.359
84,4,726.231,4,745.697,4,0,112.336
85,4,726.231,4,745.697,4,2,112.314
86,4,726.231,4,745.295,3,2,112.292
87,4,726.231,4,745.295,1,0,112.269
88,4,726.231,4,745.295,0,3,112.247
