iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,temp
0,14,1725.71,14,1725.71,4,2,130.78
1,14,1646.02,14,1646.02,3,1,130.754
2,14,1576.45,14,1576.45,3,1,130.728
3,14,1481.95,14,1481.95,2,2,130.701
4,14,1466.23,14,1466.23,0,0,130.675
5,12,1366.43,12,1366.43,1,3,130.649
6,12,1344.14,12,1344.14,3,1,130.623
7,12,1344.14,12,1348.35,0,2,130.597
8,10,1331.55,10,1331.55,1,3,130.571
9,10,1313.75,10,1313.75,4,1,130.545
10,10,1274.83,10,1274.83,0,3,130.519
11,8,1252.89,8,1252.89,1,0,130.492
12,8,1249.85,8,1249.85,4,3,130.466
13,8,1239.63,8,1239.63,0,0,130.44
14,7,1229.02,7,1229.02,1,1,130.414
15,7,1220.75,7,1220.75,0,1,130.388
16,7,1220.75,7,1275.14,1,3,130.362
17,6,1268.04,6,1268.04,2,2,130.336
18,6,1261.34,6,1261.34,3,0,130.31
19,6,1243.84,6,1243.84,4,3,130.284
20,6,1243.84,6,1259.88,2,3,130.258
21,5,1350.13,5,1350.13,1,1,130.232
22,5,1350.13,5,1363.89,4,0,130.206
23,5,1350.13,5,1360.57,1,1,130.18
24,5,1350.13,5,1359.94,4,1,130.154
25,5,1350.13,5,1354.46,0,1,130.128
26,5,1344.01,5,1344.01,4,0,130.102
27,5,1322.38,5,1322.38,3,1,130.076
28,5,1311.86,5,1311.86,3,0,130.049
29,5,1248.58,5,1248.58,2,1,130.023
30,5,1248.58,5,1258.87,4,0,129.997
31,5,1248.58,5,1340.98,1,0,129.971
32,5,1248.58,5,1332.64,4,3,129.945
33,5,1248.58,5,1332.64,0,2,129.919
34,5,1248.58,5,1326.31,3,2,129.894
35,5,1248.58,5,1284.47,2,3,129.868
36,5,1248.58,5,1377.89,1,2,129.842
37,5,1248.58,5,1373.1,3,3,129.816
38,5,1248.58,5,1321.06,4,0,129.79
39,5,1248.58,5,1285.35,2,2,129.764
40,5,1248.58,5,1271.2,4,3,129.738
41,5,1248.58,5,1267.42,3,3,129.712
42,5,1247.88,5,1247.88,2,1,129.686
43,5,1247.88,5,1333.76,1,3,129.66
